标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
朝晖小区 3室1厅 南,朝晖小区 -机场北路,3室1厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,153.8,"12,817元/平"
天璟御府小区环境好、物业周到细心、配套设施齐全,天璟誉府 -机场北路,4室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,368,"26,475元/平"
此房楼层高视野好，采光好，自住新装修,东方太阳城 -东平路,2室1厅 | 94平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,2人关注 / 8个月以前发布,135,"14,362元/平"
太平大厦，75平，满5年，楼层低方便老年人陪读,太平大厦 -温岭市,2室1厅 | 75平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,138,"18,400元/平"
轻轨站，价格实惠，采光好，边套。,城南首府 -温岭市,4室2厅 | 131.27平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,2人关注 / 8个月以前发布,129,"9,828元/平"
此房南北通风，配套齐全，采光好，小区绿化面积高..,东泰翠湖嘉园 -温岭市,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,3人关注 / 9个月以前发布,158,"15,800元/平"
锦园小区，配套齐全，交通便利。。。。。。,锦园小区 -温岭市,4室2厅 | 146平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,300,"20,548元/平"
碧桂园开发，小区绿化高，环境安静整洁，楼距宽采光好,碧桂园翡翠湾 -温岭市,3室2厅 | 132.24平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 11个月以前发布,105.6,"7,986元/平"
通银泰商圈，轻轨50米，采光好，3朝南,京都御府 -温岭市,3室2厅 | 151平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,18人关注 / 一年前发布,315,"20,861元/平"
房子三朝南，西灿，双阳台，高楼层,颐景名苑 -东平路,4室2厅 | 175平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 31天以前发布,400,"22,858元/平"
精装修直落室独门独户 回浦跟台初,东郭巷56号 -老城区,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,18人关注 / 一年前发布,115.8,"11,817元/平"
湖畔尚城  10楼毛坯 挂292.8万,湖畔尚城 -大洋,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,2人关注 / 7个月以前发布,292.8,"20,620元/平"
小区配套齐全，南大门就是中医院，东边购物方便,东辉新村 -温岭市,3室2厅 | 117.98平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,233,"19,750元/平"
紫银东郡小区小区环境好跃层。。。,紫银东郡 -大洋,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共14层)  | 暂无数据,2人关注 / 7个月以前发布,255,"19,922元/平"
小区地理位置优越，出行方便，绿化好,旭东佳园 -温岭市,2室1厅 | 82.48平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,45人关注 / 11个月以前发布,83,"10,064元/平"
银泰城 高层住宅，采光透亮，出行方便，小区环境优雅,银泰城(椒江区) -洪家,3室1厅 | 141平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,245,"17,376元/平"
江景房，环境优美，价格实惠，南北朝向户型，户型方正,华鸿公馆 -轮渡路,4室2厅 | 142.09平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,299,"21,044元/平"
小区中间，高层 诚心出售 通透 采光很好，四叶草户型,台州中梁阳光城台州一号 -市府,4室1厅 | 135平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,6人关注 / 4个月以前发布,276,"20,445元/平"
小区地理位置优越，出行方便，绿化好,旭东佳园 -温岭市,3室2厅 | 102.53平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,4人关注 / 11个月以前发布,136,"13,265元/平"
椒江CBD好楼层，高层loft实用面积大，正对公园视野好,腾达中心 -体育场,3室2厅 | 80平米 | 南 | 其他 | 高楼层(共21层)  | 塔楼,6人关注 / 9个月以前发布,185,"23,125元/平"
之舫花园三室两厅两卫 户型方正 满两年楼层佳,之舫花园 -轮渡路,3室2厅 | 134.55平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,145.8,"10,837元/平"
新楼房电梯房，3室南北通，居住便利，采光无遮挡,旭东佳园 -温岭市,2室2厅 | 82.1平米 | 东南 | 毛坯 | 低楼层(共13层)  | 暂无数据,30人关注 / 11个月以前发布,89.8,"10,938元/平"
台州一号新交房，小区大，环境优美，户型结构好。,台州中梁阳光城台州一号 -市府,3室2厅 | 134.07平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,6人关注 / 一年前发布,241.3,"17,999元/平"
区环境好、物业周到细心、配套设施齐全，生活方便,台州中梁阳光城台州一号 -市府,4室2厅 | 129.99平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2人关注 / 8个月以前发布,303,"23,310元/平"
此房满两年，高层采光好设施齐全精装修，可拎包入住,新明·丽江 -轮渡路,2室2厅 | 75平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,11人关注 / 一年前发布,155.8,"20,774元/平"
采光充足，户型方正 楼层好 视野开阔,云港小区 -市府,3室2厅 | 138平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,18人关注 / 一年前发布,185,"13,406元/平"
海湾浪琴 好楼层 三房朝南 采光好 带车房 看房方便,海湾浪琴花园 -市府,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,203,"14,927元/平"
老城区准新房，户型方正，通风性好，采光好,正黄凤祥府 -轮渡路,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,230,"20,176元/平"
配套齐全，交通便利，傍晚散步，周末游玩都是很方便的,华鸿公馆 -轮渡路,3室2厅 | 166平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 6个月以前发布,365,"21,988元/平"
之舫花园三室两厅两卫 户型方正 满两年楼层佳,之舫花园 -轮渡路,3室2厅 | 134.55平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,145.8,"10,837元/平"
新小区刚交付 环境好 房子户型方正 南北通 毛坯交付,珑悦名苑 -东平路,3室1厅 | 140平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,330,"23,572元/平"
采光充足，楼层好，视野开阔，配套成熟,天璟誉府 -机场北路,4室2厅 | 139.35平米 | 南 北 | 精装 | 中楼层(共22层)  | 塔楼,4人关注 / 9个月以前发布,350,"25,117元/平"
新小区刚交付 环境好 房子户型方正 南北通 带阁楼,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,345,"24,643元/平"
台州一号 户型方正 通透 环境好,台州中梁阳光城台州一号 -市府,3室1厅 | 109平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,210,"19,267元/平"
此房格局方正，视野宽阔，采光充足，交通便利,东泰·百合公寓 -东平路,6室3厅 | 120平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,215,"17,917元/平"
银泰商圈，位置佳，商圈成熟完善，教育设施优越,华鸿弘阳·时代玖著 -温岭市,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,0人关注 / 3个月以前发布,368.68,"28,804元/平"
通银泰商圈，轻轨50米，采光好，朝南,京都御府 -温岭市,4室2厅 | 152平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,410,"26,974元/平"
新老城区交界处，中梁品质好房。 速来！,中梁天悦华庭 -温岭市,3室2厅 | 87.51平米 | 西南 | 简装 | 低楼层(共10层)  | 板楼,2人关注 / 一年前发布,230,"26,283元/平"
国宾壹号 双九龙 首排 毛坯 中间楼层 看房有钥匙,国宾壹号 -温岭市,4室1厅 | 139.5平米 | 南 北 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 9个月以前发布,398,"28,531元/平"
小区环境宜人，安保设施完善，人文素质高，配套齐，,珑悦名苑 -东平路,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,2人关注 / 11个月以前发布,275,"21,826元/平"
银泰商圈 双九龙 双阳台 南北通 一梯一户 公摊少,国宾壹号 -温岭市,4室2厅 | 139平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,1人关注 / 9个月以前发布,361.5,"26,008元/平"
湖较尚城小区电梯高楼层，视野很好，户形方正,湖畔尚城 -大洋,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,310,"21,679元/平"
银泰宝龙商圈云樾观岭高层大型小区房东诚心卖,云樾观岭 -温岭市,4室2厅 | 129平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 28天以前发布,308,"23,876元/平"
董家洋商贸区，近轻轨口，次新小区大平层业主诚售,碧桂园·保利玖樟台 -体育场,4室2厅 | 197平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 27天以前发布,515,"26,143元/平"
小区好位置 自住精装修 拎包入住 三朝南动静分区,绿城海棠花苑 -体育场,3室2厅 | 156平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 29天以前发布,518,"33,206元/平"
德加公馆 3室2厅 南,德加公馆 -轮渡路,3室2厅 | 102平米 | 南 | 简装 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,228,"22,353元/平"
新明半岛 2室1厅 南,新明半岛 -东平路,2室1厅 | 88平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 29天以前发布,197,"22,387元/平"
户型方正全明格局，视野好无遮挡，大阳台通风好,德加公馆 -轮渡路,3室2厅 | 116.9平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,275,"23,525元/平"
海棠花苑 三朝南大户型，前面就是别墅，无遮挡视野好,绿城海棠花苑 -体育场,4室2厅 | 208平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,728,"35,000元/平"
户型方正，全明格局，视野好，无遮挡，大阳台，通风好,学府水岸小区 -轮渡路,4室2厅 | 134平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,318,"23,732元/平"
谢鲁王路 3室1厅 南 北,谢鲁王路 -老城区,3室1厅 | 80平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,99.8,"12,475元/平"
中梁壹号院洋房好楼层，湖景房，车位电梯口,中梁·壹号院 -玉环新城,3室2厅 | 119平米 | 东南 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 22天以前发布,169,"14,202元/平"
路北街道CBD，交通便利，配套完善,星光园小区 -路北,4室1厅 | 210平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 27天以前发布,409.5,"19,500元/平"
横峰新小区，环境优美，小区人车分流，出行方便,湖悦华庭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,197.35,"13,801元/平"
横峰新小区，环境优美，小区人车分流，出行方便,湖悦华庭 -温岭市,2室2厅 | 88平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 29天以前发布,123.2,"14,000元/平"
小区新，交通便利、好楼层视线开阔、配套设施齐全,祥生国宾府 -路北,3室2厅 | 128.94平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 18天以前发布,239.8,"18,598元/平"
小区新，交通便利、好楼层视线开阔、配套设施齐全,祥生国宾府 -路北,4室2厅 | 129平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 28天以前发布,246.5,"19,109元/平"
椒江西商务区 学院路 白云 市民广场和合公园 青悦城,東泰華庭 -东平路,2室2厅 | 108平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,218,"20,186元/平"
吾悦二期套房，靠山低楼层，看房方便,吾悦广场东区 -玉环城区,3室1厅 | 136平米 | 东南 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 27天以前发布,239,"17,574元/平"
此房属于高.端性品质小区 人车分流 配套设施齐全,祥生国宾府 -路北,4室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 19天以前发布,254.1,"19,547元/平"
吾悦二期套房，靠山低楼层，看房方便,吾悦广场东区 -玉环城区,3室1厅 | 136平米 | 东南 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 27天以前发布,239,"17,574元/平"
好楼层好户型 三朝南户型 明厨明卫 采光和通风很好,朱家茗居 -桐屿,3室2厅 | 124平米 | 东 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,165,"13,307元/平"
天辰誉府129.5平方，落地窗大客厅，楼层好，诚心出售,方远·天辰誉府 -机场北路,3室2厅 | 129平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 18天以前发布,270,"20,931元/平"
名都锦绣花园满两年朝南楼梯好楼层自住装修保养好,名都·锦绣花园 -机场北路,3室2厅 | 150平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 26天以前发布,188,"12,534元/平"
吾悦套房，边套好位置，看房方便，,吾悦广场东区 -玉环城区,3室2厅 | 143平米 | 东南 南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 30天以前发布,255,"17,833元/平"
此房临.近轻轨站点 商.业步行街 精装修 封闭式小区,森语苑 -洪家,3室1厅 | 124.3平米 | 南 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 20天以前发布,262,"21,079元/平"
碧海明珠花园南区 3室1厅 南,碧海明珠花园南区 -东平路,3室1厅 | 138平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 29天以前发布,254,"18,406元/平"
伟程时代广场，电梯高楼层，精装修保奍的很好,伟程时代广场商住楼 -靖江,4室2厅 | 156.5平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,255,"16,294元/平"
台州府路，毛坯房有车棚，看房方便。,台州府路 -江南,3室2厅 | 138.85平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 26天以前发布,185,"13,324元/平"
朗琴湾 4室1厅 南,朗琴湾 -螺洋,4室1厅 | 148.53平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,200,"13,466元/平"
94平米，138万房主诚心出，可谈。,臻园山水一品一期 -江南,2室1厅 | 94.5平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 27天以前发布,138,"14,604元/平"
伟星靖江花城 4室2厅 南,伟星靖江花城 -靖江,4室2厅 | 176平米 | 南 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 1个月以前发布,295,"16,762元/平"
下叠带大花园，地下室现浇两层，包双车位,朗成江南墅 -市府,4室2厅 | 167平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 30天以前发布,808,"48,384元/平"
花街小区 5室2厅 南,花街小区 -靖江,5室2厅 | 176平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,208,"11,819元/平"
伟星城美景园高层143平方有车位3室1厅298万,伟星城·美景园 -江南,3室1厅 | 143平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 26天以前发布,298,"20,840元/平"
欧尚旁华盛豪园  简装，南北通  产权清晰！70年.,华盛豪园 -机场北路,4室1厅 | 128平米 | 南 | 简装 | 中楼层(共7层)  | 平房,0人关注 / 20天以前发布,151,"11,797元/平"
佳源142平大四房252.8万横厅视野 三面采光 连廊独享,佳源壹号公馆 -温岭市,4室2厅 | 142平米 | 东南 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 17天以前发布,252.76,"17,800元/平"
紫城苑 3室2厅 南,紫城苑 -温岭市,3室2厅 | 158平米 | 南 | 其他 | 低楼层(共13层)  | 板塔结合,0人关注 / 19天以前发布,360,"22,785元/平"
精装修西溪山庄御景园3室2厅三朝南。,西溪山庄御景园 -温岭市,3室2厅 | 143平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 20天以前发布,278,"19,441元/平"
金成华府 4室1厅 南,金成华府 -东平路,4室1厅 | 138.93平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 22天以前发布,416,"29,944元/平"
恒大城市天地二期精装修两室两厅两卫拎包入住,恒大城市天地 -洪家,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 31天以前发布,160,"17,392元/平"
台州国际商务广场 1室 37.74m²双白动小套 密码看房,台州国际商务广场 -市府,1室1厅 | 37.74平米 | 东 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 28天以前发布,75,"19,873元/平"
