标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
天一尊邸六七复   试楼  精装修 带露台 可拎包入住,天一尊邸 -经开区商圈,6室2厅 | 142平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,82.5,"5,810元/平"
市政府版块户型通透。格局分布合理,和锦園 -行政中心商圈,4室2厅 | 168.25平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 4个月以前发布,138,"8,203元/平"
新出品质小区四房，一梯一户，居住好，房东诚意出售,九颂金科·云玺台 -行政中心商圈,4室2厅 | 135平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,148,"10,963元/平"
森林里的洋房，远亲不如邻里，的宜居养老小镇,十里风荷 -旭日商圈,3室2厅 | 129.92平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,79,"6,081元/平"
万达微住宅 70年产权 产证满二 带租约 拎包即住,万达晶座 -万达商圈,1室1厅 | 64.69平米 | 东南 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 14天以前发布,63,"9,739元/平"
带湖花城别墅 产证满2年，过户税费低，居住舒适,带湖花城 -十一小商圈,4室2厅 | 221平米 | 南 | 毛坯 | 中楼层(共4层)  | 板塔结合,11人关注 / 一年前发布,205,"9,277元/平"
饶中旁纯别墅区 三清玫瑰园联排别墅满两年,三清玫瑰园 -十一小商圈,5室2厅 | 284平米 | 南 北 | 毛坯 | 3层  | 板楼 | 独栋别墅 ,28人关注 / 一年前发布,248,"8,733元/平"
市政府板块 大三房毛坯 有钥匙 业主急售,汇成观邸 -行政中心商圈,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,120,"9,375元/平"
翼天城，毛胚小高层房，前后视野无遮挡，产证已拿到。,翼天城 -十一小商圈,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,93,"7,882元/平"
龙华凤凰城 不沿街离校近 东边套视野开阔房东诚心出售,龙华凤凰城 -十一小商圈,3室2厅 | 131.66平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,4人关注 / 11个月以前发布,135,"10,254元/平"
房东诚心出售  看房方便  房子市  中  心,滨江东路128号 -亿升商圈,4室3厅 | 220平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,7人关注 / 一年前发布,121,"5,500元/平"
九州奥城 毛坯 中层 满五年税费低,九州奥城 -十一小商圈,3室2厅 | 127.22平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,98,"7,704元/平"
新上翼天城优质房源 房东诚售 看房方便,翼天城 -十一小商圈,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,119,"10,085元/平"
云秀园好房推荐，边套有院子，位置好，交通方便,云秀园 -大市场商圈,6室3厅 | 224平米 | 东南 | 其他 | 3层  | 板楼 | 联排别墅 ,0人关注 / 4个月以前发布,239,"10,670元/平"
满两年，户型好，居住舒适，生活便利。,九州奥城 -十一小商圈,3室2厅 | 126.8平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,90,"7,098元/平"
步行街，菜市场，生活居住舒适好房~,天河楼苑 -亿升商圈,4室2厅 | 204平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,98,"4,804元/平"
三清山大道旁，产证户型端正大三房。,锦路花园 -十一小商圈,3室2厅 | 139.75平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,85,"6,083元/平"
此房满五不唯一， 小区对门就是乐卖特*市很方便,北園 -大市场商圈,3室2厅 | 111平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,22人关注 / 一年前发布,78,"7,028元/平"
九州奥城 毛坯 中层 满五年税费低,九州奥城 -十一小商圈,3室2厅 | 127.22平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,98,"7,704元/平"
小区环境好，户型方正，业主诚心卖,翼天城 -十一小商圈,3室2厅 | 116.69平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 8个月以前发布,92,"7,885元/平"
商贸城米兰春天成熟小区 70年产权可读书公寓,永隆米兰春天 -商贸城商圈,1室0厅 | 34.59平米 | 南 | 其他 | 高楼层(共22层)  | 板楼,0人关注 / 11天以前发布,39.9,"11,536元/平"
远离城市喧嚣皈依大自然 享受四世同堂的天伦之乐,云秀园 -大市场商圈,5室2厅 | 240平米 | 东南 南 | 其他 | 3层  | 板楼 | 联排别墅 ,1人关注 / 3个月以前发布,249.8,"10,409元/平"
五三延伸段御墅湾一线江景别墅 独栋别墅   看房方便,御墅湾 -万力商圈,5室2厅 | 343平米 | 东南 | 其他 | 3层  | 板楼 | 联排别墅 ,0人关注 / 2个月以前发布,820,"23,907元/平"
永隆米兰春天 8室2厅 南,永隆米兰春天 -商贸城商圈,8室2厅 | 89.64平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,129,"14,391元/平"
小高层，花园式小区，读书步行200米左右。,晶科·广信公馆 -经开区商圈,3室2厅 | 89.55平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,59,"6,589元/平"
龙湖一品复式楼边套，高档小区，环境优雅！,龙湖一品 -行政中心商圈,5室3厅 | 207.62平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,352,"16,955元/平"
龙潭湖 湖景房 楼层好 户型好,龙湖一品 -行政中心商圈,4室2厅 | 154.51平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,188,"12,168元/平"
十里风荷大别墅 居住环境舒适 配套齐全,十里风荷 -旭日商圈,4室2厅 | 189.65平米 | 东南 | 其他 | 低楼层(共2层)  | 板楼,0人关注 / 3个月以前发布,340,"17,928元/平"
信州区好楼层三房价格美丽，小区环境优美,东投长安府 -行政中心商圈,3室1厅 | 117.4平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,1人关注 / 3个月以前发布,107.8,"9,183元/平"
龙潭湖公园边房子视野很好可看龙潭湖带车位一起的价格,滨江棕榈公园壹号 -行政中心商圈,3室2厅 | 130.55平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,9人关注 / 10个月以前发布,160,"12,256元/平"
面积大，屋内无遮挡，采光充足，房子南北朝向,三清国际花园 -行政中心商圈,3室2厅 | 138.85平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,93,"6,698元/平"
房子满五年    不唯一     产权清晰     随时过户,华厦西苑 -十一小商圈,3室2厅 | 157.12平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,88,"5,601元/平"
棕榈电梯花园洋房居住舒适前后无遮挡业主原价出售,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 133.06平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,11人关注 / 10个月以前发布,162,"12,175元/平"
九州奥城好房推荐，你值得拥有！！！,九州奥城 -十一小商圈,3室2厅 | 136.2平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,95,"6,976元/平"
交通便利四通八达chao大绿化满眼绿意,和锦園 -行政中心商圈,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,4人关注 / 5个月以前发布,96,"8,276元/平"
九州奥城 南北通的大三房精装修 看房方便 可拎包入住,九州奥城 -十一小商圈,3室2厅 | 135平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,98,"7,260元/平"
市政府旁，新社区，小区门口就是龙潭湖公园，配套齐全,九颂金科·云玺台 -行政中心商圈,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,2人关注 / 4个月以前发布,132.2,"11,496元/平"
此房满2年，房东诚心卖，户型南北通 视野开阔,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 112.46平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 1个月以前发布,90.8,"8,074元/平"
亿豪星城 4室2厅 南,亿豪星城 -旭日商圈,4室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,4人关注 / 5个月以前发布,115,"10,000元/平"
风景区的电梯洋房中层 业主诚心卖 产权清晰,十里风荷 -旭日商圈,3室2厅 | 122.73平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,81,"6,600元/平"
户型方正 朝南 格局分布合理 居住舒适,天一尊邸 -经开区商圈,3室2厅 | 113平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,80.8,"7,151元/平"
棕榈公园壹号南区好位置 纯洋房小区 公摊少得房率高,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 130平米 | 东南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,158,"12,154元/平"
此房南北通风。三开间朝南，电梯洋房,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 130.81平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,12人关注 / 5个月以前发布,145,"11,085元/平"
龙潭湖公园旁 独梯独户 市政府 双公园,九颂金科·云玺台 -行政中心商圈,4室2厅 | 135平米 | 东 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,148,"10,963元/平"
大四房 楼间距宽 小区环境好 出行方便,十里风荷 -旭日商圈,4室2厅 | 142.35平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,97,"6,815元/平"
此房满五唯一，通明格局，楼层好，视野开阔，,金茂商务楼 -旭日商圈,3室2厅 | 131.04平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,67,"5,113元/平"
上饶县县政府后面旭日公园旁成熟小区上层时代低层大,上层时代 -旭日商圈,3室2厅 | 132平米 | 东 | 毛坯 | 高楼层(共19层)  | 塔楼,0人关注 / 一年前发布,99.8,"7,561元/平"
县广场边上， 户型方正，交通便利诚心出售,金科奥园铂悦都会 -经开区商圈,3室2厅 | 108.39平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,85,"7,843元/平"
县广场边上， 户型方正，交通便利诚心出售,金科奥园铂悦都会 -经开区商圈,3室2厅 | 108.39平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,85,"7,843元/平"
房东急售   翡翠城 边套大四房,翡翠城 -经开区商圈,4室2厅 | 135.74平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,92,"6,778元/平"
樱花半岛，小区环境优美，精装三房，拎包入住,樱花半岛 -七六路商圈,3室2厅 | 96.01平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,106,"11,041元/平"
吾悦广场旁小区精装拎包入住，楼层好，满五年税低,凯旋江岸首府 -七六路商圈,3室2厅 | 104.7平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 28天以前发布,93,"8,883元/平"
名江丽景花园B区 3室2厅 南 北,名江丽景花园B区 -旭日商圈,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,86,"6,616元/平"
新城吾悦广场 3室2厅 南,新城吾悦广场 -旭日商圈,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 25天以前发布,136,"10,709元/平"
西城一品 4室2厅 南 北,西城一品 -七六路商圈,4室2厅 | 143平米 | 南 北 | 简装 | 低楼层(共13层)  | 板楼,0人关注 / 25天以前发布,92,"6,434元/平"
亿升滨江花园园林小区江景房天虹商场,亿升滨江花园 -万力商圈,2室2厅 | 90.31平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 25天以前发布,108,"11,959元/平"
此房满五，配套设施齐全，交通便利，楼层好，采光充足,赣东北大道39号 -亿升商圈,2室1厅 | 64.1平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,50,"7,801元/平"
视野宽阔，采光刺眼，交通便利，生活便利,碧桂园信州府 -大市场商圈,3室1厅 | 147.66平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,145,"9,820元/平"
户型方正，视野开阔。新小区，环境优美。,德信碧桂园君宸府 -七六路商圈,3室2厅 | 99.55平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 28天以前发布,85,"8,539元/平"
采光好 户型端正 拎包入住 隔壁就是县中，县壹小,育才路46号 -七六路商圈,3室1厅 | 98平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 31天以前发布,53,"5,409元/平"
位置好5加6 两层价格可谈 欢迎咨询帅哥,紫光苑小区 -紫阳商圈,3室1厅 | 126.69平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,104.8,"8,273元/平"
惟义路大三房，配套设施齐全。放心物业。,德信碧桂园君宸府 -七六路商圈,3室2厅 | 113.64平米 | 东南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 29天以前发布,95,"8,360元/平"
雍景湾位于武夷山大道边上，小区绿化好，楼间距宽,雍锦湾 -经开区商圈,3室2厅 | 112.86平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 22天以前发布,79,"7,000元/平"
嘉怡华府 2室1厅 南,嘉怡华府 -万达商圈,2室1厅 | 88.37平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 29天以前发布,95,"10,751元/平"
带湖路好楼层 带湖路圆盘 中装两房,带湖路3号 -十一小商圈,2室1厅 | 64平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,45,"7,032元/平"
简装2房 拎包即住 电梯中间楼层 业主诚心出售,三清楼 -亿升商圈,2室2厅 | 106.13平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 22天以前发布,68,"6,408元/平"
毛坯任意装修！小区环境优美 ，绿化面积覆盖高,中航城波波里花园 -商贸城商圈,2室1厅 | 95平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 23天以前发布,95,"10,000元/平"
房东急售！南师大旁 南北通透大3房 环境优美！,龙都尚品 -经开区商圈,3室2厅 | 124.47平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 22天以前发布,91,"7,311元/平"
饶中旁 毛胚复式小高层 户型通透  付一楼带花园,和锦園 -行政中心商圈,4室2厅 | 103.7平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 26天以前发布,139,"13,405元/平"
常年空气都达到国家2级标准 空气环境好，小区内部配..,十里风荷 -旭日商圈,3室2厅 | 122平米 | 东南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 27天以前发布,78,"6,394元/平"
毛坯大四房，客厅双阳台通透采光好，户型格局好,博能信江府 -七六路商圈,4室2厅 | 141.62平米 | 东 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,128,"9,039元/平"
一线江景 品质小区 电梯中层 纯边套三房 房东底价出售,帝泊湾 -经开区商圈,3室2厅 | 112.61平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 19天以前发布,95.8,"8,508元/平"
翡翠城小区位于交通便利的凤凰大道朱干道,翡翠城 -经开区商圈,3室2厅 | 100.45平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,68,"6,770元/平"
此房位于交通便利，购物便利的凤凰大道主干道一个小区,翡翠城 -经开区商圈,3室2厅 | 100.45平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,72,"7,168元/平"
毛坯大四房，客厅双阳台通透采光好，户型格局好,博能信江府 -七六路商圈,4室2厅 | 141.62平米 | 东 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,128,"9,039元/平"
城北大盘，改善4房带6米地下室，看房方便,尚锦名都 -旭日商圈,4室2厅 | 135平米 | 东南 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 30天以前发布,130,"9,630元/平"
采光足 户型正  带车库 诚心出售,九州奥城 -十一小商圈,3室2厅 | 119.2平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,100,"8,390元/平"
新装修未入住小面积，户型方正，光线无遮挡，生活便利,五三大道55号 -亿升商圈,2室1厅 | 68.8平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,59,"8,576元/平"
铁路新村 步梯中层  业主诚心出售,铁路新村 -十一小商圈,2室1厅 | 53.02平米 | 南 | 简装 | 中楼层(共6层)  | 平房,0人关注 / 29天以前发布,54.5,"10,280元/平"
五三西巷 3室1厅 南 北,五三西巷 -亿升商圈,3室1厅 | 78平米 | 南 北 | 简装 | 中楼层(共6层)  | 平房,0人关注 / 26天以前发布,76,"9,744元/平"
香江明珠 3室2厅 南,香江明珠 -七六路商圈,3室2厅 | 108.17平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 31天以前发布,79,"7,304元/平"
此房满五年，15小铁忠 离15小近,凤凰家园 -商贸城商圈,1室1厅 | 55.04平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,42,"7,631元/平"
