标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
高新十字  正规两室  南北双通透,西固热电三区 -海关,2室2厅 | 82.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 7个月以前发布,87,"10,540元/平"
银滩花园 两室两厅 南北通透 交通便利,银滩花园 -海关,2室2厅 | 83.42平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,30人关注 / 一年前发布,76,"9,111元/平"
房东诚心出售，装修有保证，交通便利，生活配套完整,丰宁德尚 -安宁高新区,1室2厅 | 79.85平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,4人关注 / 一年前发布,79.8,"9,994元/平"
交大电梯房，产权清晰  精装修  采光好,桃海商住楼 -交大,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,2人关注 / 8个月以前发布,128,"10,407元/平"
二热单位房 两室两厅  南北通透 中间楼层,二热家园（一区） -二热,2室2厅 | 61.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,76,"12,382元/平"
东部二热电厂家属院正规三室两厅,东岗电力小区 -二热,3室2厅 | 69.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,79,"11,445元/平"
雁滩 基业豪庭 南北通透  带露台 出售 4室2厅,基业豪庭 -雁滩高新区,4室2厅 | 195.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 11个月以前发布,185,"9,463元/平"
房子户型好，交通便利，适合上班族,东方服装厂家属院 -晏家坪,2室2厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,15人关注 / 一年前发布,83,"8,317元/平"
海关地铁口 兴兰阳光里 中间楼层精装修带全套家具家电,兴兰阳光里 -海关,2室2厅 | 99.59平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,129,"12,954元/平"
中海河山郡 三室两厅 精装修 南北通透 三房朝南,中海·河山郡 -莫高大道,3室2厅 | 122.96平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,138,"11,224元/平"
房屋毛坯改造性强，房屋面积大，交通便利。,雁京.罗马花园 -海关,3室2厅 | 162.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,3人关注 / 一年前发布,155,"9,517元/平"
此房位于 万达和大润发中间位置好；南北通透 楼层好.,金雁花园 -万达大润发,2室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,143,"11,819元/平"
西站 七里河 地铁口 电梯房 可按揭 交通便利 配套成熟,阳光家园玫瑰苑 -西站,3室2厅 | 122.79平米 | 东 西 | 简装 | 高楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,180,"14,660元/平"
雁滩万达大润发 武装部满五唯一 紧凑三室 低楼层,人民武装部 -万达大润发,3室1厅 | 78.53平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,1人关注 / 5个月以前发布,75,"9,551元/平"
户型方正，采光也没有遮挡，楼层是中间楼层。,桃花苑 -海关,2室2厅 | 103.95平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,105,"10,102元/平"
精装三居室带家具，前排河景房，视野宽阔,中海·河山郡 -莫高大道,3室2厅 | 93.56平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,9人关注 / 一年前发布,110,"11,758元/平"
广场跟前职工报社小区有好房出售,职工报社家属院（旧大路/皋兰路） -东方红广场,3室2厅 | 127.45平米 | 南 北 | 精装 | 高楼层(共9层)  | 塔楼,4人关注 / 一年前发布,158,"12,398元/平"
北滨河框架小两居，H户型，河景房,省劳教二所家属院 -师大,2室2厅 | 77平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,85,"11,039元/平"
总价低，全明户型，产权满二，业主诚心出售,中海·河山郡 -莫高大道,4室2厅 | 136.68平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,128,"9,365元/平"
兰新商圈，东部商圈，繁华地段，正规大三居,万国港 -东部,3室2厅 | 214.47平米 | 南 北 | 简装 | 高楼层(共30层)  | 塔楼,7人关注 / 一年前发布,200,"9,326元/平"
银静花园三室一厅一厨一卫电梯房。,银静花园 -火车站,3室1厅 | 83.88平米 | 东 北 | 简装 | 中楼层(共9层)  | 板楼,6人关注 / 一年前发布,88,"10,492元/平"
火车站商圈三室两厅两卫电梯房采光无遮挡,小汽车修理厂家属院（天水南路） -火车站,3室2厅 | 139.08平米 | 东 | 简装 | 高楼层(共14层)  | 板塔结合,2人关注 / 11个月以前发布,140,"10,067元/平"
东部 二热 东方花苑 框架 两室两厅 南北通透 可按揭,东方花苑 -东部,2室2厅 | 119.55平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,103,"8,616元/平"
南北通透H户型，采光好，中间楼层,甘肃省劳动厅家属院 -东部,2室2厅 | 60.45平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,94,"15,551元/平"
铁一 小区环境好 可停车 上学便利 采光佳,花园西小区 -五泉广场,2室2厅 | 59.64平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 一年前发布,75,"12,576元/平"
段家滩电梯房 楼层高 户型方正 业主诚心出售,飞天家园B区 -东部,3室2厅 | 128.3平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,15人关注 / 一年前发布,140,"10,912元/平"
此房格局方正，光线充足、南北朝向，业主诚心出售,欣欣嘉园（东区） -东部,4室2厅 | 171.56平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,14人关注 / 一年前发布,236,"13,757元/平"
五泉电梯房有院子停车方便产权可按揭,雅青花园 -五泉广场,3室2厅 | 118.15平米 | 东 西 | 精装 | 低楼层(共12层)  | 板楼,11人关注 / 一年前发布,132,"11,173元/平"
东西通透两室户型光线充裕无浪费产权到位可按揭急售,下西园小区 -下西园,2室2厅 | 89.18平米 | 东 西 | 简装 | 中楼层(共9层)  | 板塔结合,3人关注 / 一年前发布,82.8,"9,285元/平"
南北通透两室两厅两卫产权到位可按揭随时看房急售,盛世星座 -下西园,2室2厅 | 145.08平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,153,"10,546元/平"
经典四室，南北通透，视野宽阔，可观花园,中海兰庭 -安宁高新区,4室2厅 | 143.81平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 一年前发布,180,"12,517元/平"
王家堡 二十二  田园小区   电梯   2室,田园小区 -西站,3室1厅 | 109.24平米 | 东 北 | 简装 | 高楼层(共12层)  | 板楼,3人关注 / 8个月以前发布,105,"9,612元/平"
欣欣嘉园四室毛坯大平层带车位出售看房方便,欣欣嘉园（东区） -东部,4室2厅 | 171.56平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,230,"13,407元/平"
地铁口房子框架结构 采光好 户型方正 配套设施齐全,园丁小区 -东部,3室2厅 | 115.73平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,104,"8,987元/平"
出售铁路局三室两厅电梯高层可按揭,蓝宝石大厦 -西关南关,3室1厅 | 190.85平米 | 东 南 | 简装 | 中楼层(共30层)  | 板楼,1人关注 / 10个月以前发布,226,"11,842元/平"
万达旁 金雁花园 正规三房南北通透 采光好可按揭,金雁花园 -万达大润发,3室2厅 | 138.11平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 8个月以前发布,138,"9,993元/平"
雁滩公园 湖景房 南北通透 视野无遮挡 采光好 纯毛坯,欣月湖 -万达大润发,3室2厅 | 169.18平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,14人关注 / 一年前发布,310,"18,324元/平"
满五唯一地铁口 （看房源介绍，联系房源维护人看房）,融达小区(火车站东路/火车站南路) -火车站,2室2厅 | 102.23平米 | 南 北 | 简装 | 低楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,85,"8,315元/平"
精装修，户型规整，楼层好视野广阔，交通方便。,中集幸福里 -莫高大道,3室2厅 | 94.22平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,115,"12,206元/平"
南北通透户，视野宽阔，采光充足，配套设施齐全,金港城（金安花园） -金港城,3室2厅 | 136.84平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,115,"8,404元/平"
海亮精装三室，高楼层，业主诚心出售！,濱河壹号 -莫高大道,3室2厅 | 123.41平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,140,"11,345元/平"
此房南北通透，单位房，生活成本低，小区交通方便,雁滩路3609-3629号 -万达大润发,2室2厅 | 77.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,90,"11,657元/平"
花园式小区  两室 一楼急售  看房随时,凯地怡苑 -曦华源,2室2厅 | 121.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,126,"10,400元/平"
科教城西区电梯房  采光视野良好 南北通透户型,科教城西苑 -交大,3室2厅 | 122.73平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,159.8,"13,021元/平"
地处小区安静地带  闹中取静 中间楼层 采光良好,荣华小区 -仁恒美林郡,3室2厅 | 111.6平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,113,"10,126元/平"
仁恒美林郡 正规两室一厅 朝南户型方正 看房方便,兰石润安小区 -仁恒美林郡,2室1厅 | 68.58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,89,"12,978元/平"
高新十字  正规两室  南北双通透,西固热电三区 -海关,2室2厅 | 82.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 7个月以前发布,87,"10,540元/平"
海关罗马花园 三室毛坯  小高层中间楼层 随时看房,雁京.罗马花园 -海关,3室2厅 | 142.96平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,11人关注 / 一年前发布,175,"12,242元/平"
南北通透户，视野宽阔，采光充足，配套设施齐全,金港城（金安花园） -金港城,3室2厅 | 136.84平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,115,"8,404元/平"
海亮精装三室，高楼层，业主诚心出售！,濱河壹号 -莫高大道,3室2厅 | 123.41平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,140,"11,345元/平"
花园式小区  两室 一楼急售  看房随时,凯地怡苑 -曦华源,2室2厅 | 121.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,126,"10,400元/平"
科教城西区电梯房  采光视野良好 南北通透户型,科教城西苑 -交大,3室2厅 | 122.73平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,159.8,"13,021元/平"
西站十字 阳光复式大三室 南北通透 主题朝南 有钥匙,阳光家园牡丹苑 -西站,3室2厅 | 162.21平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 9个月以前发布,200,"12,330元/平"
交大电梯房，产权清晰  精装修  采光好,桃海商住楼 -交大,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,2人关注 / 8个月以前发布,128,"10,407元/平"
户型方正，南北通透，中间楼层，看房方便,东兴铝业兰州生活小区西区 -师大,2室2厅 | 89.79平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,2人关注 / 9个月以前发布,103,"11,472元/平"
东部二热电厂家属院正规三室两厅,东岗电力小区 -二热,3室2厅 | 69.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,79,"11,445元/平"
天庆花园一二楼南北通透楼 出售 带15平米花园,天庆花园 -雁滩高新区,4室2厅 | 187.22平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,11人关注 / 一年前发布,218,"11,645元/平"
二热单位房 两室两厅  南北通透 中间楼层,二热家园（一区） -二热,2室2厅 | 61.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,76,"12,382元/平"
房子户型好，交通便利，适合上班族,东方服装厂家属院 -晏家坪,2室2厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,15人关注 / 一年前发布,83,"8,317元/平"
万达好房出售，中间楼层，户型通透，采光好，诚心出售,雁沙花园 -万达大润发,3室2厅 | 117.2平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,130,"11,093元/平"
海关地铁口，电梯三室，南北通透户型。,天居锦河丹堤 -海关,3室2厅 | 90.02平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,123,"13,664元/平"
银滩花园 两室两厅 南北通透 交通便利,银滩花园 -海关,2室2厅 | 83.42平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,30人关注 / 一年前发布,76,"9,111元/平"
房东诚心出售，装修有保证，交通便利，生活配套完整,丰宁德尚 -安宁高新区,1室2厅 | 79.85平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,4人关注 / 一年前发布,79.8,"9,994元/平"
雁滩 基业豪庭 南北通透  带露台 出售 4室2厅,基业豪庭 -雁滩高新区,4室2厅 | 195.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 11个月以前发布,185,"9,463元/平"
此房南北通透，单位房，生活成本低，小区交通方便,雁滩路3609-3629号 -万达大润发,2室2厅 | 77.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,90,"11,657元/平"
此房位于 万达和大润发中间位置好；南北通透 楼层好.,金雁花园 -万达大润发,2室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,143,"11,819元/平"
万达大润发 好地段 正规三室 三面朝阳 全天候采光,金雁花园 -万达大润发,3室2厅 | 127.74平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,5人关注 / 11个月以前发布,144,"11,273元/平"
此房源位于大润发和万达正中间位置，交通便利购物方便,华峰大厦 -万达大润发,4室1厅 | 178.99平米 | 南 西 | 简装 | 中楼层(共28层)  | 板楼,6人关注 / 一年前发布,230,"12,850元/平"
科教城二期 一梯两户 南北通透 业主诚心出售,科教城雁滩二期园区 -雁滩高新区,3室2厅 | 123.24平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,10人关注 / 一年前发布,127,"10,306元/平"
急售 带电梯南北朝向通透户型中间楼层可按揭少 首付,红叶城 -雁滩高新区,3室2厅 | 134.51平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,9人关注 / 一年前发布,150,"11,152元/平"
中海兰庭毛坯房，中间楼层，视野广，采光好，产权清晰,中海兰庭 -安宁高新区,3室2厅 | 97.74平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,3人关注 / 一年前发布,124,"12,687元/平"
实际120平准电梯房两室两厅南北通透产权可按揭,甘肃省高级人民法院家属院（南河路） -雁滩高新区,2室2厅 | 77.83平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,8人关注 / 一年前发布,93,"11,950元/平"
小区环境优美，交通便利，看房方便,陽光怡园 -海关,2室2厅 | 114.69平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,14人关注 / 一年前发布,142,"12,382元/平"
海关商圈 精装两室 楼层好 采光无遮挡 带家具家电,众邦金水湾 -海关,2室2厅 | 108.53平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,18人关注 / 一年前发布,132,"12,163元/平"
天庆花园一二楼南北通透楼 出售 带15平米花园,天庆花园 -雁滩高新区,4室2厅 | 187.22平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,11人关注 / 一年前发布,218,"11,645元/平"
户型方正，南北通透，中间楼层，看房方便,东兴铝业兰州生活小区西区 -师大,2室2厅 | 89.79平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,2人关注 / 9个月以前发布,103,"11,472元/平"
东部二热电厂家属院正规三室两厅,东岗电力小区 -二热,3室2厅 | 69.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,79,"11,445元/平"
二热单位房 两室两厅  南北通透 中间楼层,二热家园（一区） -二热,2室2厅 | 61.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,76,"12,382元/平"
房子户型好，交通便利，适合上班族,东方服装厂家属院 -晏家坪,2室2厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,15人关注 / 一年前发布,83,"8,317元/平"
