标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
此房楼层适中 视野宽阔 采光好 边上配套齐全三室两卫,怡水馨园 -老城区,3室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,90,"6,618元/平"
名仕花园.步梯2楼.房证满五不唯一.,名仕花园 -老城区,2室1厅 | 103.33平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,60,"5,807元/平"
钻石名城6拖7，楼上楼下100平,钻石名城 -铁南,1室1厅 | 50平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,39,"7,800元/平"
恒大城电梯6楼    精装 拎包入住,恒大城 -老城区,3室2厅 | 136.84平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,95,"6,943元/平"
南北通透 步梯三居室  一楼带院,裕景花园 -老城区,3室1厅 | 120平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,917元/平"
百顺新区  3-1-1-1   70.00,百顺新区 -老城区,3室1厅 | 70平米 | 南 北 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 10个月以前发布,68,"9,715元/平"
惠利家园步梯3楼3室房源继续出售,惠利家园 -老城区,3室1厅 | 111.4平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,83,"7,451元/平"
市里馨园小区  成熟小区 交通方便,馨园小区 -老城区,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,95,"7,197元/平"
民住宅园区 步梯 三楼  三室一卫,民大住宅园区 -老城区,2室1厅 | 86.71平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,52,"5,998元/平"
品质小区 高  端物业 步梯2楼 通透户型 落地窗 大开间,东兴新城 -老城区,2室1厅 | 97平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"7,732元/平"
成型小区交通便利看房方便业主诚心出售无陈权纠纷,万达沁府 -老城区,3室1厅 | 126平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 11个月以前发布,77,"6,112元/平"
市区三居室 通透户型  随时看房子  拎包入住,恒汇华城 -老城区,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,86,"6,826元/平"
水务局小区2-1-1-1 57.24m²,水务局小区 -老城区,2室1厅 | 57.24平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,31,"5,416元/平"
香格里拉 附属医院 南北通透 三居室 毛坯,香格里拉 -老城区,4室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,96,"6,275元/平"
恒汇华城电梯11楼133平3室2卫带车位出售,恒汇华城 -老城区,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,83,"6,241元/平"
万华上都   3-1-1-2 132.00m²,万华上都 -铁南,3室1厅 | 132平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,86,"6,516元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,平安西区 -老城区,2室1厅 | 76平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,29,"3,816元/平"
此房楼层适中 视野宽阔 采光好 边上配套齐全三室两卫,怡水馨园 -老城区,3室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,90,"6,618元/平"
此房通透格局，楼层好，视野开阔，采光充足！,附小家属小区 -老城区,3室1厅 | 86.4平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,80,"9,260元/平"
金灿家园6拖7 成熟小区  交通便利  出行方便,利业金灿家园 -铁南,4室2厅 | 89.16平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,61,"6,842元/平"
（嘉和小区2楼南北通透户型，，,嘉和小区 -老城区,3室1厅 | 122平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,88,"7,214元/平"
市里馨园小区  成熟小区 交通方便,馨园小区 -老城区,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,95,"7,197元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,富景华城 -铁南,3室1厅 | 72平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,60,"8,334元/平"
万花商都  新装修   133平  95 万 出售,万华上都 -铁南,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,85,"6,391元/平"
步梯二楼，小区位置好，面积足，公摊小。,鑫丰家园 -老城区,3室1厅 | 90平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,65,"7,223元/平"
恒大城电梯6楼    精装 拎包入住,恒大城 -老城区,3室2厅 | 136.84平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,95,"6,943元/平"
钻石名城6拖7，楼上楼下100平,钻石名城 -铁南,1室1厅 | 50平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,39,"7,800元/平"
南北通透 步梯三居室  一楼带院,裕景花园 -老城区,3室1厅 | 120平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,917元/平"
璟苑 步梯楼 三室通透格局 看房提前致电,璟苑二期A区北区 -经济技术开发区,3室2厅 | 137.76平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,80,"5,808元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,德润园 -经济技术开发区,2室1厅 | 110平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,88,"8,000元/平"
典雅温馨，品味装修，高档小区电梯中间楼层，采光好,中信亚龙湾 -经济技术开发区,3室1厅 | 134平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,95,"7,090元/平"
三室两卫一厨一厅格局 双南卧南北通透   采光视野好,新天地住宅小区 -经济技术开发区,3室2厅 | 139.4平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 一年前发布,76,"5,452元/平"
金叶家园电梯10楼精装修实验，二中，业主诚心出售,金叶家园 -老城区,3室2厅 | 136平米 | 南 | 其他 | 中楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,100,"7,353元/平"
桥北  河畔花园   步梯楼  公摊小   拎包入住,河畔花园D区 -经济技术开发区,3室2厅 | 121平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,75.5,"6,240元/平"
378平毛坯房按照您的想法随心装修,龙兴世纪城(科尔沁区) -经济技术开发区,4室2厅 | 378平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,200,"5,292元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,泽信·旭园 -经济技术开发区,3室1厅 | 132平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,83,"6,288元/平"
德润园 红军肆中旁 三室两卫 飞机户型 带车位,德润园 -经济技术开发区,3室1厅 | 122平米 | 南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,95,"7,787元/平"
南北通透 电梯三居室 婚房装修 拎包入住,璟苑A区 -经济技术开发区,3室1厅 | 127平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,98.5,"7,756元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,西湖名都 -经济技术开发区,3室1厅 | 140.23平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,98,"6,989元/平"
市区 五中附 近馨园小区大三室业主诚心出售,馨园小区 -老城区,3室1厅 | 124平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,63,"5,081元/平"
中启御花园 清水 三室 近市府广场和摩尔城,中启·中央广场 -经济技术开发区,3室1厅 | 127.92平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,87,"6,802元/平"
泰丰电梯1楼半地下136平135万毛坯,泰丰·悦熙台 -经济技术开发区,4室2厅 | 136平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,135,"9,927元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,德润园 -经济技术开发区,2室1厅 | 110平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,88,"8,000元/平"
中启御花园 清水 三室 近市府广场和摩尔城,中启·中央广场 -经济技术开发区,3室1厅 | 127.92平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,87,"6,802元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,泽信·旭园 -经济技术开发区,3室1厅 | 132平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,83,"6,288元/平"
典雅温馨，品味装修，高档小区电梯中间楼层，采光好,中信亚龙湾 -经济技术开发区,3室1厅 | 134平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,95,"7,090元/平"
三室两卫一厨一厅格局 双南卧南北通透   采光视野好,新天地住宅小区 -经济技术开发区,3室2厅 | 139.4平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 一年前发布,76,"5,452元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,钻石名城 -铁南,3室1厅 | 110平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,73,"6,637元/平"
南北通透格局，楼层好，视野宽阔，采光充足.,裕景花园 -老城区,3室2厅 | 139平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,75,"5,396元/平"
檀香湾 电梯高层 飞机户型 随意装修 看房随时,檀香湾 -经济技术开发区,3室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共21层)  | 暂无数据,0人关注 / 1个月以前发布,80,"5,674元/平"
嘉和汇景湾A区3-1-1-1 116.00m² 74 万,嘉和汇景湾A区 -河西,3室1厅 | 116平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,74,"6,380元/平"
大三居飞机户型三室两卫东西都带拎包入住不把山不临,鹏通花园 -老城区,3室2厅 | 135平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,69.9,"5,178元/平"
成熟小区  交通便利  出行方便,玉良小区 -老城区,3室1厅 | 81平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,49.5,"6,112元/平"
广厦凤凰城3-1-1-2 130.00m² 85 万）,广厦凤凰城 -河西,3室1厅 | 130平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,80,"6,154元/平"
配套设施齐全，出行方便 房证没满二 可贷款,美域华府 -河西,3室2厅 | 89.85平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,92,"10,240元/平"
京汉君庭  洋房1楼  房证过二   看房方便,京汉君庭 -经济技术开发区,3室1厅 | 120平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,96,"8,000元/平"
金地2008，步梯三楼，小三居，飞机户型，房证过二,金地2008 -经济技术开发区,3室1厅 | 105平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,68,"6,477元/平"
桥北 富力尚悦局 三居两卫 同意贷款 看房方便,富力·尚悦居 -经济技术开发区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,73,"5,935元/平"
璟苑步梯4楼.学.区没用房证随时办.,璟苑二期A区北区 -经济技术开发区,3室1厅 | 138平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,86,"6,232元/平"
桥北 地矿花园 电梯中间楼层 精装三室两卫,地矿花园 -经济技术开发区,3室1厅 | 142.66平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,99,"6,940元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,凯旋城 -经济技术开发区,3室2厅 | 179.6平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,150,"8,352元/平"
京汉一期洋房2楼127平诚心出售,京汉新城一期 -经济技术开发区,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,79,"6,221元/平"
璟苑 步梯 通透户型 南北向 三居 满五唯一,璟苑A区 -经济技术开发区,3室2厅 | 122.01平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,85,"6,967元/平"
中信亚龙湾电梯4楼  采光好 无遮挡,中信亚龙湾 -经济技术开发区,3室1厅 | 127平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,105,"8,268元/平"
碧桂园电梯6楼 采光好 格局好,通辽碧桂园 -经济技术开发区,3室2厅 | 133平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,80,"6,016元/平"
璟苑二期A区一楼半地下 精装修 三居室带车库 拎包入住,璟苑二期A区南区 -经济技术开发区,3室2厅 | 92平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,118,"12,827元/平"
中信亚龙湾   电梯12楼  三室两卫户型  毛坯房,中信亚龙湾 -经济技术开发区,3室1厅 | 130平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,86,"6,616元/平"
中信亚龙湾小区 环境优雅 配套成熟 交通便利 采光充足,中信亚龙湾 -经济技术开发区,5室3厅 | 336平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,210,"6,250元/平"
中信亚龙湾123平精装拎包入住  12楼有房证可贷款,中信亚龙湾 -经济技术开发区,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,95,"7,724元/平"
泽信旭园  电梯26楼  毛坯房  随意装修,泽信·旭园 -经济技术开发区,3室1厅 | 132平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,82,"6,213元/平"
桥北 步梯楼 精装修 拎包入住 看房随时,北岸华庭 -经济技术开发区,3室2厅 | 157平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,69.8,"4,446元/平"
万达附 近 复式楼 简单装修 看房有钥匙 随时看房,村和新居 -老城区,4室2厅 | 201平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,71,"3,533元/平"
118万 118平 3室 朝向南 精装修,诚达龙庭国际B区 -老城区,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,114,"8,907元/平"
农牧小区，电梯2楼，180平.110万,农牧小区(建国路) -老城区,3室1厅 | 180平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,110,"6,112元/平"
房子是一楼半地下，挨着万达，附属医院，五中七中，,华泰小区 -老城区,4室3厅 | 138平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,65,"4,711元/平"
180平.130万，二楼，大落地窗，采光好。,农牧小区(建国路) -老城区,2室2厅 | 135平米 | 东南 南 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,73,"5,408元/平"
平安西区步梯2楼 精装修 拎包入住  房证满五唯一,平安西区 -老城区,3室1厅 | 131.79平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,85,"6,450元/平"
交警别墅一号院精装  拎包入住,交警别墅一号院 -老城区,4室2厅 | 161.35平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,130,"8,058元/平"
平安西区。2室1厅一卫房屋出售。采光充足,平安西区 -老城区,2室1厅 | 66平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,33,"5,000元/平"
平安西区，三室，通透格局，拎包入住,平安西区 -老城区,3室1厅 | 137.8平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,62,"4,500元/平"
吉地华府  3-1-1-2 137.36m²,吉地华府 -老城区,3室1厅 | 137.36平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,87,"6,334元/平"
五中嘉园 3室2厅 南 北,五中嘉园 -老城区,3室2厅 | 117.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,66,"5,603元/平"
通透格局，楼层好，视野宽阔，采光充足,教印厂小区 -老城区,2室1厅 | 71平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,33,"4,648元/平"
