标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
永盛家园，有证税满，看房方便，诚心出售，带楼顶花园,永盛幸福里 -现代城商圈,3室2厅 | 126.43平米 | 东 | 其他 | 高楼层(共5层)  | 平房,0人关注 / 3个月以前发布,40.5,"3,204元/平"
此房南北格局，户型明亮采光充足，前后无遮挡,颍滨上城 -沈丘县,3室2厅 | 116.5平米 | 南 | 其他 | 高楼层(共17层)  | 塔楼,0人关注 / 10天以前发布,51,"4,378元/平"
成熟小区，配套设施齐全 ，逛街购物一应俱全,中悦·上尊 -中原国际商贸城商圈,4室2厅 | 152平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,93,"6,119元/平"
御景国际小区，精装修，户型好.,御景国际小区 -沈丘县,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,52,"4,728元/平"
中州商贸城大三房业主急售，有证税满可过户！,中州商贸城家属院 -五一广场商圈,3室2厅 | 137.97平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 6个月以前发布,40,"2,900元/平"
中央花园 4室2厅 南 北,中央花园 -五一广场商圈,4室2厅 | 128.96平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,50,"3,878元/平"
汇林一楼带院采光*好，证满2无抵押，业主急售,汇林凤凰城 -兰亭山水商圈,3室2厅 | 120.14平米 | 南 | 简装 | 低楼层(共5层)  | 板塔结合,9人关注 / 一年前发布,68,"5,661元/平"
芙蓉街联排别墅，一楼带院子，三层楼带平台，简单装修,芙蓉花园 -现代城商圈,5室3厅 | 247.2平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,15人关注 / 一年前发布,150,"6,068元/平"
业主诚心出售 电梯洋房 精装修 楼层好 位置佳,中悦·上尊 -中原国际商贸城商圈,3室2厅 | 147.51平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,95,"6,441元/平"
坐拥城市繁华，顶天离地地的户型，静待有缘人,玖号院 -周师商圈,3室2厅 | 113平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,10人关注 / 5个月以前发布,62,"5,487元/平"
业主诚心出售 精装修 楼层好 位置佳 随时过户,巴黎左岸 -兰亭山水商圈,3室2厅 | 121.78平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,86,"7,062元/平"
金色东方大两房，精装修，拎包入住证件齐全，随时过户,佳利金色东方信苑 -文昌大道佳丽商圈,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,58,"7,250元/平"
新上！中悦三房！有证！业主直售！,中悦·上尊 -中原国际商贸城商圈,3室2厅 | 123.21平米 | 东 | 毛坯 | 低楼层(共19层)  | 板楼,0人关注 / 一年前发布,90,"7,305元/平"
理想城精装两居室，有证可按揭。,融辉理想城D1区 -商水县,2室2厅 | 82.79平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 11天以前发布,55,"6,644元/平"
中间楼层，采光好，楼下环境美。,理想城 -西华县,3室2厅 | 134.42平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 一年前发布,63,"4,687元/平"
东区碧桂园三房急售 户型方正 采光充足,周口碧桂园 -东新区商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,65,"5,417元/平"
户型方正大三房，此小区地理位置优越，出行方便,博研府 -项城市,3室2厅 | 132平米 | 南 | 其他 | 中楼层(共19层)  | 板塔结合,0人关注 / 12天以前发布,44.5,"3,372元/平"
德高金麟府 3室2厅 西,德高金麟府 -项城市,3室2厅 | 124平米 | 西 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,65,"5,242元/平"
毛坯无装修，装修即住， 户型方正 业主诚心出售,德高金麟府 -项城市,3室2厅 | 129.51平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,52,"4,016元/平"
建业壹号城邦 3室2厅 南 北,建业壹号城邦 -万基城商圈,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 9天以前发布,98,"7,314元/平"
一高旁，电梯洋房中层，新装修满五唯一，可按揭,亿达翰林居 -项城市,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 9天以前发布,65,"5,509元/平"
金海明月，中高层简装修三居，可按揭，拎包入住,金海明月 -项城市,3室2厅 | 116.52平米 | 南 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,72,"6,180元/平"
德高公园壹号，现房可以随时办房本，,德高公园壹号 -项城市,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 9天以前发布,48,"3,810元/平"
金蟾社区精装修，未入住，业主诚心出售，看房方便,金蟾社区D区 -项城市,3室2厅 | 120平米 | 东 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 11天以前发布,60,"5,000元/平"
"采光相当的好,小区环境好，房子的间距大，绿化面积广",奥兰未来城 -沈丘县,3室2厅 | 127.48平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 11天以前发布,55,"4,315元/平"
项城建业城  精装观景房  中间楼层 户型方正,项城建业城 -项城市,3室2厅 | 142.5平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,87,"6,106元/平"
五一路百货小区一楼，业主诚心卖，户型好，位置佳,五一路百货小区 -邦杰集团商圈,3室1厅 | 90.41平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,28,"3,098元/平"
金色华富，买六带七外复式，可用面积广，有证可以按揭,金色华府 -项城市,4室3厅 | 120平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,48,"4,000元/平"
金色东方大两房，精装修，拎包入住证件齐全，随时过户,佳利金色东方信苑 -文昌大道佳丽商圈,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,58,"7,250元/平"
新上！中悦三房！有证！业主直售！,中悦·上尊 -中原国际商贸城商圈,3室2厅 | 123.21平米 | 东 | 毛坯 | 低楼层(共19层)  | 板楼,0人关注 / 一年前发布,90,"7,305元/平"
新上！金色东方信苑大三房精装修！业主急售！,佳利金色东方信苑 -文昌大道佳丽商圈,3室2厅 | 120.59平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,71,"5,888元/平"
法姬娜电梯洋房 一梯两户 看房方便,法姬娜欧洲城 -商水县,3室2厅 | 127平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,59,"4,646元/平"
芙蓉街联排别墅，一楼带院子，三层楼带平台，简单装修,芙蓉花园 -现代城商圈,5室3厅 | 247.2平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,15人关注 / 一年前发布,150,"6,068元/平"
汇林一楼带院采光*好，证满2无抵押，业主急售,汇林凤凰城 -兰亭山水商圈,3室2厅 | 120.14平米 | 南 | 简装 | 低楼层(共5层)  | 板塔结合,9人关注 / 一年前发布,68,"5,661元/平"
永盛家园，有证税满，看房方便，诚心出售，带楼顶花园,永盛幸福里 -现代城商圈,3室2厅 | 126.43平米 | 东 | 其他 | 高楼层(共5层)  | 平房,0人关注 / 3个月以前发布,40.5,"3,204元/平"
升禾宽世界  中间楼层 全体采光 按揭全款均可 手慢无,升禾宽世界 -兰亭山水商圈,3室2厅 | 124.11平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,2人关注 / 5个月以前发布,55,"4,432元/平"
中央花园 4室2厅 南 北,中央花园 -五一广场商圈,4室2厅 | 128.96平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,50,"3,878元/平"
楼层好 视野开阔 采光充足 配套设施齐全,万科·溥天龙堂 -南环,4室2厅 | 139平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,96,"6,907元/平"
欧景国际，小区中间位置，可按揭，毛坯现房，随时过户,欧景国际 -沈丘县,3室2厅 | 136.09平米 | 南 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 2个月以前发布,75,"5,512元/平"
中央花园 3室2厅 南,中央花园 -五一广场商圈,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 9天以前发布,46,"3,594元/平"
皇都华庭  小区交通方便   孩子上学方便,皇都华庭 -淮阳县,3室2厅 | 108.6平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,3人关注 / 一年前发布,58,"5,341元/平"
金色东方佳苑  电梯19楼 户型*好   随时看房,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,42人关注 / 一年前发布,45,"3,750元/平"
安乐小区4-2-1-1 128.00m² 35 万）,安乐小区 -五一广场商圈,4室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,35,"2,735元/平"
全天采光，全明户型，周.边配套完备,海通润园 -西华县,3室1厅 | 114.69平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,55,"4,796元/平"
西街新城区三星花园简装住房出售,三星花园 -郸城县,3室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 15天以前发布,40,"2,740元/平"
皇都华庭  小区交通方便   孩子上学方便,皇都华庭 -淮阳县,3室2厅 | 108.6平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,3人关注 / 一年前发布,58,"5,341元/平"
志远小区3-2-1-2 124.00m² 67 万,志远小区 -沈丘县,3室2厅 | 124平米 | 南 | 简装 | 高楼层(共22层)  | 板塔结合,0人关注 / 15天以前发布,67,"5,404元/平"
楼层好 视野开阔 采光充足 配套设施齐全,万科·溥天龙堂 -南环,4室2厅 | 139平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,88,"6,331元/平"
现代城 简装修 看房方便 中楼层 采光好,西华现代城小区 -西华县,3室2厅 | 132.63平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,40,"3,016元/平"
采光好 交通便利 环境好出行方便,文庭雅苑 -沈丘县,3室2厅 | 133平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 14天以前发布,66,"4,963元/平"
此房户型方正。精装修，采光好，通风也好,深圳花园 -西华县,3室2厅 | 153.68平米 | 南 | 精装 | 低楼层(共13层)  | 暂无数据,4人关注 / 一年前发布,65,"4,230元/平"
北关清华路，清华园，三室两厅一卫精装修带车位,清华园 -西华县,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,55,"4,662元/平"
房子是有证的，证在手里的。业主的婚房。,振东纺织厂家属楼 -沈丘县,3室2厅 | 149.48平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,4人关注 / 4个月以前发布,39.9,"2,670元/平"
建业森林半岛 装修3房 楼层好 可按揭 看房方便,建业森林半岛 -周师商圈,3室2厅 | 120平米 | 西南 | 简装 | 低楼层(共26层)  | 板塔结合,8人关注 / 一年前发布,61,"5,084元/平"
德高金麟府，环境优美，配套设施齐全。。。,德高金麟府 -项城市,3室2厅 | 125.22平米 | 东 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,56,"4,473元/平"
德高金麟府，环境优美。配套设施齐全。。。。,德高金麟府 -项城市,3室2厅 | 122平米 | 西南 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 12天以前发布,55,"4,509元/平"
房子是在6楼，家具家电齐全，有房产证，7楼有阳台,欧洲花园 -沈丘县,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,49,"3,829元/平"
此房 采光好  户型端正 卧室朝阳 随时看房,旭日華庭 -中原国际商贸城商圈,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 24天以前发布,42,"4,667元/平"
此房有证 3卧，卧室朝南 一梯2户 94.8平,新华步行街 -五一广场商圈,3室1厅 | 95.81平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 24天以前发布,27,"2,819元/平"
泰和家园C区，半精装房源急售 急售,周口市泰和家园 -未知商圈,2室2厅 | 86平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 29天以前发布,30,"3,489元/平"
急售！川汇区政府旁两房，电梯，新房毛坯,贾鲁嘉苑B区 -川汇区政府商圈,车位 | 83.5平米 | 南  | 暂无数据,0人关注 / 20天以前发布,21,"2,515元/平"
急售的两室两厅，前无遮挡，采光很好,贾鲁嘉苑B区 -川汇区政府商圈,2室2厅 | 82.44平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 23天以前发布,20.2,"2,451元/平"
阳光花园电梯房，中间楼层，光线很好，价格合适,阳光花园二期 -沈丘县,3室2厅 | 129.1平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 23天以前发布,42,"3,254元/平"
文化广场 3室2厅 南,文化广场 -川汇区政府商圈,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共12层)  | 板塔结合,0人关注 / 19天以前发布,35,"3,302元/平"
此房格局好，户型佳，视野开阔，采光充足，,海燕职专家属院 -文昌大道佳丽商圈,2室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,35,"3,098元/平"
和谐花园 2室1厅 东,和谐花园 -文昌大道佳丽商圈,2室1厅 | 81.16平米 | 东 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 26天以前发布,28.5,"3,512元/平"
美好家园 2室1厅 南,美好家园 -万基城商圈,2室1厅 | 80平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,28.5,"3,563元/平"
户型方正，采光面宽，环境好，交通方便,格林绿色港湾 -万基城商圈,2室2厅 | 85平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,40,"4,706元/平"
海燕鑫聚 2室2厅 南 北,海燕鑫聚 -五一广场商圈,2室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 29天以前发布,30,"3,125元/平"
金海嘉苑A区 2室2厅 南,金海嘉苑A区 -川汇区政府商圈,2室2厅 | 81平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 29天以前发布,19,"2,346元/平"
此房位置好，带大阳台，户型好，采光很好，有证可过户,美好家园 -万基城商圈,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,31,"3,875元/平"
康馨庄园 2室1厅 南,康馨庄园 -沈丘县,2室1厅 | 94平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 25天以前发布,55,"5,852元/平"
阳光澜岸 2室1厅 南 北,阳光澜岸 -兰亭山水商圈,2室1厅 | 77.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,30,"3,876元/平"
江南水乡 2室 有证 简单装修拎包入住 随时看房,江南水乡 -西华县,2室1厅 | 87.6平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,7人关注 / 一年前发布,20,"2,284元/平"
阳光花墅精装2房户型方正有证满2可分期。,阳光花墅 -南环,2室2厅 | 86.43平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,9人关注 / 一年前发布,49.9,"5,774元/平"
海通润园 配套齐全，交通便利，视野开阔,海通润园 -西华县,3室2厅 | 97.51平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,40,"4,103元/平"
东方国际 2室1厅 南,东方国际 -西华县,2室1厅 | 90.61平米 | 南 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 2个月以前发布,43,"4,746元/平"
夹河小区 步梯5楼 100平 简装 拎包入住,夹河小区 -项城市,3室1厅 | 100平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,22,"2,200元/平"
格林绿色港湾位置优越，阳光充足，视野开阔，户型方正,格林绿色港湾 -万基城商圈,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,3人关注 / 9个月以前发布,40,"4,820元/平"
富强华庭 精装两室 采光好 产权清晰,富强华庭 -西华县,2室1厅 | 86.96平米 | 东南 | 其他 | 低楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,37,"4,255元/平"
大地华府 有证可以按揭  楼层好 精装修,大地华府 -万基城商圈,2室1厅 | 60平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,32,"5,334元/平"
恒大名都，精装现房一楼带院，有证可按揭。,恒大名都 -东新区商圈,2室2厅 | 82.8平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,58.5,"7,066元/平"
