标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
林语堂  多层三楼   婚房装修   大自然地板,林语棠一期 -龙狮桥乡,3室1厅 | 131.65平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,126,"9,571元/平"
房东诚心出售，独门独院，适合一家老小居住,黄梅公寓 -怀宁县,4室3厅 | 224.05平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 8个月以前发布,248,"11,069元/平"
人寿保险精装宿舍加精装修复式楼出售，另加车库急售,中国人寿保险宿舍 -怀宁县,3室2厅 | 113.88平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,86.8,"7,623元/平"
天下名筑精装小三房 拎包入住 满两年 万达旁 房东诚售,天下名筑 -老峰镇,3室2厅 | 92.92平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,71.6,"7,706元/平"
山水云间精装三房 拎包入住 有大平台可种花种菜诚售,碧桂园山水云间 -龙狮桥乡,3室2厅 | 109.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,82,"7,503元/平"
精装洋房 四开间朝南 一楼有院子 带车位 证满,天下名筑 -老峰镇,4室2厅 | 133.29平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,110,"8,253元/平"
恒大绿洲一期 大三室 单价7000+ 朝南通透户型,恒大绿洲 -龙狮桥乡,3室2厅 | 121.16平米 | 南 | 精装 | 33层  | 塔楼,25人关注 / 6个月以前发布,80,"6,603元/平"
精装2房.面积无浪费。，楼层好,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 87.67平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,29人关注 / 一年前发布,75,"8,555元/平"
万达商圈，精装小高层，拎包入住，楼层好，视野开阔,大发宜景城二期 -龙狮桥乡,2室2厅 | 85.18平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,67.8,"7,960元/平"
恒大绿洲好位置 房主自主装修的精装大三房 诚心出售,恒大绿洲 -龙狮桥乡,3室2厅 | 140.78平米 | 南 | 精装 | 24层  | 板塔结合,4人关注 / 6个月以前发布,112,"7,956元/平"
此房户型方正，小区地理位置优越,绿地三期西斯莱公馆 -龙狮桥乡,3室2厅 | 133.81平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,2人关注 / 一年前发布,126,"9,417元/平"
万达旁  楼栋位置佳   边户证满三房  急售,大发宜景城四期 -龙狮桥乡,3室2厅 | 111.53平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,66,"5,918元/平"
房装修新，产权清晰，户型好，厅大，家具齐全,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 96.26平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,76.5,"7,948元/平"
恒大绿洲一期 大三室 单价7000+ 朝南通透户型,恒大绿洲 -龙狮桥乡,3室2厅 | 121.16平米 | 南 | 精装 | 33层  | 塔楼,25人关注 / 6个月以前发布,80,"6,603元/平"
碧桂园 山水云间 边户别墅 大院子 满二 随时看房 毛坯,碧桂园山水云间 -龙狮桥乡,3室2厅 | 177.45平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 2个月以前发布,249,"14,033元/平"
此房满五唯一，配套齐全，朝向南北，采光好，视野宽阔,中医院宿舍 -怀宁县,3室2厅 | 127.38平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,68,"5,339元/平"
精装修  可拎包入住  户型方正,宜城路66号 -华中路,3室2厅 | 97.63平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,68,"6,966元/平"
平台上一楼   两房朝南  户型方正,活塞环厂宿舍 -宜城路,2室1厅 | 75.37平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 21天以前发布,45.8,"6,077元/平"
此房为大平层，楼顶阳台全做好隔热层 精装,西湖绿洲城一期 -菱北,4室2厅 | 171.35平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,110,"6,420元/平"
置地康熙左岸 3室2厅 南 北,置地康熙左岸 -龙狮桥乡,3室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 25天以前发布,137.8,"12,760元/平"
华茂前排视野好 中间楼层 精装修,华茂1958A区 -菱湖,2室2厅 | 88.24平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 26天以前发布,108,"12,240元/平"
月亮城2楼，地段好，全明户型，可拎包入住！,月亮城小区 -玉琳路,3室1厅 | 94.93平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,89,"9,376元/平"
此房全明户型，户型方正，小区地理位置优越,置地百悦府 -大桥,4室2厅 | 164平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 22天以前发布,142,"8,659元/平"
恒大绿洲 2室1厅 北,恒大绿洲 -龙狮桥乡,2室1厅 | 89平米 | 北 | 其他 | 30层  | 塔楼,0人关注 / 1个月以前发布,70,"7,866元/平"
二期现房，好楼层，一线江景房，采光特 别好，无遮挡.,置地天玺 -龙狮桥乡,3室2厅 | 112.57平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,125,"11,105元/平"
迎江御墅精装两房 65万拎包入住,迎江御墅 -龙狮桥乡,2室2厅 | 86.78平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 30天以前发布,65,"7,491元/平"
小区环境优美，新交付，凤凰楼层，全新毛坯,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 19天以前发布,98,"9,703元/平"
七街商圈稀有商品房别野房东诚意出售，先到先得,文苑世家 -大桥,5室3厅 | 309.71平米 | 南 北 | 毛坯 | 3层  | 板楼,0人关注 / 21天以前发布,322,"10,397元/平"
简单装修，中高楼层视野好。满五唯一,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 118.15平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 21天以前发布,96,"8,126元/平"
苏宁悦城 三室二厅 101平 中间楼层,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 16天以前发布,105,"10,397元/平"
小区位于沿江路与潜江路交叉口，入户门厅是大理石铺装,安庆碧桂园·长江万里 -龙狮桥乡,3室2厅 | 120平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,78,"6,500元/平"
十四中，精装好的，中间楼层采光好,水岸花都 -龙狮桥乡,3室2厅 | 103平米 | 东南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 20天以前发布,73,"7,088元/平"
七街旁边   小区环境不错  人车分流,凯旋尊邸 -大桥,2室2厅 | 91.14平米 | 南 | 精装 | 22层  | 板楼,1人关注 / 一年前发布,118,"12,948元/平"
东部好房，满两年税费低，采光好，小两室适合过度人群,碧桂园山水云间 -龙狮桥乡,2室2厅 | 90平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,70,"7,778元/平"
花好悦园  架空一楼    户型方正  采光好,花好悦园 -菱湖,3室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 10个月以前发布,98,"8,991元/平"
此房为开发商装修 配上家具家电 拧包入住,安庆恒大珺睿府 -大桥,3室2厅 | 102平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,88,"8,628元/平"
山圆小区中高楼层两室一厅房主急售,山圆小区 -菱北,2室1厅 | 87平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,58,"6,667元/平"
十一中教职工宿舍，中间楼层，户型很好，房东诚心售房,十一中教工宿舍 -人民路,2室1厅 | 68.86平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,50,"7,262元/平"
滨江苑社区 1室1厅 南 北,滨江苑社区 -玉琳路,1室1厅 | 36.49平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,58,"15,895元/平"
闹中取静，南北朝向，楼层限，采光充足，配套齐全,菱湖南路三百二十三号 -孝肃路,1室1厅 | 44.35平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,30,"6,765元/平"
纯毛坯边户小三房     户型好 采光佳,大发宜景城三期 -龙狮桥乡,3室2厅 | 107.38平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,91.8,"8,550元/平"
诚心出售 中高楼层 采光无遮挡,高速·滨江首府 -龙狮桥乡,4室2厅 | 129.42平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,158,"12,209元/平"
凤凰湾120平毛坯大三房 视野很好 通透 背后秦潭湖,碧桂园凤凰湾 -龙狮桥乡,3室1厅 | 120平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,87.8,"7,317元/平"
大发学府汇毛坯大四房 视野开阔 采光佳 房东诚出,安庆大发学府汇 -龙狮桥乡,4室2厅 | 138.38平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,106,"7,661元/平"
碧桂园一号公园精装三房 采光无遮挡,碧桂园1号公园 -龙狮桥乡,3室2厅 | 131平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,100,"7,634元/平"
此房为中间层，采光好，视野开阔，户型方正，入住率高,置地皖江四季 -龙狮桥乡,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,148,"11,045元/平"
精装三房 南北直通户型 证满税少,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,115,"8,779元/平"
房子户型方正，有钥匙，看房方便。,雨润香水百合 -龙狮桥乡,3室1厅 | 105平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,115,"10,953元/平"
凤凰湾小区毛坯大三房 房东 诚意出售  随时可看,秦潭凤舞小区 -龙狮桥乡,3室2厅 | 119.44平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,98,"8,205元/平"
1号公园，毛坯大户型，采光无遮挡，户型方正,碧桂园1号公园 -龙狮桥乡,4室2厅 | 177平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,3人关注 / 一年前发布,115,"6,498元/平"
此房南北通，3室2厅1厨1卫，业主急售，价格可谈,大发宜景城三期 -龙狮桥乡,3室2厅 | 116.28平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,86,"7,396元/平"
中间好楼层 前方无遮挡 在家可以看江景 房子带车位,安庆大发学府汇 -龙狮桥乡,4室2厅 | 138.8平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,111,"7,998元/平"
视野开阔 采光充足 南北通透 出行方便 生活便携,安庆大发学府汇 -龙狮桥乡,3室2厅 | 116.02平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 9个月以前发布,86.8,"7,482元/平"
置地毛坯好房，采光好，视野开阔，户型方正,置地·皖江府 -龙狮桥乡,3室2厅 | 124平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,119.6,"9,646元/平"
此房唯一证满2年，东边户 采光好，毛坯带车位,逸龙新河湾 -龙狮桥乡,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 6个月以前发布,145,"11,508元/平"
杭派。滟澜香堤。采光好。视野豪无遮挡。,杭派·滟澜香堤 -龙狮桥乡,3室2厅 | 130.61平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,10人关注 / 一年前发布,111,"8,499元/平"
全新未入住  精装证满低税费  诚心出售 方便看,碧桂园1号公园 -龙狮桥乡,3室2厅 | 117平米 | 南 西 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,85,"7,265元/平"
南北通格局采光好，落地窗江景房，视野宽阔,置地皖江四季 -龙狮桥乡,3室1厅 | 134.72平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,131,"9,724元/平"
证不满2年毛呸自由装修户型方正 全天采光,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 平房,1人关注 / 一年前发布,85,"7,204元/平"
天下名筑全新毛坯房房间朝南楼层通透性好采光无遮挡,天下名筑 -老峰镇,4室2厅 | 120平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,108,"9,000元/平"
绿地三期毛坯证满，中间楼层，飞机户。,绿地三期西斯莱公馆 -龙狮桥乡,4室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,152,"10,556元/平"
大发三期 产证满两年 无增值税 户型*赞,大发宜景城三期 -龙狮桥乡,3室2厅 | 110.86平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,96,"8,660元/平"
林语堂三期中部楼层 飞机户型 采光好  业主诚意出售,宜海林语棠三期 -龙狮桥乡,3室2厅 | 109平米 | 南 北 | 其他 | 低楼层(共11层)  | 平房,1人关注 / 一年前发布,108,"9,909元/平"
房子户型方正，有钥匙，看房方便。,皖江春晓 -龙狮桥乡,3室2厅 | 121.31平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,121,"9,975元/平"
安庆中梁滨江壹号 3室2厅 南,安庆中梁滨江壹号 -龙狮桥乡,3室2厅 | 111.3平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,83,"7,458元/平"
皖江四季洋房，大户型四房，布局合理，南北通透,置地皖江四季 -龙狮桥乡,4室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,192,"13,062元/平"
安庆碧桂园177平，四房，纯毛坯，可自由发挥装修,碧桂园1号公园 -龙狮桥乡,4室2厅 | 178平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,18人关注 / 一年前发布,102,"5,731元/平"
大四房，房龄新，万达旁，配套齐全，交通便利。,天下名筑 -老峰镇,4室1厅 | 120.73平米 | 北 南 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,100,"8,283元/平"
全新毛坯房，户型方正，视野开阔，通风效果好,天下名筑 -老峰镇,3室2厅 | 121平米 | 东南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,130,"10,744元/平"
房龄新，纯毛坯，随意打造温馨居室,天下名筑 -老峰镇,4室2厅 | 120.72平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,103,"8,533元/平"
天下名筑三房  户型方正  采光好,天下名筑 -老峰镇,4室2厅 | 135.57平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,116,"8,557元/平"
凤凰湾毛坯三房 全明户型 配套齐全 前后视野很好,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,91.8,"7,650元/平"
大发四期，毛坯空置，小区环境优美，配套齐全,大发宜景城四期 -龙狮桥乡,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,82,"7,322元/平"
此房南北全明，楼层采光良好，小区环境优美,大发宜景城四期 -龙狮桥乡,3室2厅 | 128平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,105,"8,204元/平"
大发四期，毛坯空置，小区环境优美，配套齐全,大发宜景城四期 -龙狮桥乡,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,82,"7,322元/平"
大发四期，简装，交通方便，出行便利，看房方便,大发宜景城四期 -龙狮桥乡,3室2厅 | 111.12平米 | 东 南 | 简装 | 低楼层(共29层)  | 板楼,0人关注 / 一年前发布,90,"8,100元/平"
万达商圈，南北通透证满大三房，精装修,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,13人关注 / 一年前发布,72,"6,429元/平"
厅通阳台 毛坯三室 户型方正 采光好,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 126.03平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,110,"8,729元/平"
山水云间别墅，简单装修，满五唯一，院子很大,碧桂园山水云间 -龙狮桥乡,4室2厅 | 215平米 | 南 | 其他 | 3层  | 板楼 | 双拼别墅 ,16人关注 / 一年前发布,286,"13,303元/平"
此房视野开阔，采光充足，小区配套齐全，交通便利,大发宜景城三期 -龙狮桥乡,3室2厅 | 117.61平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,100,"8,503元/平"
万达南排小区 位置好 飞机户型 出行方便,辉煌新村 -龙狮桥乡,3室2厅 | 132平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,65,"4,925元/平"
天下名筑 全新毛坯3房户型方正可按自己喜欢的风格设计,天下名筑 -老峰镇,3室2厅 | 107.5平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,102,"9,489元/平"
万达旁  双公园  多层洋房  公摊小  楼层好,天下名筑 -老峰镇,4室2厅 | 135.8平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,118,"8,690元/平"
毛坯洋房，南北通透户型方正，人车分流，配套齐全,置地皖江四季 -龙狮桥乡,4室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,161,"12,106元/平"
绿地一期卡莎公馆，毛坯4室2卫，楼层好，采光佳，诚售,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 140平米 | 南 | 其他 | 33层  | 板楼,0人关注 / 一年前发布,128,"9,143元/平"
"滨江CBD, 皖江四季，采光视野好，看房方便，",置地皖江四季 -龙狮桥乡,3室2厅 | 138.8平米 | 南 | 其他 | 低楼层(共15层)  | 板塔结合,2人关注 / 一年前发布,138,"9,943元/平"
