标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
弘阳广场旁 立新步梯4楼 2室2厅1卫 配套成熟,立新二社区 -蒸湘区,2室2厅 | 88平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,29.8,"3,387元/平"
珠江愉景雅苑 电梯中层 满二 诚心出售,珠江愉景雅苑 -蒸湘区,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,75.9,"6,024元/平"
立新 邮政家属房 电梯3室2厅2卫  带院子停车方便,邮政家属院 -蒸湘区,3室2厅 | 121.09平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,49.8,"4,113元/平"
房子户型方正，三面采光，格局合理，带平台,雲沙诗意 -雁峰区,4室2厅 | 137.35平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,65.8,"4,791元/平"
丽天名园 大平层、 5 房毛坯房 115万,丽天名园 -蒸湘区,5室3厅 | 360平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 6个月以前发布,115,"3,195元/平"
（保卫里步梯一楼3-2-1-1 67.90m² 17.8 万）,保卫里 -珠晖区,3室2厅 | 67.9平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,29.8,"4,389元/平"
（盛世嘉园3-2-1-2 132.80m² 66.8 万）,盛世嘉园 -珠晖区,3室2厅 | 132.8平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 9个月以前发布,62.8,"4,729元/平"
盛世家园一线江景电梯精装修3房。拎包入住,盛世嘉园 -珠晖区,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 8个月以前发布,61.95,"4,840元/平"
船山东路   交通出行方便 大三房原房东装修,怡虹花苑 -珠晖区,5室2厅 | 156平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,56.8,"3,642元/平"
解放路连湖广场旁边  四室两厅出售  12楼,永兴阁 -石鼓区,4室2厅 | 160平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,59.8,"3,738元/平"
石鼓区 耀江花园文鼎苑，三采光。三阳台。产权清晰。,耀江花园·文鼎苑 -石鼓区,3室2厅 | 123.5平米 | 南 北 | 简装 | 低楼层(共24层)  | 暂无数据,2人关注 / 6个月以前发布,58,"4,697元/平"
花三房的价格住五房的大平层，全新毛坯，证件齐全,庆龙新视界 -石鼓区,5室2厅 | 127.9平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,69,"5,395元/平"
湘水左岸 3室2厅 南 北,湘水左岸 -石鼓区,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共21层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"4,438元/平"
碧桂园十里江湾 大平层 电梯中层 开发商精装5房,华耀碧桂园十里江湾 -石鼓区,5室2厅 | 263平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,160,"6,084元/平"
成龙成章学 校旁  耀江花园洋房3室 南北通透 满2年,雁西湖耀江花园 -石鼓区,3室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,51.8,"4,466元/平"
十里江湾大户型5房，房东诚心出售带大阳台。,华耀碧桂园十里江湾 -石鼓区,5室2厅 | 265平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,168,"6,340元/平"
恒大绿洲 三房 满二年 业主婚房 九成新装修 拎包入住,恒大绿洲 -蒸湘区,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,70.8,"6,379元/平"
衡府 4室2厅 南,衡府 -蒸湘区,4室2厅 | 196平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,1人关注 / 11个月以前发布,155,"7,909元/平"
环城北路2楼，一室一厅简装 21.8万元,环城北路 -石鼓区,1室1厅 | 45.29平米 | 南 | 简装 | 低楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,18.8,"4,152元/平"
愉景新城 2室1厅 南,愉景新城 -蒸湘区,2室1厅 | 50平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,34,"6,800元/平"
金钟大雁城 2室2厅 南,金钟大雁城 -蒸湘区,2室2厅 | 71平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,47,"6,620元/平"
碧桂园衡州盛世 3室2厅 南,碧桂园衡州盛世 -蒸湘区,3室2厅 | 106.47平米 | 南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 5个月以前发布,62,"5,824元/平"
大洋百货旁边带私家平台电梯房 家电齐全可拎包入住,肖家山63号 -雁峰区,2室2厅 | 123.15平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,10人关注 / 一年前发布,44.8,"3,638元/平"
尚书房 2室2厅 南,尚书房 -蒸湘区,2室2厅 | 88.6平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,14人关注 / 11个月以前发布,48.28,"5,450元/平"
立新开发区 阳光新居毛坯三房 步梯四楼 满二可按揭,阳光新居 -蒸湘区,3室2厅 | 129.37平米 | 东南 | 毛坯 | 中楼层(共8层)  | 暂无数据,16人关注 / 一年前发布,48,"3,711元/平"
此房小区环境优美，物管品质好，此房户型好，朝南。,星美新外滩 -蒸湘区,4室2厅 | 153平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,110,"7,190元/平"
急售  高星名居  电梯三房  满2,高星明居 -蒸湘区,3室2厅 | 116平米 | 南 | 简装 | 中楼层(共23层)  | 暂无数据,6人关注 / 7个月以前发布,69.8,"6,018元/平"
愉景新城精装两房，房子户型东南方向可以看江景,愉景新城 -蒸湘区,2室2厅 | 78平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,6人关注 / 一年前发布,52.8,"6,770元/平"
都市春天 4室2厅 南,都市春天 -蒸湘区,4室2厅 | 185平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,85,"4,595元/平"
船山大道 白金汉宫 南北通透 大四房 电梯中层,万恒公馆 -蒸湘区,4室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,75.8,"5,922元/平"
急售 平湖公园旁 沐林美郡 精装三房 满2,沐林美郡北区 -蒸湘区,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,75,"6,199元/平"
急售 愉景雅苑 精装三房 南北通透 婚房满2年带家电,珠江愉景雅苑 -蒸湘区,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,99.8,"7,984元/平"
石鼓区耀江花园文鼎苑，毛坯两房，光线充足，产证在手,耀江花园·文鼎苑 -石鼓区,2室2厅 | 75.59平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,13人关注 / 一年前发布,39,"5,160元/平"
蒸水小 学学 位房 全新毛坯大四房,润苑小区 -蒸湘区,4室2厅 | 168平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,70,"4,167元/平"
华新南华大学旁 彩霞满天 毛坯3室2厅2卫  户型方正,彩霞满天 -蒸湘区,4室2厅 | 121.39平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,65.8,"5,421元/平"
标准三房两厅 毛胚大空间想象装修,愉景新城 -蒸湘区,3室2厅 | 123.74平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,63.8,"5,156元/平"
柘里渡 祝融路小 学 一中 小区地理位置好,財富嘉苑 -蒸湘区,3室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,88.8,"6,041元/平"
太平小区2楼，好停车生活方便。,太平小区三区 -蒸湘区,3室2厅 | 68.8平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,38.8,"5,640元/平"
伴山公馆小高层电梯房，南北通透格局，楼层好，采光好,伴山公馆二期 -蒸湘区,3室2厅 | 125.76平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,55.8,"4,438元/平"
蒸湘区万达旁，单价5千一平毛坯现房，证满2年,创发城1938 -蒸湘区,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 7个月以前发布,79.8,"6,650元/平"
红本在手，交通便利，南北通南华大 学旁，旁边有商场,雁能领秀天地 -蒸湘区,4室2厅 | 165.58平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,84.8,"5,122元/平"
福悦名居 3室2厅 南,福悦名居 -蒸湘区,3室2厅 | 137.17平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,69.8,"5,089元/平"
丽佳花苑电梯中层宽阔视野的四房  毛坯南北通透,丽佳花苑 -蒸湘区,4室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,75,"5,282元/平"
公园一号三房两厅两卫，视野好，采光好,公园1号 -蒸湘区,3室2厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,63.8,"5,854元/平"
珠江愉景湾 4室2厅 南,珠江愉景湾 -蒸湘区,4室2厅 | 191平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,120,"6,283元/平"
衡洲府，带300平米的大平台3房，业主定居在外诚心卖,衡洲府 -蒸湘区,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,98,"7,000元/平"
金河湾·1881 3室2厅 南,金河湾·1881 -蒸湘区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,88,"6,985元/平"
蒸湘区万达旁，单价5千一平毛坯现房，证满2年,创发城1938 -蒸湘区,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 7个月以前发布,79.8,"6,650元/平"
福悦名居 3室2厅 南,福悦名居 -蒸湘区,3室2厅 | 137.17平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,69.8,"5,089元/平"
丽佳花苑电梯中层宽阔视野的四房  毛坯南北通透,丽佳花苑 -蒸湘区,4室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,75,"5,282元/平"
公园一号三房两厅两卫，视野好，采光好,公园1号 -蒸湘区,3室2厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,63.8,"5,854元/平"
华新白金汉宫户型朝南。视线开阔。采光充足，毛坯三房,万恒公馆 -蒸湘区,4室2厅 | 128平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,75.8,"5,922元/平"
恒大绿洲 全明户型 主卧带衣帽间 满二年,恒大绿洲 -蒸湘区,3室2厅 | 125平米 | 北 | 精装 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,90,"7,200元/平"
特变·水木融城 4室2厅 南 北,特变·水木融城 -蒸湘区,4室2厅 | 133.77平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,78.8,"5,891元/平"
蒸水小 学学 位房 全新毛坯大四房,润苑小区 -蒸湘区,4室2厅 | 168平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,70,"4,167元/平"
标准三房两厅 毛胚大空间想象装修,愉景新城 -蒸湘区,3室2厅 | 123.74平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,63.8,"5,156元/平"
柘里渡 祝融路小 学 一中 小区地理位置好,財富嘉苑 -蒸湘区,3室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,88.8,"6,041元/平"
太平小区2楼，好停车生活方便。,太平小区三区 -蒸湘区,3室2厅 | 68.8平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,38.8,"5,640元/平"
华新南华大学旁 彩霞满天 毛坯3室2厅2卫  户型方正,彩霞满天 -蒸湘区,4室2厅 | 121.39平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,65.8,"5,421元/平"
红湘北路 精装三房两厅两卫 可随时看房,裕康巷6号 -蒸湘区,3室2厅 | 125.49平米 | 南 北 | 精装 | 中楼层(共8层)  | 平房,16人关注 / 10个月以前发布,38,"3,029元/平"
星美新外滩 3室2厅 南,星美新外滩 -蒸湘区,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,693元/平"
恒大绿洲 精装三房  家具家电打包出售,恒大绿洲 -蒸湘区,3室2厅 | 112平米 | 东南 南 | 精装 | 低楼层(共31层)  | 板塔结合,8人关注 / 一年前发布,70.8,"6,322元/平"
华新开发区 全新毛坯 小区新绿化好.,长湖峰境 -蒸湘区,3室2厅 | 114.9平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,65,"5,658元/平"
中泰峰境 大阳台 视野无 敌 清水毛坯 电梯中高层,中泰·峰境 -蒸湘区,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,52.8,"5,933元/平"
中泰峰境 精装修电梯三房 全套家具家电 拎包入住,中泰·峰境 -蒸湘区,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 6个月以前发布,79,"7,315元/平"
华新 平湖公园畔 锦绣湘城毛坯三房5字头,锦绣湘城 -蒸湘区,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,5人关注 / 一年前发布,72.8,"5,919元/平"
星悦湾 3室2厅 南,星悦湾 -蒸湘区,3室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,80,"6,452元/平"
恒大绿洲 一室配套精装公寓 带阳台 温馨舒适  大开间,恒大绿洲 -蒸湘区,1室1厅 | 73.52平米 | 东 | 简装 | 中楼层(共29层)  | 平房,4人关注 / 一年前发布,43.8,"5,958元/平"
万恒公馆 3室2厅 南,万恒公馆 -蒸湘区,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 11个月以前发布,90,"7,628元/平"
华新开发区 毛坯三房 高品质楼盘 楼层好,俊景万和城 -蒸湘区,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 10个月以前发布,97,"7,638元/平"
明兴翰苑 2室1厅 东南,明兴翰苑 -蒸湘区,2室1厅 | 65平米 | 东南 | 精装 | 高楼层(共29层)  | 塔楼,3人关注 / 一年前发布,50,"7,693元/平"
平湖公园旁精装电梯两房，带全屋家具家电，可拎包入住,名城和顺家 -蒸湘区,2室1厅 | 72.34平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,3人关注 / 5个月以前发布,45.8,"6,332元/平"
华新汽车站旁 毛坯大三房 南北通透 满五唯一,金溪园 -蒸湘区,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,55,"4,231元/平"
房龄2013年左右，小区环境优美，绿化好，靠蒸水河。,融冠·水映豪庭 -蒸湘区,3室2厅 | 136.78平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,88,"6,434元/平"
雅士林御苑，大型小区，一线江景房，,雅士林御苑 -蒸湘区,3室2厅 | 113.5平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 9个月以前发布,71,"6,256元/平"
船山明珠 3室2厅 南,船山明珠 -蒸湘区,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,72,"5,582元/平"
和馨苑 南北通透 一梯一户大平层 带中 央空调,和馨苑 -蒸湘区,4室2厅 | 157平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,130,"8,281元/平"
彩霞满天，2房2厅1卫毛坯。。,彩霞满天 -蒸湘区,2室2厅 | 69平米 | 东南 | 毛坯 | 低楼层(共25层)  | 暂无数据,15人关注 / 10个月以前发布,33,"4,783元/平"
星美新外滩  毛坯两房  装修风格任君发挥,星美新外滩 -蒸湘区,2室2厅 | 93.6平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,63,"6,731元/平"
恒大绿洲 精装空房 品质好房 带入户花园,恒大绿洲 -蒸湘区,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,81.8,"6,705元/平"
平湖公园旁精装电梯两房，带全屋家具家电，可拎包入住,名城和顺家 -蒸湘区,2室1厅 | 72.34平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,3人关注 / 5个月以前发布,45.8,"6,332元/平"
南北通透 大四居  享蒸水风光,愉景新城 -蒸湘区,4室2厅 | 144.2平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,76.8,"5,326元/平"
陆家新区 恒大绿洲 精装三房  电梯中层 满2,恒大绿洲 -蒸湘区,3室2厅 | 111.3平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,3人关注 / 9个月以前发布,72,"6,470元/平"
金河湾三间朝南采光明亮视野无遮挡双阳台,金河湾·1881 -蒸湘区,2室2厅 | 85平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 6个月以前发布,55.8,"6,565元/平"
吉富花苑 一中部 校 园  178平 清水毛胚 电梯中层,吉富花苑 -蒸湘区,3室2厅 | 178.5平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 4个月以前发布,85.6,"4,796元/平"
锦绣明珠3-2-1-2 140.20m²   南北通透。,锦绣明珠 -蒸湘区,3室2厅 | 140.2平米 | 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,68.8,"4,908元/平"
急售  华新 实验中 学 水木融城  毛坯三房  满2,特变·水木融城 -蒸湘区,3室2厅 | 131.8平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,79.8,"6,055元/平"
星美新外滩 采光好 大平层 户型方正 拧包入住,星美新外滩 -蒸湘区,4室2厅 | 168平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,102,"6,072元/平"
火车站三角线龙腾星河有好房出售,龙腾星河 -珠晖区,2室1厅 | 77.6平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,32,"4,124元/平"
大型小区融冠乐城毛坯4房，实际面积偏大，看房方便,融冠乐城 -蒸湘区,车位 | 119.75平米 | 南 北  | 暂无数据,0人关注 / 1个月以前发布,69.78,"5,828元/平"
仁济新村，毛坯四房两厅两卫。。。,仁济新村 -蒸湘区,4室2厅 | 168平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,93,"5,536元/平"
湘江东路盐店巷业主九成新大两房,湘江东路21号 -珠晖区,2室1厅 | 62平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,4人关注 / 4个月以前发布,28.5,"4,597元/平"
