标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
封闭式小区 邻世纪广场 江边  出行便利,江南一号 -世纪广场,2室1厅 | 69.5平米 | 东南 | 简装 | 高楼层(共29层)  | 塔楼,2人关注 / 一年前发布,50.6,"7,281元/平"
南北通透 多层3楼 采光好 配套设施齐全 交通便利,盈胜7080 -松花江中学,2室1厅 | 63.08平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,54,"8,561元/平"
中东帕萨迪纳 小高9楼 自家精装修 随时看房价格可议,帕萨迪纳 -中东,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,66.8,"7,506元/平"
渤海山水云天2-1-1-1 63.00m² 43.5 万,渤海山水云天 -中海,2室1厅 | 63平米 | 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,43.5,"6,905元/平"
厦门街商圈  两室 交通便利 银行 医院 美发 美食,高新C区(深圳街) -厦门街,2室1厅 | 62.37平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,34.5,"5,532元/平"
江南松花江丰满二卓 越方舟小区电梯高层9楼,卓越方舟 -松花江中学,2室1厅 | 110.2平米 | 西南 东北 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,66.8,"6,062元/平"
买房给车位 南北通透毛坯好楼层无遮挡采光足随时看房,龙城帝景 -中海,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,90,"7,759元/平"
龙城帝景.毛坯现房.高楼层好房源.任意装修,龙城帝景 -中海,2室1厅 | 88.78平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 6个月以前发布,57.8,"6,511元/平"
房子户型方正 精美装修 没怎么住 保持很干净 随时看房,中海国际社区 -中海,2室1厅 | 68平米 | 西南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,56,"8,236元/平"
嘉业名铸封闭小区江边早市市场乌拉公园 欧亚,嘉业名铸 -江湾路,2室1厅 | 75平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,59.8,"7,974元/平"
筑石西山香麓二期 多层3楼 采光好位置佳 可公积金商贷,筑石·西山香麓 -中东,2室2厅 | 90.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,71,"7,811元/平"
恒大华府 电梯14楼 支持各种贷款 随时看,恒大华府 -中东,2室2厅 | 86.65平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,59.8,"6,902元/平"
中海国际社区原山二期 4室2厅 南 北,中海国际社区原山二期 -中海,4室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,95,"7,303元/平"
金地第七郡 电梯洋房3楼 大H 毛坯现房,金地·第七郡 -中东客运站,2室2厅 | 87平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,64,"7,357元/平"
楼层好 采光好 通风好 H户型,光明新村西区 -厦门街,2室2厅 | 88.62平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,50,"5,643元/平"
南北通透封闭小区设施齐全少有的毛坯房,中海国际社区 -中海,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,105,"7,500元/平"
此房价格低于市场价，机不可失，付款灵活。。。,中海国际社区原山一期 -中海,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,64,"6,737元/平"
南北通透格局，落地明窗，视野开阔，采光好,铂悦公馆M区 -中海,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,145,"10,985元/平"
江南 世纪广场 朝向南 支持贷款 电梯房,江南一号 -世纪广场,1室1厅 | 55.72平米 | 南 | 简装 | 中楼层(共38层)  | 塔楼,2人关注 / 10个月以前发布,41.9,"7,520元/平"
龙城帝景一楼带花园，南北大H户型，格局方正,龙城帝景 -中海,2室2厅 | 89.8平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,79,"8,798元/平"
此房户型方正 通透 采光好 楼层好 适宜居住,瀚星紫光绅苑2期 -松花江中学,2室1厅 | 88平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,14人关注 / 一年前发布,62,"7,046元/平"
中海伴山郡 小区智能化管理 东山优质房源,伴山郡 -中海,4室1厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,84.8,"6,625元/平"
位于江南阳光水岸旁，步行到江滨公园近，配套完善,裕丰景苑 -厦门街,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,5人关注 / 一年前发布,88,"9,566元/平"
金域豪庭  毛坯房  位置还可以   南北通透格局,金域豪庭 -松花江中学,2室1厅 | 91.39平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,68,"7,441元/平"
泊逸未来公馆 可贷款 一楼花园 3房2厅2卫 环境优美,泊逸未来公馆 -大润发四店,3室2厅 | 164平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,112,"6,830元/平"
江南一号 近江边 采光好 交通便利,江南一号 -世纪广场,1室1厅 | 55.72平米 | 南 | 简装 | 中楼层(共38层)  | 塔楼,0人关注 / 2个月以前发布,32.8,"5,887元/平"
中海原山二期 电梯房 户型方正 精装修,中海国际社区原山二期 -中海,3室2厅 | 142.64平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,105,"7,362元/平"
小区配套设，施齐全，乘车方便，花园式小,万达江畔华城D区 -万达广场,2室1厅 | 86.49平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,85,"9,828元/平"
龙城帝景给您一个温暖舒适安静的家,龙城帝景 -中海,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,79,"6,811元/平"
中海国际社区，两室一厅，南北通透,中海国际社区 -中海,3室2厅 | 95.3平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,85,"8,920元/平"
香山品格 南北通透 精装修 拎包入住 支持贷款,香山品格 -松花江中学,2室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,79.8,"8,143元/平"
视野宽阔，采光充足，产权清晰，小区配套设施齐全,瀚星紫光绅苑2期 -松花江中学,2室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,88.8,"7,722元/平"
龙城帝景.毛坯现房.高楼层好房源.任意装修,龙城帝景 -中海,2室1厅 | 88.78平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 6个月以前发布,57.8,"6,511元/平"
房子户型方正 精美装修 没怎么住 保持很干净 随时看房,中海国际社区 -中海,2室1厅 | 68平米 | 西南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,56,"8,236元/平"
万达江畔华城，大户型，格局好，地理位置好。,万达·江畔华城C区 -万达广场,3室2厅 | 123.67平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,98,"7,925元/平"
独门独院带前后大花园共四层 挑空客厅 中海铂悦公馆,中海铂悦公馆一期 -中海,4室2厅 | 166平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,305,"18,374元/平"
松北二区 六楼不顶 私产大照 两室,松北二区 -松北,2室1厅 | 56平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,34,"6,072元/平"
交通方便.....人文素质好........,泊逸未来公馆 -大润发四店,2室2厅 | 90.11平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,67.8,"7,525元/平"
2-1-1-1，装修精美，拎包即住。,泊林小镇 -大润发四店,2室1厅 | 84平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,54.4,"6,477元/平"
头牌望江。装修风格时尚。随时看房，交通便利。,兴隆家园 -松花江中学,2室1厅 | 97平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 10个月以前发布,88.8,"9,155元/平"
电梯好房 户型方正 房主诚心出售,卓越方舟 -松花江中学,2室1厅 | 90平米 | 南 北 西 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,60,"6,667元/平"
松北二区 六楼不顶 私产大照 两室,松北二区 -松北,2室1厅 | 56平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,34,"6,072元/平"
交通方便.....人文素质好........,泊逸未来公馆 -大润发四店,2室2厅 | 90.11平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,67.8,"7,525元/平"
泊逸未来公馆，小区环境好，位置佳，,泊逸未来公馆 -大润发四店,2室1厅 | 89.29平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,59,"6,608元/平"
精装地热 带全新家具 钥匙房 看房方便,日升南区 -松花江中学,2室1厅 | 77平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,55.8,"7,247元/平"
江南一号 位置好 对 面江南公园 近江边 1室 小户型,江南一号 -世纪广场,1室1厅 | 56平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,1人关注 / 9个月以前发布,38.5,"6,875元/平"
西山香麓 2室1厅 南 北,西山香麓 -中东,2室1厅 | 89.94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,66,"7,339元/平"
一室一厅一卫，卧室望江，精装修，拎包入住，钥匙房,伯爵盛世纪 -世纪广场,1室1厅 | 57.5平米 | 东南 西北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 6个月以前发布,32,"5,566元/平"
中海世家 一楼 毛坯随意装修 南北通透 支持贷款,中海世家 -松花江中学,2室1厅 | 87平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,74,"8,506元/平"
黄兴小区交通出行便利，购物方便。,黄兴小区 -农林街,1室1厅 | 45.98平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,12,"2,610元/平"
黄兴小区 精装修 首付低 交通便利 房子不错,黄兴小区 -农林街,2室1厅 | 65.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,24.8,"3,787元/平"
小高中间楼层 南北通透大H+1户型 精装修 随时看房,泽信吉府 -中海,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,128,"9,847元/平"
西山香麓 1室1厅 南 北,西山香麓 -中东,1室1厅 | 38.2平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,38,"9,948元/平"
中海世家 南北通透大H 2居 好楼层采光好 毛坯随意装,中海世家 -松花江中学,2室2厅 | 93.16平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,85,"9,125元/平"
广泽紫荆城    两 室，格局 方正，彩光号,广泽紫晶城二期 -吉林一中,2室2厅 | 96.2平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,64.8,"6,736元/平"
江南望江小区视野好走路到江边，,五星国际城 -松花江中学,2室2厅 | 134.7平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,112,"8,315元/平"
五星国际城2室  简装  好楼层 可望江,五星国际城 -松花江中学,2室2厅 | 135平米 | 东 西 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,120,"8,889元/平"
新小区 高层望江南北通透大H户型， 精装修， 一天未住,万科莱茵小镇 -万科城,2室1厅 | 87.29平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,5人关注 / 一年前发布,69.8,"7,997元/平"
清新大三居 想静谧安逸生活  星光江城品质小区,星光江城 -星光江城,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,83,"6,288元/平"
吉东托斯卡纳  三室 两厅 一厨 一卫,吉东·托斯卡纳 -吉林一中,3室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,64,"6,337元/平"
户型方正，居住方便舒适，采光充足，配套设施齐全..,广泽紫晶城一期 -吉林一中,4室2厅 | 146.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,123,"8,396元/平"
万科上东区高楼层两居室，无尾款，房本在手，随时看,万科上东区 -万科城,2室1厅 | 91平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,66.8,"7,341元/平"
南北通透，楼层好，望江效果棒，前后不挡，一天未住。,万科莱茵小镇 -万科城,2室2厅 | 87.29平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,66,"7,562元/平"
恒东花园   两室一厅一卫   业主诚心卖,恒东花园 -八一,2室1厅 | 60平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,34,"5,667元/平"
人车分流 园林花园小区  中海国际社区诚心出售,中海国际社区 -中海,2室2厅 | 86.6平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,11人关注 / 一年前发布,60,"6,929元/平"
厚德广厦 电梯房 南北通通户型 毛坯现房,厚德广厦 -大润发四店,2室2厅 | 113.25平米 | 北 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,56.6,"4,998元/平"
此房南北通透格局好采光好，精装两室,万科城D区 -万科城,2室2厅 | 99.4平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,77,"7,747元/平"
龙城帝景 多层南北通透 户型楼层好 采光充足,龙城帝景 -中海,2室2厅 | 90.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,82,"9,103元/平"
万科莱茵小镇新房未住 温馨两居 采光好 价格便宜,万科莱茵小镇 -万科城,2室1厅 | 88平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 8个月以前发布,61,"6,932元/平"
伴山郡 中海品质开发 2019年交房 格局方正 四居室,伴山郡 -中海,4室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,0人关注 / 一年前发布,89,"6,954元/平"
便宜，电梯两室，拎包入住，可以贷款，诚心出售,吉东·托斯卡纳 -吉林一中,2室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,56,"5,657元/平"
长春路港岸鑫诚电梯14楼两室一厅随时看房 首付 O,港岸鑫城 -东北电力,2室1厅 | 63平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,25,"3,969元/平"
朝阳新苑 2室2厅 南,朝阳新苑 -中海,2室2厅 | 76.86平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,44.8,"5,829元/平"
剑桥郡 3室2厅 南 北,剑桥郡 -中海,3室2厅 | 116.69平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,5人关注 / 一年前发布,86,"7,370元/平"
楼层好装修好位置好采光好住此房心情,万科城D区 -万科城,2室1厅 | 93平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,73,"7,850元/平"
广泽紫晶城二期两室一厅一卫。。。。。。。,广泽紫晶城二期 -吉林一中,2室1厅 | 83.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,62,"7,463元/平"
头牌两室望江房 诚心出售 随时看房,万科城C区 -万科城,2室2厅 | 84平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,6人关注 / 一年前发布,69,"8,215元/平"
陪读方便出行随意交通便捷绿化好园区大封闭小区商圈多,广泽紫晶城二期 -吉林一中,3室1厅 | 132平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,112,"8,485元/平"
乾丰园 交通便利 万达商圈 南明厅 自家装修 拎包入住,乾豐園 -十一中,1室1厅 | 53.4平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,27,"5,057元/平"
精装公寓，可出租，价格好，楼层好,锦绣江南 -松花江中学,1室1厅 | 38平米 | 北 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,27.5,"7,237元/平"
广泽紫晶城一期电梯楼顶楼位置好出行方便交通便利配套,广泽紫晶城一期 -吉林一中,1室1厅 | 63平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 5个月以前发布,41.5,"6,588元/平"
万科莱茵小镇 高层现房 南北通户型  精装修,万科莱茵小镇 -万科城,2室2厅 | 87.07平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,6人关注 / 一年前发布,59,"6,777元/平"
中海铂悦公馆 社区  中海物业人车分流 精装三居,铂悦公馆K区 -中海,3室2厅 | 132.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,128,"9,654元/平"
小区环境优雅，物业体贴，适合养老陪读,广泽紫晶城二期 -吉林一中,2室1厅 | 81平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,61.5,"7,593元/平"
