标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
交通方便 楼层好 产权清晰 诚心出售,新桂国际 -向阳广场,3室2厅 | 107平米 | 东南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,57,"5,328元/平"
卧龙湾  电梯中层 毛坯三房出售,蓝海卧龙湾 -工学院,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,71.8,"5,610元/平"
满2年，双阳台，主卧带独立衣帽间，前后无任何遮挡,新桂广场新桂都 -大润发,3室2厅 | 118.64平米 | 东南 | 毛坯 | 高楼层(共30层)  | 塔楼,8人关注 / 一年前发布,70.9,"5,977元/平"
田心东轻轨站，单价低于新房的均价。,碧桂园·麓府 -株洲北,5室2厅 | 225平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,140,"6,223元/平"
芦淞区1815线市政华苑电梯毛胚3房,市政华苑 -庆云山,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共14层)  | 塔楼,3人关注 / 一年前发布,70,"5,000元/平"
神农城洋房下叠，实用面积达四百平，诚心出售。,海韵天城 -神农城,5室3厅 | 255平米 | 东南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,7人关注 / 一年前发布,246,"9,648元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全。,亿都澜庭 -株洲北,3室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 10个月以前发布,86.8,"6,527元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全。,亿都磐龙公馆 -云龙示范区,3室2厅 | 131.76平米 | 南 西南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,2人关注 / 7个月以前发布,57.5,"4,364元/平"
白金汉宫毛坯大四房 户型周正 采光楼层好 交通便利,白金汉宫 -湖南工业大学,4室2厅 | 148平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,99.8,"6,744元/平"
业主诚心出售，此房满2年， 带院子,天泉一品(别墅) -神农城,6室2厅 | 288平米 | 东南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,1人关注 / 一年前发布,338,"11,737元/平"
黄河路 天虹 炎帝广场 汇达花园新精装三房 可直接入住,汇达花园 -神农城,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,73,"6,404元/平"
湘水湾二期5房2厅1厨2卫精装修大平层出售,晋合湘水湾二期 -神农城,5室2厅 | 275.03平米 | 东 | 精装 | 中楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,358,"13,017元/平"
正红旗广场商圈房东诚心出售楼层好视野开阔,银泰财富广场 -红旗广场,4室2厅 | 176平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,1人关注 / 一年前发布,82,"4,660元/平"
株洲市人大单位房明年装电梯精装修小洋房出售,珠江丽园 -神农城,5室3厅 | 235平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,40人关注 / 一年前发布,94.28,"4,012元/平"
万达广场大丰站云龙大道，学府华庭毛坯房,学府华庭 -株洲北,3室2厅 | 131.41平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 8个月以前发布,63.5,"4,833元/平"
华晨金水湾 5室2厅 南,华晨金水湾 -湖南工业大学,5室2厅 | 231平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,168,"7,273元/平"
神农城芯 独栋别墅 带前后侧院 满5年 税费便宜 有钥匙,珠江花园别墅 -神农城,6室3厅 | 280平米 | 南 | 简装 | 3层  | 平房 | 独栋别墅 ,13人关注 / 一年前发布,200,"7,143元/平"
神农城版块 天台建宁 精装大五房 大平层 拎包入住,天台小区 -神农城,5室2厅 | 196平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,78.6,"4,011元/平"
马上就要装电梯了，价格相当优惠，随时看房，价格可谈,珠江丽园 -神农城,4室2厅 | 196平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,65,"3,317元/平"
响石广场毛坯三房，交通便利，随时看房,香博堡国际 -响石广场,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,62.5,"5,297元/平"
南北通透  闹中取静 安全舒适,晋合湘水湾二期 -神农城,4室2厅 | 202平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,259.9,"12,867元/平"
珠江花园 复式 带露台的好房子,珠江花园 -神农城,3室2厅 | 132平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,19人关注 / 一年前发布,41.8,"3,167元/平"
品质小区，繁华路段，安全性高，天台建宁,学林雅苑 -神农城,4室2厅 | 200.4平米 | 南 北 | 精装 | 高楼层(共13层)  | 塔楼,6人关注 / 一年前发布,125.58,"6,267元/平"
湘水湾洋房 奢华舒适享受 你值得拥有,星合湘水湾洋房 -神农城,4室2厅 | 189平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,320,"16,932元/平"
神龙城旁 简装四房三卫 满二 拎包入住,天台小区 -神农城,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,7人关注 / 一年前发布,64.9,"5,548元/平"
神农城 精装电梯大四房 业主诚心出售,熹悦花都 -神农城,4室2厅 | 144平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,80,"5,556元/平"
湘水湾 江景大平层 大四房 大阳台,晋合湘水湾四期 -神农城,4室2厅 | 211.3平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,296,"14,009元/平"
位于中南菜市场，红旗中路与新塘路交界处,兴城御景东方 -大润发,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 9个月以前发布,81,"6,533元/平"
水仙路 荷塘星城旁 步梯中层大两居 装修保养好,外贸包装厂小区 -大润发,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,29.8,"3,591元/平"
华润万家，99华帝精装修3房，户型周正，拎包入住。,99華地 -大润发,3室2厅 | 126平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,60,"4,762元/平"
醴陵大道 碧桂园电梯中层 毛坯大平层 价格优势你来看,醴陵碧桂园 -醴陵市,5室2厅 | 201.1平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,93.8,"4,665元/平"
华润万家商圈，独栋私房诚心出售看房方便，,庭院小区 -工学院,5室2厅 | 251.85平米 | 南 | 简装 | 4层  | 暂无数据 | 独栋别墅 ,0人关注 / 3个月以前发布,120,"4,765元/平"
红旗广场商圈 大润发商场 中南菜市场旁 出行便利,星城平安里 -大润发,3室1厅 | 136.93平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,1人关注 / 3个月以前发布,61,"4,455元/平"
户型周正，交通便利，税费低，满五年，,荷塘星城小区 -大润发,3室2厅 | 102平米 | 东 | 毛坯 | 低楼层(共17层)  | 塔楼,2人关注 / 7个月以前发布,65.8,"6,451元/平"
红旗广场楼梯洋房单位房带全套家具家电带21平米车库,新苑小区(新塘路) -大润发,2室2厅 | 93.25平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 9个月以前发布,32.8,"3,518元/平"
二桥头 隆兴旁 一线江景 复式5房 含车库 车库可租800,湘湾小区B区 -栗雨（美的城）,5室2厅 | 212.52平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,6人关注 / 7个月以前发布,56.8,"2,673元/平"
美的城 5室2厅 南 北,美的城 -栗雨（美的城）,5室2厅 | 230.14平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,150,"6,518元/平"
楼层好，视野佳，采光充足，出门就是万达广场,香江悦湖春天 -未知商圈,3室2厅 | 110.6平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,66,"5,968元/平"
红旗广场商圈 正规大四房 首付低,东方花园 -大润发,4室1厅 | 144.5平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,55,"3,807元/平"
经典别墅，采光充足，小区人车分流，封闭式小区，,华晨金水湾 -湖南工业大学,5室3厅 | 297.87平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,536,"17,995元/平"
神龙城芯 毛坯大四房 户型通透  包增值税 诚心卖,城发锦城 -湖南工业大学,4室2厅 | 143.18平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,88,"6,147元/平"
万达旁 向阳广场 gaoduan小区 人车分流  正规大三房,歌雅郡 -向阳广场,3室2厅 | 125平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板塔结合,4人关注 / 9个月以前发布,68,"5,440元/平"
向阳广场 精装电梯大户型 户型好随时看房,天金山家园 -向阳广场,5室2厅 | 168平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 9个月以前发布,76.8,"4,572元/平"
服装市场火车站步梯中层诚心出售,锦绣名门 -新华东路,3室2厅 | 97.39平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,65,"6,675元/平"
此房是贺家土喜梅单位房，公摊少，户型采光不错,天泰喜梅小区 -贺嘉土,3室2厅 | 129平米 | 东南 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,82,"6,357元/平"
荷塘区强戒所员工生活小区，东环路下新华路即到。,株洲市强戒所干警生活区 -向阳广场,3室1厅 | 87.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 9个月以前发布,38,"4,363元/平"
美的城难得好户型，价格不高，南北通格局，视野好,东部美的城1期 -向阳广场,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,73.8,"6,255元/平"
华苑小区 4室2厅 南 北,华苑小区 -神农城,4室2厅 | 136.4平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,17人关注 / 11个月以前发布,62.8,"4,605元/平"
环境好  采光通风佳  视野开阔,碧桂园·麓府 -株洲北,5室2厅 | 225平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,160,"7,112元/平"
醴陵大道 政领高地 碧桂园 清水毛坯大平层 诚心转让！,醴陵碧桂园 -醴陵市,5室2厅 | 201平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 6个月以前发布,89,"4,428元/平"
芦淞区1815线市政华苑电梯毛胚3房,市政华苑 -庆云山,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共14层)  | 塔楼,3人关注 / 一年前发布,70,"5,000元/平"
炎帝广场建宁 周正 满两年 费用低,金丰小区 -神农城,4室2厅 | 179平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,62,"3,464元/平"
长沙南 万达商圈  复式洋房 公务员小区   急售,磐龙世纪城·紫竹台 -云龙示范区,5室3厅 | 251.5平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,175,"6,959元/平"
海创明珠花园 6室2厅 南,海创明珠花园 -滨江广场,6室2厅 | 196平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,68,"3,470元/平"
此房满两年  采光通风佳  视野开阔,碧桂园·麓府 -株洲北,5室2厅 | 225平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,128,"5,689元/平"
神农城洋房下叠，实用面积达四百平，诚心出售。,海韵天城 -神农城,5室3厅 | 255平米 | 东南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,7人关注 / 一年前发布,246,"9,648元/平"
田心东轻轨站，单价低于新房的均价。,碧桂园·麓府 -株洲北,5室2厅 | 225平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,140,"6,223元/平"
嘉盛华府 红旗路十字路口位置 带入户庭院,嘉盛华府 -大润发,4室2厅 | 183平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,2人关注 / 4个月以前发布,90.8,"4,962元/平"
云山诗意精装四房 双阳台 含一个阳光房和70平的露台,云山诗意 -枫溪街道,4室1厅 | 174平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,11人关注 / 7个月以前发布,65,"3,736元/平"
红旗北路 印象华都 精装小三房 业主诚心出售,印象华都二期 -田心,3室2厅 | 103平米 | 北 东南 | 精装 | 高楼层(共34层)  | 板塔结合,13人关注 / 一年前发布,53.8,"5,224元/平"
万达商圈 印象华都 电梯中层  三房两卫,印象華都一期 -田心,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,51.6,"4,823元/平"
【碧桂园醴陵府】 毛坯 四房，单价低,碧桂园醴陵府 -醴陵市,4室2厅 | 141平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,61.8,"4,383元/平"
金色荷塘，精装大三房，视野开阔，诚心出售。,中房·金色荷塘 -大润发,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,72,"6,667元/平"
蓝溪谷湖景大四房5000多单嫁，主卧还带书房,美的蓝溪谷 -栗雨（美的城）,3室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,2人关注 / 1个月以前发布,78,"5,455元/平"
红旗广场，步梯2楼精装洋房，毛坯价格出售,中房·金色荷塘 -大润发,2室2厅 | 136.85平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,85,"6,212元/平"
园源小区精装大三房拎包入住 天台和建宁。,泰山西村 -神农城,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 31天以前发布,53,"4,492元/平"
庆云山庄全新精装修带品牌家具3楼业主诚心出售53.8万,庆云山庄 -庆云山,3室2厅 | 103.36平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,53.8,"5,206元/平"
湘银星城 三房 纯毛坯 诚心卖 给你家 神龙城127㎡,湘银星城（恒大华府） -湖南工业大学,3室1厅 | 127.93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,80.8,"6,316元/平"
湘水湾三期 少有的4+1户型出售 房子9成新,晋合湘水湾三期 -神农城,4室2厅 | 164.2平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,168,"10,232元/平"
二中门口 毛坯小3房 带小露台,金轮津桥华府 -株洲西站,3室1厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,1人关注 / 27天以前发布,70,"7,217元/平"
响石广场步梯三房，户型周正，业主诚心卖，随时看房,税务局宿舍楼 -响石广场,3室1厅 | 107平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,49,"4,580元/平"
中通紫金华府 全新毛坯3房 中层 户型周正 可以贷款,中通紫金华府 -湖南工业大学,3室2厅 | 122.75平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 25天以前发布,67.5,"5,499元/平"
鸿益广场 3室2厅 南,鸿益广场 -贺嘉土,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 27天以前发布,69.8,"6,177元/平"
户型周正，采光好开发商精装修，,株洲恒大华府 -湖南工业大学,3室1厅 | 129平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 26天以前发布,105,"8,140元/平"
神农城天泰小区四室两厅一厨二卫精装好房出售,天泰小区 -神农城,4室2厅 | 150平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,69,"4,600元/平"
樱花地带 3室2厅 南 北,樱花地带 -石峰公园,3室2厅 | 123平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,70,"5,692元/平"
文化路精装小三，业主房诚心出售,海德堡 -龙泉,3室2厅 | 87平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,36.8,"4,230元/平"
全新精装，拎包入住，楼层好，业主诚心出售,时代·云龙城 -田心,3室2厅 | 127.26平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 25天以前发布,73.8,"5,800元/平"
金路小区 2室1厅 东南,金路小区 -高家坳,2室1厅 | 92.35平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,43.8,"4,743元/平"
红旗广场四中旁小户型拎包入住公寓,锦玉华庭 -向阳广场,1室1厅 | 46.19平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 31天以前发布,28.8,"6,236元/平"
山水国际 江景两房 业主诚心出售,山水国际晶庭 -庆云山,2室2厅 | 103平米 | 南 | 简装 | 中楼层(共30层)  | 塔楼,0人关注 / 26天以前发布,74.8,"7,263元/平"
太子路百江花园楼梯两房三楼精致装修,百江花园 -庆云山,2室2厅 | 94平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,0人关注 / 27天以前发布,50,"5,320元/平"
湖景好房，南北通透，带80平米大露台，,湖景名城 -栗雨（美的城）,2室2厅 | 109.46平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,72.8,"6,651元/平"
三一歌雅郡新小区精装三房二厅拎包入住,歌雅郡 -向阳广场,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 29天以前发布,78,"6,447元/平"
向群村四楼58平的2房报价19万,向群村 -大润发,2室1厅 | 58平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,19,"3,276元/平"
