标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
城 市 之 心 清 水 大三房  房东  急售,城市之心 -南溪区,3室2厅 | 110平米 | 东 | 其他 | 中楼层(共24层)  | 暂无数据,1人关注 / 6个月以前发布,78.8,"7,164元/平"
金科清水大四房 房东急售 急售,金科集美天宸 -南溪区,4室2厅 | 115平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,103.8,"9,027元/平"
美丽泽京6跃7电梯洋房 带车位 有露台158万,美丽泽京滨江新城 -南溪区,3室2厅 | 139平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,156.8,"11,281元/平"
江景房，正看江，楼层好，此价格带个车位。,阳光碧水长滩 -新村,3室2厅 | 82平米 | 西南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 9个月以前发布,70,"8,537元/平"
阳光碧水长滩舒适三居室，楼层好，房东诚意出售,阳光碧水长滩 -新村,3室2厅 | 72平米 | 东南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,57,"7,917元/平"
小区环境优美，物业管理成熟，正中庭清水大三室,邦泰临港国际 -临港,3室2厅 | 114平米 | 西南 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 6个月以前发布,114,"10,000元/平"
户型方正，实用面积大，矮楼层，看绿化好。,阳光碧水长滩 -新村,3室2厅 | 77.8平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,66,"8,484元/平"
南大街标准的自住三室二厅一厨一卫,南大街56号 -南溪区,3室2厅 | 126平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,46,"3,651元/平"
此房户型格局好，楼层也好，视野开阔，采光充足,阳光碧水长滩 -新村,4室2厅 | 114平米 | 西南 | 其他 | 低楼层(共14层)  | 暂无数据,1人关注 / 8个月以前发布,123,"10,790元/平"
翡翠城3房2厅2卫带车位房东急卖,白沙翡翠城 -临港,3室2厅 | 89.87平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,86.5,"9,626元/平"
房东急售，急售，户型，楼层，采光都很巴适,阳光碧水长滩 -新村,4室2厅 | 96平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,88.6,"9,230元/平"
碧水长滩，户型方正，环境优美，适宜居住。,阳光碧水长滩 -新村,3室2厅 | 72平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,65,"9,028元/平"
产权清晰，诚心出售，看房方便，维护保养好,半岛大院二期 -新村,3室2厅 | 83平米 | 东南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 4个月以前发布,81.5,"9,820元/平"
央墅跃层， 购物方便，诚心出售,远达第一城 -上江北,3室2厅 | 75.5平米 | 东 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,115,"15,232元/平"
东区小区 3室2厅 交通便利 小区环境干净舒适,兰庭绿洲 -高县,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共22层)  | 暂无数据,1人关注 / 6个月以前发布,78.8,"6,678元/平"
采光俱佳一楼三房，带地下车库，双层使用面积。,远达第一城央墅小区 -上江北,3室2厅 | 87.17平米 | 东 东南 南 | 其他 | 低楼层(共22层)  | 暂无数据,3人关注 / 一年前发布,76.8,"8,811元/平"
鑫悦华府 3室2厅 交通便利 小区环境干净舒适,鑫悦华府 -高县,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,2人关注 / 3个月以前发布,58.8,"5,654元/平"
三江新区高品质公园小区跃层采光楼层好,丽雅江宸 -临港,4室2厅 | 142平米 | 西 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,165,"11,620元/平"
鼎业跃层。单价6000多。5室3卫。,鼎业江北兴城A区 -上江北,5室3厅 | 138平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,88,"6,377元/平"
翡翠城3房  东南好朝向 好楼层,白沙翡翠城 -临港,3室2厅 | 89平米 | 东南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,92,"10,338元/平"
长江国际别墅区四室     小区环境干净舒适 适合居住,长江国际别墅区 -南溪区,4室2厅 | 136平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,91.8,"6,750元/平"
文星街93号矮楼层大三房诚心出售...,文星街93号 -老城区,3室1厅 | 87.37平米 | 东南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,47.8,"5,471元/平"
邦泰国际社区北区开发商精装房 带机械车位出售,邦泰国际社区北区 -临港,3室2厅 | 85平米 | 西南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,92.5,"10,883元/平"
三江新区邦泰临港国际顶跃中式装修带露台业主诚心出售,邦泰临港国际 -临港,5室2厅 | 94平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,169,"17,979元/平"
西区小区 3室2厅交通便利 小区环境干净舒适 适合居住,恒远兴城 -高县,3室2厅 | 118.83平米 | 东 | 其他 | 中楼层(共28层)  | 暂无数据,5人关注 / 5个月以前发布,58,"4,881元/平"
丽雅大院下跃三层.一个下跃大花园,丽雅大院 -南岸西区,6室2厅 | 504平米 | 东南 | 其他 | 9层  | 板楼,0人关注 / 6个月以前发布,380,"7,540元/平"
碧峰园精装跃层，拎包入住，采光好,碧峰园 -南岸西区,5室2厅 | 173.3平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 11个月以前发布,99.8,"5,759元/平"
此房是抵工程款房，价钱比开盘价都优惠,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据,9人关注 / 一年前发布,110,"8,334元/平"
莫兰迪公馆清水大四房双卫诚心出售,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 东南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 5个月以前发布,118,"8,940元/平"
挨到400多亩教育基地，标准三房,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 11个月以前发布,108,"10,694元/平"
莫 兰 迪 标 准三房双卫诚心出售.,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东北 | 其他 | 低楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,98,"9,703元/平"
莫兰迪清水标准三室 双 卫 出 售,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,98,"9,703元/平"
莫 兰 迪 清水大四房双卫原价出售，,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 西南 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,130,"9,849元/平"
装修不到一年 正朝中庭 小区入口,邦泰国际社区北区 -临港,3室2厅 | 90.56平米 | 西南 | 其他 | 中楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,95,"10,491元/平"
400多亩教育基地旁，标准三房.,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 11个月以前发布,100,"9,901元/平"
莫兰迪公馆清水标准三房双卫出售,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据,1人关注 / 11个月以前发布,98,"9,703元/平"
邦泰7楼洋房顶跃 带车位出售 有钥匙,邦泰国际社区北区 -临港,4室2厅 | 110.79平米 | 西北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,180,"16,247元/平"
塞纳国际3室2厅交通便利 小区环境干净舒适 适合居住,塞纳国际三期 -新村,3室2厅 | 97.87平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,65.8,"6,724元/平"
户型方正，中高楼层，视野广阔，采光明亮,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,117,"8,864元/平"
清水三房，户型方正，房东诚心出售,阳光碧水长滩 -新村,3室2厅 | 81.4平米 | 东 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 11个月以前发布,72.8,"8,944元/平"
高铁新区，挨到400多亩教育基地，标准三房...,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 西南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 10个月以前发布,110,"10,892元/平"
小区少有清水大户型四室三卫顶跃出售,白沙翡翠城 -临港,4室2厅 | 91平米 | 南 | 其他 | 高楼层(共17层)  | 塔楼,5人关注 / 9个月以前发布,122,"13,407元/平"
标准大三房，此价格带有产权车位一个,白沙翡翠城 -临港,3室2厅 | 89.88平米 | 东南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,89.89,"10,002元/平"
临港翡翠城3房 两厅2卫带车位出售,白沙翡翠城 -临港,3室2厅 | 89.82平米 | 西南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,83,"9,241元/平"
鹭湖宫 跃层带露台 视野开阔 户型方正,远达鹭湖宫二期 -城北新区,4室2厅 | 106.28平米 | 东 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,84,"7,904元/平"
下江北临港白沙翡翠城.........,白沙翡翠城 -临港,3室2厅 | 89.71平米 | 东南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 5个月以前发布,89,"9,921元/平"
鹭湖宫 跃层带露台 视野开阔 户型方正,远达鹭湖宫二期 -城北新区,4室2厅 | 106.28平米 | 东 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,84,"7,904元/平"
户型方正，视野宽阔，采光充足，配套齐全。,城中央南城 -柏溪镇,2室2厅 | 85.44平米 | 东南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,40.5,"4,741元/平"
白沙翡翠城标准三室带车位出售，小区环境优雅,白沙翡翠城 -临港,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 一年前发布,80,"8,989元/平"
天誉清水，标准大三房，接手可装修,邦泰天誉二期 -南岸西区,3室2厅 | 113.86平米 | 西南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,140,"12,296元/平"
远达第1城央墅，四室两厅一厨双卫，户型方正,远达第一城央墅小区 -上江北,4室2厅 | 97平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,89.9,"9,269元/平"
绿地·莫兰迪公馆 3室2厅 东南,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 9个月以前发布,96.8,"9,585元/平"
顶楼跃层带露台 视野开阔，户型方正，通风采光好,阳光城珑山悦 -南岸西区,4室3厅 | 141平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,3人关注 / 7个月以前发布,275,"19,504元/平"
山水庭院 2室2厅 东南,山水庭院 -南岸西区,2室2厅 | 98平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,73,"7,449元/平"
白沙湖湿地公园里面，环境优美，绿化高,恒旭-铜雀台 -临港,3室2厅 | 175平米 | 东 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,126,"7,200元/平"
高铁西站对门现房 宜宾心脏地段大企打造品质保障,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 东北 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 9个月以前发布,122,"9,243元/平"
浩誉江语城     户型方正    采光通透    清水跃层,浩誉江语城 -中坝,3室2厅 | 115.28平米 | 西南 | 其他 | 高楼层(共28层)  | 暂无数据,7人关注 / 一年前发布,118,"10,236元/平"
江景苑正面临江大3房2卫，户型方正，视线好，采光好,江景苑 -南岸西区,3室2厅 | 128.8平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,5人关注 / 6个月以前发布,89,"6,910元/平"
东区小区 3室2厅 交通便利 小区环境干净舒适,鑫洋中央公馆 -高县,3室2厅 | 89.7平米 | 北 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,56.8,"6,333元/平"
阳光碧水长滩，户型方正，采光好，居住舒适,阳光碧水长滩 -新村,3室2厅 | 77.8平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,62,"7,970元/平"
装备城丽晶港(翠屏区-临港)三室双卫出售,装备城丽晶港 -临港,3室2厅 | 109.89平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,62,"5,643元/平"
翡翠城标准三室双卫出售，视野开阔,白沙翡翠城 -临港,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共17层)  | 塔楼,3人关注 / 一年前发布,78,"8,765元/平"
三江新区 简陋大三房看中庭价格美丽,白沙翡翠城 -临港,3室2厅 | 102.8平米 | 东 | 其他 | 低楼层(共31层)  | 塔楼,1人关注 / 一年前发布,93.8,"9,125元/平"
高铁新区，挨到400多亩教育基地，标准四房...,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 西北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,130,"9,849元/平"
交通方便，生活方便，看房方便。,远达第一城央墅小区 -上江北,3室2厅 | 89平米 | 东 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 8个月以前发布,75,"8,427元/平"
邦泰北区，叠拼别墅，实用面积多，一墅住3代人。,邦泰国际社区北区 -临港,5室2厅 | 139.55平米 | 西南 | 其他 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,215,"15,407元/平"
三江新区白沙翡翠城大3房+大生活阳台，看房方便,白沙翡翠城 -临港,3室2厅 | 89.83平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,82,"9,129元/平"
白沙翡翠城精装大三房 户型方正 采光通透 视野好,白沙翡翠城 -临港,3室2厅 | 89.72平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 4个月以前发布,88.8,"9,898元/平"
江景苑 精装拎包入住 标准大4房银行无贷款,江景苑 -南岸西区,4室2厅 | 129平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,99.8,"7,737元/平"
海韵名都大2室紧急出售，不买后悔,海韵名都 -南岸西区,2室2厅 | 97平米 | 东 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,79,"8,145元/平"
"阳光碧水长滩清水大三室两厅双卫,房间宽敞,户型方正",阳光碧水长滩 -新村,4室2厅 | 97平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,85,"8,763元/平"
南岸西区绿地莫兰迪公馆，大四室，中高楼层，全中庭,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 南 北 | 其他 | 高楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,115,"8,713元/平"
理想城高楼层三室二厅一厨二卫出售,上力理想城 -中坝,3室2厅 | 123.56平米 | 东南 | 简装 | 高楼层(共29层)  | 暂无数据,5人关注 / 一年前发布,98,"7,932元/平"
天池花园 简装 大  三      室,昌谊天池花园 -新村,3室2厅 | 176平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,81.8,"4,648元/平"
产权清晰，配套成熟，紧 邻天池公园,昌谊天池花园 -新村,3室2厅 | 90.37平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 9个月以前发布,56.8,"6,286元/平"
南山星城中装三房，交通方便，明厨明卫,南山星城南区 -城北新区,3室2厅 | 101平米 | 西北 | 其他 | 中楼层(共25层)  | 塔楼,2人关注 / 一年前发布,65.8,"6,515元/平"
此房是鑫菁英的3房2室1厨1卫,鲁能鑫菁英 -南岸西区,3室2厅 | 91平米 | 东南 | 其他 | 低楼层(共22层)  | 塔楼,1人关注 / 一年前发布,89.8,"9,869元/平"
临港三江新区邦泰花千墅带车位出售 看房方便,邦泰国际社区北区 -临港,5室2厅 | 139平米 | 东南 | 其他 | 低楼层(共9层)  | 板楼,2人关注 / 一年前发布,220,"15,828元/平"
位置优越，环境优美，配套可以。。。。。。。,邦泰天誉二期 -南岸西区,3室2厅 | 102平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,1人关注 / 6个月以前发布,100,"9,804元/平"
翠屏山森林小区三室两厅房东急售,翠景雅筑 -西郊,3室2厅 | 99.9平米 | 西南 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 8个月以前发布,43.8,"4,385元/平"
此房户型方正，通风效果好。每个房间有采光，望中庭。,塞纳国际三期 -新村,3室2厅 | 107.97平米 | 东南 | 其他 | 低楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,75,"6,947元/平"
邦泰天誉二期，清水大4房，诚心出售,邦泰天誉二期 -南岸西区,4室2厅 | 139平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,132,"9,497元/平"
