标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
东津世纪城15区 毛坯大三房 好楼层满两年 诚心卖,东津世纪城15区上和院 -东津区,3室2厅 | 136.45平米 | 东南 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,98,"7,183元/平"
人民广场东风路，南北向2卧，方方正正，光线明媚,东风春城小区 -樊城东区,2室2厅 | 108.73平米 | 南 北 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 3个月以前发布,78,"7,174元/平"
长征路机电家属院好楼层诚意出售！,长征路机电家属院 -樊城东区,3室1厅 | 98.34平米 | 东南 | 简装 | 中楼层(共4层)  | 暂无数据,10人关注 / 一年前发布,99,"10,068元/平"
满五，复式房，带露台，看房方便。,泰跃朝阳 -樊城东区,4室2厅 | 133.13平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,18人关注 / 一年前发布,159,"11,944元/平"
襄州五中旁，大四房看房方便，诚心出售,锦都汇 -襄州区,4室2厅 | 139.35平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,125,"8,971元/平"
东津世纪城127平毛坯 可随意装修 业主诚心出售,东津世纪城14区崇文府 -东津区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,20人关注 / 8个月以前发布,85,"6,693元/平"
经晨红星城市花园 毛坯大三房 低楼层,经晨红星城市花园 -襄州区,3室2厅 | 130.38平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,88,"6,750元/平"
人民广场正中街  好两房业主诚心出售,京剧团院 -樊城东区,2室1厅 | 68.42平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,48,"7,016元/平"
天元沃尔玛商圈次新小区 精装三室，南北向 自供暖气,六顺祥和小区 -樊城东区,3室2厅 | 97.14平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,88,"9,060元/平"
民发世界城精装复式四房 火火火火,民发世界城学院派 -襄州区,4室3厅 | 90.21平米 | 东南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 5个月以前发布,145,"16,074元/平"
商贸城社区，满五，时代天街商圈,商贸城社区 -襄州区,5室2厅 | 118.26平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,55,"4,651元/平"
南向前排 采光无遮挡视野好 精装拎包入住,东津世纪城16区天境台 -东津区,3室2厅 | 102.12平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,86,"8,422元/平"
东湖国际 二汽转盘电梯房 大三房 视野好,东湖国际花园 -襄州区,3室2厅 | 156.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,87.8,"5,604元/平"
长征路 精装小三室，好楼层 停车方便,红光路物资局家属院 -樊城东区,3室1厅 | 65.78平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 8个月以前发布,54,"8,210元/平"
山水华府玫瑰园一楼带前后花园，大三房，阔绰三居,山水华府 -襄城区,3室2厅 | 138.24平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,6人关注 / 11个月以前发布,190,"13,745元/平"
襄州五中旁，大四房看房方便，诚心出售,锦都汇 -襄州区,4室2厅 | 139.35平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,125,"8,971元/平"
东津世纪城127平毛坯 可随意装修 业主诚心出售,东津世纪城14区崇文府 -东津区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,20人关注 / 8个月以前发布,85,"6,693元/平"
经晨红星城市花园 毛坯大三房 低楼层,经晨红星城市花园 -襄州区,3室2厅 | 130.38平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,88,"6,750元/平"
此房满五唯一，环境幽静，小区优美,公园一号 -襄州区,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,8人关注 / 一年前发布,55.5,"6,099元/平"
襄城梧桐湾南北通透精装房，无暗室，小区环境好无浪费,冠通梧桐湾 -襄城区,3室2厅 | 115.95平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,149,"12,851元/平"
东津毛坯小三房   户型方正   环境优美,东津世纪城12区花漫里 -东津区,3室2厅 | 98.87平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 10个月以前发布,78,"7,890元/平"
风华路长虹路上，沃尔玛泛悦商圈，大三房单价低！,富源公寓 -樊城东区,3室2厅 | 138平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,2人关注 / 5个月以前发布,97,"7,029元/平"
樊城一桥头大三房小区停车方便房主诚心出售,襄阳花园 -樊城东区,3室2厅 | 123.08平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,92,"7,475元/平"
东津世纪城14区，小三房毛坯，中层，满二,东津世纪城14区崇文府 -东津区,3室2厅 | 102.43平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,69,"6,737元/平"
长征路 中医院旁边 医药站家属院 中间楼层 经典两居室,市医药站家属院 -樊城东区,2室2厅 | 66.1平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,51,"7,716元/平"
万达商圈 紫贞公园旁 航空花园精装3室 采光好停车方便,航天花园 -樊城西区,3室2厅 | 137.59平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,4人关注 / 8个月以前发布,150,"10,902元/平"
武商沃尔玛商圈，月亮湾公园，市一医院西区小高层毛坯,海容幸福里 -樊城西区,3室2厅 | 132.6平米 | 东南 | 其他 | 高楼层(共15层)  | 塔楼,0人关注 / 4个月以前发布,110,"8,296元/平"
万达商圈中，紫贞公园旁，精装电梯房,中房汉江鑫城 -樊城西区,3室2厅 | 107.2平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,13人关注 / 一年前发布,108.5,"10,122元/平"
东津世纪城10区137.48平空房满二诚心出售,东津世纪城10区御华苑 -东津区,3室2厅 | 137.48平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,99,"7,202元/平"
山水家园优质小三房，三开间朝南楼层好采光好视野开阔,山水家园 -襄城区,3室2厅 | 99.27平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,7人关注 / 6个月以前发布,122,"12,290元/平"
泰跃朝阳顶楼纯复式毛坯房（上下两层）,泰跃朝阳 -樊城东区,4室2厅 | 108.17平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,5人关注 / 10个月以前发布,158,"14,607元/平"
保利五月花 毛坯大三室 好楼层  房东诚心卖,保利海上五月花 -高新区,3室2厅 | 124.61平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,91,"7,303元/平"
北街商圈，楼层好，地段好，小区大出入方便,许指挥巷10号 -襄城区,3室1厅 | 84.05平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,97,"11,541元/平"
钻石大道 三区交汇处 天润万象城 毛坯三房 随意装修,天润万象城C区 -襄州区,3室2厅 | 109.15平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,100,"9,162元/平"
万达紫贞公园旁精装三室南北通透中间楼层边户急售,清夫新城国际 -樊城东区,3室2厅 | 125.77平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,3人关注 / 4个月以前发布,150,"11,927元/平"
人民广场公园旁天元四季城商圈两室两厅出售,人民公园家属院二期 -樊城东区,2室2厅 | 95.54平米 | 南 北 | 其他 | 中楼层(共8层)  | 平房,10人关注 / 7个月以前发布,73,"7,641元/平"
长征路主干道   无物业费无停车费   诚意出售,长征路地税局家属院 -樊城东区,2室1厅 | 86.34平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,56,"6,486元/平"
三室精装电梯房拎包入住户型通透,盛世龙城 -樊城东区,3室2厅 | 105.72平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,132,"12,486元/平"
大庆东路 中百仓储楼上标准一房一厅一厨一卫,阳光世纪城 -樊城东区,1室1厅 | 44.2平米 | 东南 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,46,"10,408元/平"
满二！南北通透，双阳台，并且两个阳台都是向南,君临山 -襄城区,3室1厅 | 139.95平米 | 南 北 | 其他 | 高楼层(共15层)  | 塔楼,1人关注 / 5个月以前发布,126,"9,004元/平"
看房便利精装修三房 有钥匙 诚意出售,普鑫 · 上東郡 -樊城东区,3室1厅 | 101.78平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,3人关注 / 4个月以前发布,112,"11,005元/平"
证满二年 毛坯随意装修 出入繁华 看房方便,民发·都会山世界城三期 -襄州区,3室2厅 | 128.66平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,125,"9,716元/平"
单位家属院，免费停车、集中供暖，江景好。,朝阳路32号 -樊城东区,2室2厅 | 91.15平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,96,"10,533元/平"
民发世界城精装三房诚心出租看房方便有钥匙,汇景园 -襄州区,3室2厅 | 126.85平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,4人关注 / 1个月以前发布,105,"8,278元/平"
民发世纪新城大三房好小区业主诚心卖，看房方便！,民发世纪新城 -樊城东区,3室2厅 | 146.41平米 | 南 | 简装 | 低楼层(共26层)  | 塔楼,9人关注 / 一年前发布,156,"10,656元/平"
长虹路 沃尔玛 地段优越 楼层好,樊城区财政局家属院 -樊城东区,3室2厅 | 132平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,94,"7,122元/平"
长征路机电家属院大两房诚心出售,长征路机电家属院 -樊城东区,2室2厅 | 92.25平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,4人关注 / 7个月以前发布,72,"7,805元/平"
万达诸葛亮广场旁单位家属院中间楼层户型好采光无遮挡,电气化二处机关 -樊城东区,3室1厅 | 72.92平米 | 南 | 简装 | 中楼层(共9层)  | 板塔结合,12人关注 / 7个月以前发布,67,"9,189元/平"
格局方正，成熟小区，配套齐全，交通便利,檀溪新居北区 -襄城区,3室2厅 | 124.34平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,12人关注 / 一年前发布,105,"8,445元/平"
三房边户，诚心出售，看房提前联系。,融侨锦江 -樊城东区,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,127,"11,239元/平"
轴承厂顺安居真复式带大露台单价5000多看房方便有钥匙,顺安居 -襄城区,3室2厅 | 170.09平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,100.5,"5,909元/平"
万达，家乐福，七里河，精装修3室电梯房，看房方便,中原花园小区 -樊城东区,3室2厅 | 128.49平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,2人关注 / 2个月以前发布,101,"7,861元/平"
钻石大道 时代天街商圈 蓝钻时代,蓝钻时代 -襄州区,3室2厅 | 140.49平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,86,"6,122元/平"
满两年，房子格局好，采光充足.户型方正.干净整洁,恒大名都 -襄城区,3室2厅 | 109.54平米 | 东南 | 其他 | 低楼层(共32层)  | 板塔结合,9人关注 / 8个月以前发布,122,"11,138元/平"
春园东路 客运处家属楼3室 有电梯,客运处家属楼 -樊城东区,3室2厅 | 127.92平米 | 南 | 简装 | 中楼层(共9层)  | 板塔结合,1人关注 / 3个月以前发布,95,"7,427元/平"
民发广场旁精装小三室，诚心出售,锦都汇 -襄州区,3室1厅 | 94.74平米 | 东南 | 精装 | 中楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,92,"9,711元/平"
二汽  和信北郡   毛坯  户型好 急售！,和信北郡 -高新区,2室2厅 | 93.73平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,7人关注 / 4个月以前发布,39,"4,161元/平"
恒大名都满2年 三卧朝南 阳台朝南采光 家具家电齐,恒大名都 -襄城区,3室2厅 | 124.7平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,140,"11,227元/平"
定中街保险公司家属院，位置优越，出行，消费方便,定中街保险公司家属院 -樊城东区,3室2厅 | 106.24平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,73,"6,872元/平"
湖北台基半导体股份有限公司 3室2厅 西 东,湖北台基半导体股份有限公司 -襄城区,3室2厅 | 122.24平米 | 西 东 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,87,"7,118元/平"
万达商圈紫贞公园旁长虹首府精装三室108平拎包入住,长虹首府 -樊城东区,3室2厅 | 108.83平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,11人关注 / 9个月以前发布,115,"10,567元/平"
清爽精装修！家具漂亮实用！配上电器直接入住！,碧桂园御玺 -襄城区,3室2厅 | 131.51平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 11个月以前发布,139,"10,570元/平"
红光紫都3室2厅1厨2卫电梯房诚心出售！,红光紫都商住楼 -樊城东区,3室2厅 | 130.43平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,6人关注 / 一年前发布,105,"8,051元/平"
民发广场旁，大三室毛坯诚心出售，看房方便,汇景园 -襄州区,3室2厅 | 126.15平米 | 东 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,108,"8,562元/平"
毛坯房，随心装，中间楼层，新小区，环境好，停车方便,阳光世纪城 -樊城东区,3室2厅 | 137.06平米 | 南 | 其他 | 中楼层(共29层)  | 板楼,6人关注 / 一年前发布,107,"7,807元/平"
此房满五唯一，通透格局，无物业 免费停车 采光好,襄州区张湾国土资源所家属院 -襄州区,3室2厅 | 162.19平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,106,"6,536元/平"
三卧朝南，通风采光好，可以任意装修,山河万里小区 -襄城区,4室2厅 | 141.05平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,162,"11,486元/平"
万达广场商圈，紫贞公园，乐福天下商圈，火车站便利,樊城区人民法院 -樊城东区,3室1厅 | 105.56平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,120,"11,368元/平"
新上纯边户百洋大三室，中高楼层 采光通风好 带装修,百洋欧典 -襄州区,3室2厅 | 118.82平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,100,"8,417元/平"
长虹路二桥头建设路口，湖北地质八大队长寿楼层,湖北地质八队建设小区 -樊城东区,3室1厅 | 65.95平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,53,"8,037元/平"
人民广场商圈 精装小3房 满二  看房方便 房龄新,九街十八巷江悦 -樊城东区,3室2厅 | 108.69平米 | 南 | 其他 | 低楼层(共46层)  | 板楼,0人关注 / 3个月以前发布,119.9,"11,032元/平"
一线江景 高层 看房随时 满五年一套房 产权清晰,龙世家 -樊城东区,3室1厅 | 175.77平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,178,"10,127元/平"
大庆东路江滩公园旁楼层好采光好，全明户型,阳光世纪城 -樊城东区,2室1厅 | 90.5平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,2人关注 / 5个月以前发布,85,"9,393元/平"
精装四房，小区前排，全天采光 130万,东津世纪城16区天境台 -东津区,4室2厅 | 139.85平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,125,"8,939元/平"
万达商圈长虹路主干道，艺苑华庭中层，急售,艺苑华庭 -樊城东区,3室2厅 | 142.85平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,22人关注 / 一年前发布,105,"7,351元/平"
大庆路五金站家属院实用三房诚意出售。,大庆路五金站家属院 -樊城东区,3室2厅 | 85.06平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,30人关注 / 一年前发布,51.5,"6,055元/平"
在水一方(襄城区)，成熟高档步梯房小区环境好,在水一方(襄城区) -襄城区,3室2厅 | 121.48平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,32人关注 / 一年前发布,96,"7,903元/平"
东津世纪城10区137.48平空房满二诚心出售,东津世纪城10区御华苑 -东津区,3室2厅 | 137.48平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,99,"7,202元/平"
