标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
急售！急售！急售！拎包入住大俩房 楼层采光视野好,天华硅谷庄园 -泰山街道,2室1厅 | 89.92平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,20人关注 / 6个月以前发布,168,"18,684元/平"
竹山路南北通电梯两房，居家精装，随时可看，诚意出售,东渡国际青年城 -东山镇,2室1厅 | 81.85平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,8人关注 / 2个月以前发布,223,"27,245元/平"
满二，楼层好，视野宽阔，采光足，配套齐全，交通便利,金穗花园 -奥南,2室1厅 | 60.74平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,25人关注 / 4个月以前发布,165,"27,165元/平"
位置好，采光不挡，居家装修，诚心卖,威尼斯水城第十二街区 -桥北,2室2厅 | 87.88平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,15人关注 / 1个月以前发布,139,"15,818元/平"
银城物业 双龙大道电梯 价格低业主诚心出售,南方花园瑞阳居 -岔路口,2室1厅 | 52.11平米 | 东 | 简装 | 中楼层(共10层)  | 塔楼,55人关注 / 6个月以前发布,100,"19,191元/平"
采光好，户型方正，没有浪费面积，刚需，拎包入住,亚东滨江和园 -江浦街道,1室1厅 | 54.5平米 | 南 | 简装 | 高楼层(共28层)  | 塔楼,26人关注 / 10个月以前发布,90,"16,514元/平"
29中低单价两房，自带大露台，中间楼层，房龄新,合群新村 -宁海路,2室1厅 | 71.22平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,25人关注 / 一年前发布,392,"55,041元/平"
仙林  诚品城  精装三房  位置好  诚意出售,诚品城 -仙林,3室1厅 | 90.66平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 1个月以前发布,202,"22,282元/平"
满五年 户型方正 业主很诚心 精装修 可拎包入住,老菜市 -水佐岗,1室1厅 | 41.07平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,167,"40,663元/平"
满五唯一 环境好楼龄新，采光视野不挡，业主诚意出售,托乐嘉友邻居 -将军大道,2室1厅 | 91.92平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,12人关注 / 7个月以前发布,309,"33,617元/平"
人和街 赤壁路不占用  南北户型 采光不挡,人和街 -水佐岗,2室1厅 | 52.49平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,215,"40,961元/平"
中高楼层，总价低，采光好，近弘阳广场,弘阳时代中心二期 -桥北,1室0厅 | 24.77平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,4人关注 / 18天以前发布,32,"12,919元/平"
珠江路 单室套 低楼层  带露台,东大影壁 -珠江路,1室1厅 | 31.4平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 18天以前发布,128,"40,765元/平"
业主急售，楼层好，价格便宜，得房率高,金地自在城第八街区 -板桥,3室1厅 | 88平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,1人关注 / 10天以前发布,168,"19,091元/平"
精装修 品牌家具家电 视野好 采光好 户型方正 楼层好,保利梧桐语花园 -江宁大学城,4室2厅 | 119.38平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 16天以前发布,270,"22,617元/平"
满五年唯一 自住装修 户型方正 双阳台 业主诚售,康博花园 -九龙湖,2室1厅 | 78.59平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 12天以前发布,325,"41,354元/平"
西善桥地铁口齐修北苑精装修三房,岱山齐修北苑 -岱山新城,3室1厅 | 87.31平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 2个月以前发布,188,"21,533元/平"
升州路 新街口 王，府，园看房方便诚心出售 夫子庙,西一巷 -升州路,2室1厅 | 49.2平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,235,"47,765元/平"
曹后村邮局宿舍南京站地铁口中间楼层三室一厅,曹后村邮局宿舍 -红山,3室1厅 | 66.81平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,7人关注 / 9个月以前发布,170,"25,446元/平"
小区安静，双南户型南北通透，客厅大，莫愁湖地铁口。,莫园新寓 -水西门,2室2厅 | 76.6平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,41人关注 / 7个月以前发布,199,"25,980元/平"
万达茂旁 金地湖城艺境四房满2 婚装 通透 含车位 急卖,金地湖城艺境 -仙林,4室2厅 | 117.73平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 2个月以前发布,450,"38,224元/平"
奥南 刘村地铁站旁 石林大公园,石林大公园 -板桥,3室2厅 | 88.57平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,7人关注 / 8个月以前发布,231,"26,082元/平"
鼓楼一中 心，陪读居家好房，豆菜桥精装大两房,豆菜桥小区 -华侨路,2室1厅 | 59.91平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,20人关注 / 5个月以前发布,248,"41,396元/平"
百家湖 3号线胜太西路地铁口  满五唯一  业主诚售,天琪雅居 -百家湖,3室2厅 | 112.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,47人关注 / 10个月以前发布,240,"21,353元/平"
房主诚心出售 户型方正 采光好 双地铁口 近龙湖天街,市政天元城 -东山镇,3室2厅 | 110.3平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,33人关注 / 8个月以前发布,259,"23,482元/平"
万达商圈 满五唯一 中楼层 南北通透,苏宁睿城 -万达广场,3室2厅 | 143.26平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,6人关注 / 3个月以前发布,939,"65,546元/平"
地铁四号线 三房两卫 次新小区 小高层 诚心出售,银亿东城第九街区 -麒麟镇,3室2厅 | 88.94平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,185,"20,801元/平"
正荣润峯正规三房 高得房率 业主自住保养好,正荣润峯 -奥南,3室2厅 | 94.12平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,13人关注 / 1个月以前发布,470,"49,937元/平"
南京南次新小区，电梯房楼层好采光棒，户型正诚意出售,中交锦致 -岔路口,3室2厅 | 87.11平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 1个月以前发布,405,"46,493元/平"
华汇康城顶跃 业主诚心出售小伙伴多多推荐,华汇康城 -麒麟镇,3室1厅 | 140.73平米 | 南 北 | 其他 | 高楼层(共11层)  | 板塔结合,17人关注 / 11个月以前发布,230,"16,344元/平"
南北通风采光视野好四开间朝南唯美西边户,亚东城东区 -仙林,4室1厅 | 155.41平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,16人关注 / 7个月以前发布,570,"36,678元/平"
两房朝南，楼层好，带车位，视线广阔，随时入住,泉水苑 -麒麟镇,3室2厅 | 89.18平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,6人关注 / 4个月以前发布,145,"16,260元/平"
新街口朝天宫 独立小区七家湾楼龄新好停车 配套成熟,七家湾 -升州路,3室2厅 | 106.67平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,23人关注 / 5个月以前发布,348,"32,624元/平"
户型方正格局棒，满二采光无遮挡，业主诚心售,华侨城翡翠天域星园一期 -栖霞其它,3室2厅 | 92.23平米 | 南 北 | 精装 | 中楼层(共34层)  | 暂无数据,27人关注 / 4个月以前发布,183,"19,842元/平"
清江西苑 多层三房两厅两卫 南北通透 全天采光,清江西苑 -定淮门大街,3室2厅 | 126.53平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,33人关注 / 一年前发布,690,"54,533元/平"
产权房没增值税地铁口，中间楼层，采光好,春江新城新河苑一期 -铁心桥,3室1厅 | 94.18平米 | 东南 | 精装 | 高楼层(共10层)  | 板塔结合,1人关注 / 1个月以前发布,225,"23,891元/平"
此房满两年，中Y空调有地暖新风系统，精装修,中锐星湖名邸 -百家湖,3室2厅 | 107.24平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,62人关注 / 2个月以前发布,439,"40,937元/平"
河西旁 凤凰品质楼盘 小区中间位置 业主急售！,凤凰和美 -能仁里,3室2厅 | 118.53平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,502,"42,353元/平"
东山 嘉顺时代广场 居家三房 视野好 采光足  满五年,嘉顺时代广场 -东山镇,3室1厅 | 93.95平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,9人关注 / 一年前发布,191,"20,330元/平"
莱蒙水榭阳光  经典三房 满两年 急售 看房方便,莱蒙水榭阳光 -铁心桥,3室2厅 | 111.31平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,25人关注 / 7个月以前发布,318,"28,569元/平"
朗诗物业 南站商圈 诚心出售  顶楼带阁楼,天地新城天枢座 -岔路口,2室2厅 | 98.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,7人关注 / 4个月以前发布,210,"21,260元/平"
满五年，精装修带暖气，楼层位置好，业主诚售,中航樾府 -百家湖,4室2厅 | 120.95平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,42人关注 / 一年前发布,457,"37,785元/平"
位置好   视野开阔 采光充足 交通便利,天润城第十街区 -桥北,2室1厅 | 81.49平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,175,"21,476元/平"
仙林新村南区 地铁口 新出低楼层自住两房 满五年,仙林新村 -仙林,3室1厅 | 68.65平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,240,"34,960元/平"
满五唯一 中间楼层，户型好小三房，实用，拎包入住,天润城第十街区 -桥北,3室2厅 | 80.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,162.8,"20,149元/平"
精装三房 满五唯一 得房率高 业主诚意出售 总价低,盛江花苑石榴园 -江宁滨江,3室2厅 | 104.14平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 3个月以前发布,106,"10,179元/平"
威尼斯水城第十二街区.地铁口.精装修.南北通透.诚售！,威尼斯水城第十二街区 -桥北,3室2厅 | 106.9平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,8人关注 / 3个月以前发布,216,"20,206元/平"
河西中，两年前婚装，边户大三房，通透明亮，格局很好,虹苑新寓四村 -应天西路,3室2厅 | 77.22平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 4个月以前发布,208,"26,937元/平"
玫瑰园三房   诚心出售   欢迎咨询,花港幸福城玫瑰园 -马群,3室1厅 | 87.1平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,40人关注 / 一年前发布,136,"15,615元/平"
业主诚心卖，中间楼层，小俩房，,王府园小区 -升州路,2室1厅 | 55.16平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,33人关注 / 一年前发布,288,"52,212元/平"
九龙湖公园旁电梯洋房低密度九龙湖别墅下叠带院子,九龙湖别墅 -九龙湖,4室2厅 | 172.69平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,88人关注 / 一年前发布,513,"29,707元/平"
岔路口 金盛路 明月港湾星河湾 电梯房 精装修拎包入住,明月港湾星河湾 -岔路口,3室2厅 | 124.7平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,52人关注 / 一年前发布,262,"21,011元/平"
西堤国际城壹区 凤凰层 物业管理好 装修保养好有车位,银城西堤国际一区 -奥体,3室2厅 | 131.46平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,111人关注 / 一年前发布,665,"50,586元/平"
天和苑 户型好 采光好 诚心出售,天和苑 -桥北,3室2厅 | 120.54平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,165,"13,689元/平"
满五唯一，南北通透 采光充足 小区环境好，价格可谈,方圆绿茵 -迈皋桥,3室2厅 | 103.88平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,60人关注 / 一年前发布,265,"25,511元/平"
五矿崇文金城方正户型 无浪费边户 高楼层 升级装修,五矿崇文金城 -奥南,3室2厅 | 126.82平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,23人关注 / 7个月以前发布,670,"52,831元/平"
岔路口 金盛路 明月港湾星河湾 电梯房 精装修拎包入住,明月港湾星河湾 -岔路口,3室2厅 | 124.7平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,52人关注 / 一年前发布,262,"21,011元/平"
明故宫 后宰门街  精装三房 中间楼层  满五年看房方便,后宰门街 -后宰门,3室1厅 | 49.56平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,40人关注 / 6个月以前发布,182,"36,724元/平"
西堤国际城壹区 凤凰层 物业管理好 装修保养好有车位,银城西堤国际一区 -奥体,3室2厅 | 131.46平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,111人关注 / 一年前发布,665,"50,586元/平"
锦绣花园 地铁口房 错层 装修的很好 湖景房,锦绣花园 -麒麟镇,4室2厅 | 153.05平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 3个月以前发布,238,"15,551元/平"
银城汇文 瑞景家园 精装3房 电梯房 2009年 采光足,滨江瑞景家园 -凤凰西街,3室1厅 | 112.68平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,5人关注 / 5个月以前发布,755,"67,004元/平"
双南户型，全明通透 采光充足 迈皋桥商圈 配套成熟,华电三宿舍 -迈皋桥,2室1厅 | 60.78平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 5个月以前发布,145,"23,857元/平"
业主诚心出售，户型方正，中间楼层，采光好,御道园 -大光路,3室1厅 | 120.28平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1235人关注 / 一年前发布,380,"31,593元/平"
满五唯一 精装三室 全屋墙暖 设施齐全 中高楼层采光好,万科金域蓝湾 -九龙湖,3室2厅 | 89.68平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,27人关注 / 6个月以前发布,360,"40,143元/平"
优质楼层视野好，日系简约风，日立空调+地暖+全屋定制,中海御山府二期 -麒麟科创园,3室2厅 | 123.06平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,480,"39,006元/平"
低总价 大三房 人车分流 业主诚心,清江西苑 -定淮门大街,3室2厅 | 147.22平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,24人关注 / 6个月以前发布,750,"50,945元/平"
二期非顶楼，拎包入住，次新房拉小旁，软件园,银城蓝溪郡 -正方新城,3室2厅 | 87.26平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 2个月以前发布,149,"17,076元/平"
近地铁和文鼎，采光好， 五矿物业，满五唯一,东方龙湖湾南湖苑 -江宁大学城,2室1厅 | 67.96平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 4个月以前发布,185,"27,222元/平"
南湖省二中医院 7号线地铁口 满五唯一,南湖春晓嘉怡苑 -南苑,2室2厅 | 101.74平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,5人关注 / 2个月以前发布,359,"35,287元/平"
次新精装 简约大方现代中式风  三开朝南四季沐浴阳光,弘阳旭日上城二区 -桥北,3室2厅 | 136.69平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,92人关注 / 一年前发布,306,"22,387元/平"
珠江路 新街口 长江路 汇文里 精装 采光无遮挡 楼层好,汇文里 -长江路,2室2厅 | 85.95平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 2个月以前发布,388,"45,143元/平"
双南一北双阳台　东边户　满五年唯一　三山街地铁口,秦状元里 -夫子庙,3室1厅 | 109.41平米 | 东南 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 1个月以前发布,310,"28,334元/平"
急卖满五年唯一，有地下室，西边户价格可谈。急卖,枫桥雅筑 -迈皋桥,2室2厅 | 82.19平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,223,"27,133元/平"
此房满五唯一 大院子 户型方正 楼间距小区忒大,碧水湾花园 -岔路口,3室2厅 | 138.7平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,21人关注 / 4个月以前发布,319,"23,000元/平"
新上河西万达精装2房。得房率90%地铁口交通方便,叠彩丽庭 -万达广场,2室1厅 | 88.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 2个月以前发布,375,"42,600元/平"
奥南精装小三房，新空高楼层，看房方便业主诚售。,佳兆业城市广场三期 -奥南,3室2厅 | 87.34平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 1个月以前发布,492,"56,332元/平"
百家湖商圈 三号线地铁口 碧水湾精装三房 中间楼层,碧水湾西园 -百家湖,3室2厅 | 109.44平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,105人关注 / 5个月以前发布,265,"24,215元/平"
湖景房 五矿开发 弘阳物业 户型方正 文鼎商圈,东方龙湖湾东湖苑 -江宁大学城,2室1厅 | 85.93平米 | 西南 | 精装 | 低楼层(共8层)  | 板楼,29人关注 / 11个月以前发布,175,"20,366元/平"
武夷名仕园 3室2厅 南 北,武夷名仕园 -江宁大学城,3室2厅 | 107.03平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,8人关注 / 4个月以前发布,215,"20,088元/平"
精品智能家电，精装修，交通便利，配套完善！,仁义桥 -来凤里,3室1厅 | 50.97平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,19人关注 / 5个月以前发布,140,"27,468元/平"
