标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
清姜路 长岭社区 中间楼层三室 南北向 物业好,长岭康乐小区 -清姜,3室2厅 | 112.37平米 | 南 北 | 其他 | 6层  | 板塔结合,0人关注 / 24天以前发布,38.5,"3,427元/平"
高新三路丨大型社区丨3室2厅2卫丨业主诚心出售！,左岸新城 -高新区,3室2厅 | 121平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,85,"7,025元/平"
清姜 东四路 城市绿洲 随时看 可按揭 两室两厅,城市绿洲 -清姜,2室1厅 | 95.96平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,28,"2,918元/平"
桥南 玉泉花园南区5楼  急售 看房提前联系,玉泉花园南区 -桥南,2室2厅 | 99.31平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,33,"3,323元/平"
户型格局方正 采光好电梯房 空气流通,三迪国际公寓 -三迪,1室1厅 | 51.12平米 | 西北 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 31天以前发布,31.3,"6,123元/平"
精装修板楼 中高楼层南北通透 业主诚心卖 出行便利,軒苑世家一期 -陈仓园,2室2厅 | 90.03平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 29天以前发布,60,"6,665元/平"
此房有本电梯房，精装修，拎包入住，市区繁华地段,那里国际 -火车站,3室2厅 | 154平米 | 西北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,83,"5,390元/平"
：此房，采光充足，户型方正，中间楼层，毛坯,轩苑盛世三期B区 -新福路,3室2厅 | 131.6平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,64.8,"4,925元/平"
新福路轩苑三期E区三室毛坯中间楼层业主诚心出售,轩苑盛世二期E区 -西关,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,56,"4,553元/平"
宝平路轴承佳苑电梯精装修，拎包入住，急售,轴承佳苑 -群众路,2室1厅 | 97平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,50,"5,155元/平"
火车站 天下汇旁 七建公司3室 南北通透 手续齐全按揭,陕建七公司家属院 -火车站,3室2厅 | 97.63平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,37,"3,790元/平"
中山路 房子是紧凑三室 双气齐全 房本手续齐全,东南城巷住宅区 -火车站,3室1厅 | 67.55平米 | 东 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,13.8,"2,043元/平"
新福路  水韵新苑 户型方正  房本清晰可按揭,水韵新苑 -新福路,2室2厅 | 94平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,37,"3,937元/平"
小区自带幼儿园，以后方便孩子上学，,石鼓天玺台 -石坝河,4室2厅 | 248平米 | 南 北 | 毛坯 | 28层  | 板楼,17人关注 / 一年前发布,188,"7,581元/平"
经二路东头 金陵新村多层三室 手续齐全,金陵新村一区 -火车站,3室2厅 | 79平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,25,"3,165元/平"
聚丰一城江山210.78平少有的底跃结构带车库带花园。,聚丰一城江山I期 -石坝河,4室4厅 | 138平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,25人关注 / 一年前发布,122,"8,841元/平"
毛坯上叠五室户型格局方正采光好看房方便适合一家人,三迪加州阳光小区 -三迪,5室2厅 | 240平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 板塔结合,12人关注 / 5个月以前发布,128,"5,334元/平"
高新三路丨毛坯大五室丨产权清晰，随时过户，带露台,田丰高新国际 -高新区,5室2厅 | 195平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,85,"4,359元/平"
宝平路锦和春天，大三室毛坯，中间楼层，看房方便.,锦和春天 -群众路,3室2厅 | 130.84平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,45.2,"3,455元/平"
急售急售，业主诚心出售，户型方正没有浪费,蜂业公司 -上马营,3室2厅 | 141平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,39.8,"2,823元/平"
经二路中间楼层，小区停车方便，业主急售,金陵新村一区 -火车站,2室2厅 | 76.08平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 3个月以前发布,26,"3,418元/平"
经二路火车站 金陵新村两室 低楼层 配套齐全 交通便利,金陵新村二区 -火车站,2室2厅 | 78平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,28,"3,590元/平"
业主急售红旗路简装婚房住宅楼一套,东南城巷住宅区 -火车站,3室1厅 | 111平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,25,"2,253元/平"
高新一路  水木清华  5室复式  带大型幼儿园,水木清華 -高新区,5室2厅 | 183平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,24人关注 / 一年前发布,135,"7,378元/平"
品 质小区 宏运海河湾  大四室 全明户型,宏运海河湾 -高新区,4室1厅 | 156.91平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,105,"6,692元/平"
火车站东头 巨一时代广场电梯中间楼层,巨一时代广场 -火车站,2室2厅 | 105.65平米 | 南 | 其他 | 30层  | 板楼,0人关注 / 1个月以前发布,68,"6,437元/平"
房子南北通透.格局方正;全明户型;需要重新装修,渭工路48号楼 -火车站,3室1厅 | 99.03平米 | 南 北 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 1个月以前发布,34,"3,434元/平"
新福路绿化小区百翠园，三室两厅，拎包入住,百翠园 -新福路,3室2厅 | 113平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,45.9,"4,062元/平"
户型结构无浪费，采光好，出行方便，配套齐全。,豪城C天下 -新福路,3室2厅 | 103平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,52,"5,049元/平"
新福路 豪城天下B区 南北通透 交通便利 可按揭,豪城天下B区 -新福路,2室2厅 | 93.31平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,38,"4,073元/平"
电梯精装修 两室两厅  南北通透,春天大道 -新福路,3室2厅 | 99.7平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,46,"4,614元/平"
金台区 新福路 精装3室 配套齐全 房龄新 小区环境优美,轩苑盛世二期B区 -新福路,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,69,"5,520元/平"
两梯两户，电梯大平层，2019年次新房，等您回家,锦御华府 -高新区,4室2厅 | 176.48平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,117,"6,630元/平"
龙庭山水别墅  出售  四室房子,龙廷山水 -石坝河,4室2厅 | 311.01平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,15人关注 / 一年前发布,230,"7,396元/平"
稀有五室  私家车库  阳光房  满二无大税,三迪加州阳光小区 -三迪,5室2厅 | 224.9平米 | 南 | 其他 | 中楼层(共4层)  | 板塔结合,28人关注 / 一年前发布,153,"6,804元/平"
两梯两户，电梯大平层，2019年次新房，等您回家,锦御华府 -高新区,4室2厅 | 176.48平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,117,"6,630元/平"
金台区 新福路 精装3室 配套齐全 房龄新 小区环境优美,轩苑盛世二期B区 -新福路,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,69,"5,520元/平"
龙庭山水别墅  出售  四室房子,龙廷山水 -石坝河,4室2厅 | 311.01平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,15人关注 / 一年前发布,230,"7,396元/平"
高新六路丨泰森亿佳苑丨南北朝向丨电梯大两室环境好,泰森亿佳苑 -高新区,2室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 21天以前发布,60,"5,941元/平"
高新五路丨标准一居室丨中楼层丨天下汇丨星钻国际旁丨,高新新城国际广场 -高新区,1室1厅 | 63平米 | 北 | 简装 | 6层  | 塔楼,0人关注 / 20天以前发布,30,"4,762元/平"
高新一路 精装两室 好楼层 价位可谈,在水一方 -高新区,2室2厅 | 103.58平米 | 西南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 30天以前发布,62,"5,986元/平"
东岭繁华地段    高楼层视野好,东岭新时代二期 -陈仓园,3室2厅 | 144.89平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 28天以前发布,89.5,"6,178元/平"
高新四路 两室 低楼层 老人小孩出行方便 南北朝向,高新永泰茗苑东区 -高新区,2室1厅 | 87.6平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,60,"6,850元/平"
群众路康复医院对跟前，两室2006年的房子，可按揭急售,百货公司家属院 -群众路,2室2厅 | 88.25平米 | 南 北 | 其他 | 5层  | 板塔结合,0人关注 / 一年前发布,26.9,"3,049元/平"
群众路柳苑小区，两室低楼层，简单装修可按揭。,柳苑小区 -群众路,2室1厅 | 78.11平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 10个月以前发布,31,"3,969元/平"
此房南北通透，明厨明卫，生活配套齐全,玉泉花园南区 -桥南,2室1厅 | 99.31平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,36,"3,626元/平"
桥南 川陕路24号院 户型方正 价位可谈 看房方便,川陕路24号 -桥南,2室1厅 | 72.09平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,22,"3,052元/平"
：此房采光视野都不错，南北通透，装修好，格局好。,豪城天下F区 -新福路,2室2厅 | 99.01平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,48,"4,848元/平"
房子户型方正   南北通透   业主诚心出售  随时可看房,福临小区廉住房三区 -新福路,2室1厅 | 79.65平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,23,"2,888元/平"
清姜优质房源，成熟小区，要安装电梯,宝桥小区 -清姜,2室1厅 | 71.52平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,16.8,"2,349元/平"
明厨明卫，采光充足，配套齐全，交通便利，,新烽火盛華園 -桥南,2室2厅 | 100.53平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,34,"3,383元/平"
小区成熟、居住的居民素质各方面都高一些，小区氛围好,石鼓園小區 -石坝河,2室1厅 | 78.5平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,26,"3,313元/平"
此房满五不唯一，南北通透简单装修，楼层好 看房随时,福临小区廉住房三区 -新福路,2室2厅 | 97.97平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,35.8,"3,655元/平"
房子精装修  拎包入住  看房方便！,麦恩印象二期 -高新区,2室2厅 | 95.27平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,63,"6,613元/平"
桥南清姜 大型小区 依山傍水 简单装修 看房方便,益门小区 -清姜,2室1厅 | 87.97平米 | 南 北 | 其他 | 6层  | 板楼,6人关注 / 一年前发布,21.5,"2,445元/平"
2008年的房子，房龄新，满五唯一，业主诚心出售,药玻小区 -桥南,2室1厅 | 86.01平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,33,"3,837元/平"
清姜多层两室，采光充足，视野开阔，生活便利。,姜中小区 -桥南,2室1厅 | 56.07平米 | 东 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,15,"2,676元/平"
胜利桥南  电梯 好楼层 毛坯  东西通透  交通生活便利,中铁一局五公司路西小区 -桥南,2室2厅 | 124.93平米 | 东 西 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,43,"3,442元/平"
广园路房源 价位可谈  看房方便,药玻小区 -桥南,2室1厅 | 63.35平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,12,"1,895元/平"
清姜多层拎包入住，看房方便有钥匙,长岭祥和小区 -清姜,2室1厅 | 53.5平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,12.5,"2,337元/平"
高新二路水木清华~多层中间楼层~精装2室~全明南北户型,水木清華 -高新区,2室2厅 | 97.89平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,58,"5,926元/平"
此房满五唯一，价位低 ..采光好，交通便利,上马营华苑北区 -上马营,2室1厅 | 46平米 | 南 北 | 其他 | 5层  | 板楼,1人关注 / 11个月以前发布,10,"2,174元/平"
桥南繁华地段电梯房，小区配套成熟，房本已满5年。,景宏名园 -桥南,2室2厅 | 115.99平米 | 西北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,48.5,"4,182元/平"
经典两室，南北通透，采光好，没有浪费。,宝鸡市质量技术监督局家属院 -西关,2室1厅 | 59.74平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,15,"2,511元/平"
经典两室，南北通透，采光好，没有浪费。,宝鸡市质量技术监督局家属院 -西关,2室1厅 | 59.74平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,15,"2,511元/平"
滨河大道 人民家园 可按揭 业主真心出售,人民家园 -石坝河,2室1厅 | 69.6平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,21,"3,018元/平"
高新二路  精装1室  电梯房 中间楼层 可按揭,城市枫景 -高新区,1室1厅 | 65.62平米 | 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,41,"6,249元/平"
益门小区 交通便利  户型好  环境好,益门小区 -清姜,2室1厅 | 88.17平米 | 南 北 | 简装 | 6层  | 板楼,1人关注 / 一年前发布,26.5,"3,006元/平"
此房满五，西南朝向，采光充足，视野宽阔，,宝鸡卷烟厂滨河路住宅小区 -火车站,2室1厅 | 49.32平米 | 东南 | 其他 | 高楼层(共9层)  | 板塔结合,1人关注 / 7个月以前发布,15.2,"3,082元/平"
房子彩光充足，视野宽，，，，，，，，，，，，，,宝鸡肉联厂家属院 -上马营,2室1厅 | 51.54平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,14,"2,717元/平"
陈仓园二区.电梯房.两室.可按揭.业主急售,陈仓园二区 -陈仓园,2室2厅 | 104.36平米 | 南 | 其他 | 低楼层(共12层)  | 板塔结合,0人关注 / 3个月以前发布,47,"4,504元/平"
桥南姜谭路繁华地段两室 可按揭领包入住,百合花城 -姜谭路,2室1厅 | 76.08平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 11个月以前发布,29.5,"3,878元/平"
金台大道银泰城  大社区  环境好  配套齐全,东岭新时代(金台区) -陈仓园,2室2厅 | 108.3平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,58,"5,356元/平"
清姜多层两室 南北通透 户型反正 可按揭,城市绿洲 -清姜,2室2厅 | 93.1平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,33,"3,545元/平"
房子格局通透，视野宽阔，采光充足，,轩苑世家Ⅱ期 -陈仓园,3室2厅 | 124.09平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,82,"6,609元/平"
宝鸡电力设备家属院南院 简装2室 户型好 中间楼层,宝鸡电力设备厂东家属院 -三迪,2室1厅 | 50.84平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,25.8,"5,075元/平"
"户型方正，采光好，结构设计合理，绿化高,全明户型。",百合花城 -姜谭路,2室2厅 | 93.32平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,39.8,"4,265元/平"
清姜两室有房本有钥匙随时可以看房,宝仪社区 -清姜,2室1厅 | 65.68平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,16,"2,437元/平"
桥南宝桥地段两室 业主诚心售房,益门小区 -清姜,2室1厅 | 86平米 | 南 | 其他 | 6层  | 板楼,1人关注 / 10个月以前发布,23,"2,675元/平"
上马营华苑北区 2室0厅 南,上马营华苑北区 -上马营,2室0厅 | 46平米 | 南 | 其他 | 5层  | 板楼,0人关注 / 9个月以前发布,15,"3,261元/平"
桥南精装两室楼层看房方便无大税,公园路98号院 -桥南,2室1厅 | 74.05平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,29,"3,917元/平"
东高新水木清华  电梯中间楼层  房本满二,水木清華 -高新区,2室2厅 | 49.84平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,45,"9,029元/平"
