标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
城北小套三中间楼层精装关门卖，家具家电齐全,郁金香上城 -射洪县,3室2厅 | 87平米 | 东 | 精装 | 中楼层(共28层)  | 暂无数据,5人关注 / 一年前发布,63.8,"7,334元/平"
价格可谈，清水房，单价适合~~~~,正黄·金域名邸 -物流港区,4室2厅 | 125平米 | 东南 | 毛坯 | 中楼层(共12层)  | 塔楼,0人关注 / 2个月以前发布,71,"5,680元/平"
省级花园小区，石油南苑，步梯2楼，产权在手,石油南苑C区 -南门区,2室2厅 | 80平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,43,"5,375元/平"
南门石油单位小区 步梯中层 正规三房,凯东石油小区B区 -南门区,3室2厅 | 90平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,49.8,"5,534元/平"
地段好 户型方正 采光好 精装四室 拎包入住,富源新村 -南门区,4室2厅 | 113.32平米 | 东南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,56.8,"5,013元/平"
南门  凯旋路步梯四楼  大平方  单价低,凯旋下路122号 -南门区,4室2厅 | 150.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,46.8,"3,115元/平"
中天外滩 楼下就是湿地公园 相邻滨江路,中天外滩 -南门区,2室2厅 | 95.11平米 | 东 | 毛坯 | 高楼层(共12层)  | 暂无数据,1人关注 / 4个月以前发布,65,"6,835元/平"
北门实验 学 校正 对 面有物管，步梯低层，温馨三房,颐康公寓 -北门区,3室2厅 | 110平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,55.8,"5,073元/平"
育才路 单位房，有小区可停车 中等装修 3房2卫,设计所宿舍 -市中区,3室2厅 | 104.5平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,11人关注 / 10个月以前发布,41.6,"3,981元/平"
国滨首 府 毛坯四房双卫 经典大户型朝纯中庭,国滨首府 -南门区,4室2厅 | 118平米 | 西南 | 毛坯 | 高楼层(共26层)  | 塔楼,3人关注 / 一年前发布,85,"7,204元/平"
南门现浇三房，首付十万搞定，可停大小车,荣兴南苑 -南门区,3室2厅 | 76.04平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,39.6,"5,208元/平"
摩天轮旁3房 出行方便 绿化高 适合居家 配套设施,东湖丽景 -河东北区,3室2厅 | 118平米 | 东南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 一年前发布,176,"14,916元/平"
凯东家具城精装大三室 带储物间 户型方正 出行方便,凯东家具城 -市中区,3室3厅 | 165平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,69.8,"4,231元/平"
电梯小高层，基装已做好，看房方便，,置信丽府B区 -河东北区,4室2厅 | 128平米 | 东南 | 精装 | 中楼层(共10层)  | 暂无数据,7人关注 / 4个月以前发布,128,"10,000元/平"
品质小区，视野开阔，能看河，采光好,置信丽府B区 -河东北区,4室2厅 | 129平米 | 东南 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 8个月以前发布,138,"10,698元/平"
此楼盘位于中华养生谷、荣海温泉社区与保利养生,荣海花间集 -河东北区,2室2厅 | 85.2平米 | 西南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,52.8,"6,198元/平"
滨江尚郡小区 三室两厅两卫  小区环境干净舒适,滨江尚郡 -射洪县,3室2厅 | 110平米 | 东 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 一年前发布,68,"6,182元/平"
荣兴南苑 3室2厅 东南,荣兴南苑 -南门区,3室2厅 | 96.35平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,66,"6,851元/平"
中天外滩（清水房）大三房交通方便,中天外滩 -南门区,3室2厅 | 129.95平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,110,"8,465元/平"
南门优质地带                     中楼层,深南小区 -南门区,3室2厅 | 118平米 | 东 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,55,"4,662元/平"
低首付 城北太空新城 清水三室 税费低,太空新城 -射洪县,3室2厅 | 120.4平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,53.8,"4,469元/平"
农业器械宿舍 3室2厅 东 西,农业器械宿舍 -南门区,3室2厅 | 92.6平米 | 东 西 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,42.8,"4,623元/平"
高新区精装3室、户型周正、小区配套完善、可拎包入住,南湖半岛 -物流港区,3室2厅 | 100平米 | 东 | 其他 | 中楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,63,"6,300元/平"
电梯高层，户型方正采光好，视线开阔无遮挡。,华翔城三期 -物流港区,3室2厅 | 79平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 一年前发布,68,"8,608元/平"
户型方正，两面采光.配套完善，生活便利，适合居家,城南丽景 -南门区,5室2厅 | 195平米 | 东南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,98.6,"5,057元/平"
南门滨江路电梯公寓 可看江 产权满2年 价格可谈,滨海名城 -南门区,3室2厅 | 128.8平米 | 东北 | 其他 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,90,"6,988元/平"
万达鸿翔苑 3室2厅 东南,万达鸿翔苑 -南门区,3室2厅 | 108平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,57.8,"5,352元/平"
滨江路 电梯 三房  房东诚心卖，价格可谈,港城清水港湾 -南门区,3室2厅 | 117.79平米 | 东南 | 简装 | 中楼层(共26层)  | 塔楼,0人关注 / 一年前发布,105,"8,915元/平"
此房满两年，无任何财务纠纷，带装修，可拎包入住。,幸福六巷 -南门区,3室2厅 | 101.37平米 | 东南 | 简装 | 中楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,35.8,"3,532元/平"
南门滨江路       银河路     随时看房,国滨首府B区 -南门区,3室1厅 | 89平米 | 东南 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 7个月以前发布,90,"10,113元/平"
天宫石油小区2-2-1 可租可住 简装可二次装修,天宫石油小区 -南门区,2室2厅 | 80平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,34,"4,250元/平"
南门 永明南湖逸景 三房双卫 产权清晰 房东支持按揭,永明南湖逸景 -南门区,3室2厅 | 112平米 | 西南 | 毛坯 | 中楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,69.8,"6,233元/平"
南门美宁鑫家园精装大三房，拎包入住，出脚方便,鑫嘉园万象新天 -南门区,3室2厅 | 119.74平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,79.8,"6,665元/平"
兴文小区 现浇房 停车方便 看起价格好谈 急售,兴文小区 -南门区,3室2厅 | 98.36平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,40,"4,067元/平"
南门 精装3房出行方便，生活配套成熟,遂州南路116号附36号 -南门区,3室2厅 | 111.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,56.6,"5,077元/平"
玻璃厂宿舍（凯南三巷） 3室2厅 南,玻璃厂宿舍（凯南三巷） -南门区,3室2厅 | 72.77平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,39.8,"5,470元/平"
富源新村 单价才3千多  采光好 户型好,富源新村 -南门区,3室2厅 | 137平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,38,"2,774元/平"
南门  凯旋路步梯四楼  大平方  单价低,凯旋下路122号 -南门区,4室2厅 | 150.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,46.8,"3,115元/平"
育才路 单位房，有小区可停车 中等装修 3房2卫,设计所宿舍 -市中区,3室2厅 | 104.5平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,11人关注 / 10个月以前发布,41.6,"3,981元/平"
地段好 户型方正 采光好 精装四室 拎包入住,富源新村 -南门区,4室2厅 | 113.32平米 | 东南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,56.8,"5,013元/平"
北门实验 学 校正 对 面有物管，步梯低层，温馨三房,颐康公寓 -北门区,3室2厅 | 110平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,55.8,"5,073元/平"
滨江路 电梯 三房  房东诚心卖，价格可谈,港城清水港湾 -南门区,3室2厅 | 117.79平米 | 东南 | 简装 | 中楼层(共26层)  | 塔楼,0人关注 / 一年前发布,105,"8,915元/平"
此房满两年，无任何财务纠纷，带装修，可拎包入住。,幸福六巷 -南门区,3室2厅 | 101.37平米 | 东南 | 简装 | 中楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,35.8,"3,532元/平"
南门优质地带                     中楼层,深南小区 -南门区,3室2厅 | 118平米 | 东 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,55,"4,662元/平"
低首付 城北太空新城 清水三室 税费低,太空新城 -射洪县,3室2厅 | 120.4平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,53.8,"4,469元/平"
农业器械宿舍 3室2厅 东 西,农业器械宿舍 -南门区,3室2厅 | 92.6平米 | 东 西 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,42.8,"4,623元/平"
电梯高层，户型方正采光好，视线开阔无遮挡。,华翔城三期 -物流港区,3室2厅 | 79平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 一年前发布,68,"8,608元/平"
凯东家具城精装大三室 带储物间 户型方正 出行方便,凯东家具城 -市中区,3室3厅 | 165平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,69.8,"4,231元/平"
华翔城三期 3室2厅 东南,华翔城三期 -物流港区,3室2厅 | 89平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,66.8,"7,506元/平"
摩天轮旁3房 出行方便 绿化高 适合居家 配套设施,东湖丽景 -河东北区,3室2厅 | 118平米 | 东南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 一年前发布,176,"14,916元/平"
万福花园 3室2厅 南,万福花园 -大英县,3室2厅 | 129.7平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,58,"4,472元/平"
户型方正  交通方便  采光良好,天宫北路132附5号 -南门区,3室2厅 | 108平米 | 西南 | 简装 | 中楼层(共8层)  | 暂无数据,4人关注 / 4个月以前发布,38.8,"3,593元/平"
南门富成小区现浇小区物管停车场,富成小区 -南门区,3室2厅 | 130.8平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,60,"4,588元/平"
敏捷·锦绣源著 3室2厅 东南,敏捷·锦绣源著 -河东北区,3室2厅 | 89平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,88,"9,888元/平"
楼层好配套设施齐全，交通便利，户型方正!,福江花园 -北门区,3室3厅 | 139.7平米 | 东 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,65.8,"4,711元/平"
金桥仁湖花园 产权满二 业主诚心出售 看房方便,仁湖花园二期 -蓬溪县,3室2厅 | 79.9平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 7个月以前发布,32.8,"4,106元/平"
证齐、精装修、家具家电齐全、房东很少在家里住。,保利江语城 -河东北区,3室2厅 | 81.5平米 | 西 | 精装 | 低楼层(共23层)  | 塔楼,7人关注 / 一年前发布,107.8,"13,227元/平"
此房屋 大三室 可以停大小车 有物管,航校宿舍 -南门区,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,59.8,"4,984元/平"
城中阳光城现浇房，可做公积金，首付  低。,泰佳尔阳光城 -南门区,2室2厅 | 73平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,8人关注 / 一年前发布,29.8,"4,083元/平"
4室，税低，现浇，位置好，家电齐全，领包入住,盛世锦城 -南门区,4室2厅 | 140平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,75,"5,358元/平"
高新区 南湖半岛 电梯中间楼层，精装3房，诚心卖,南湖半岛 -物流港区,3室2厅 | 90.04平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,65.8,"7,308元/平"
山语湖 独栋别墅  一线江景房 带四面花园  出门是公园,山屿湖 -仁里场区,6室2厅 | 276平米 | 西南 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,3人关注 / 一年前发布,580,"21,015元/平"
邦泰东湖上院 3室2厅 东南,邦泰东湖上院 -河东北区,3室2厅 | 89平米 | 东南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 5个月以前发布,89.8,"10,090元/平"
苏州园林式，小桥流水人家，坐北朝南，面向中庭。,邦泰河东院子 -河东北区,3室2厅 | 103平米 | 东南 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,123.6,"12,000元/平"
河东万达 清水房 三室两厅面积大,东城绿洲A区 -河东北区,3室2厅 | 141平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,3人关注 / 一年前发布,97,"6,880元/平"
国滨首府B区 精装修 3室2厅,国滨首府B区 -南门区,3室2厅 | 91.02平米 | 东 | 精装 | 低楼层(共15层)  | 塔楼,5人关注 / 7个月以前发布,79,"8,680元/平"
精装修三房，业主很诚心卖，含家电,置信仁湖花园1期 -蓬溪县,3室2厅 | 106平米 | 东南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,43,"4,057元/平"
香山清水大四房   欢迎随时带看,金科美湖湾香山 -仁里场区,4室2厅 | 125平米 | 东北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,98,"7,840元/平"
北门公园旁永明丽景精装大三房拎包入住成色好,永明丽景 -北门区,3室2厅 | 131平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,75,"5,726元/平"
东湖丽景 3室2厅 东,东湖丽景 -河东北区,3室2厅 | 108.62平米 | 东 | 毛坯 | 低楼层(共22层)  | 塔楼,2人关注 / 4个月以前发布,96.8,"8,912元/平"
急售川中大市场对边飞虹街精装三房全新家具家电,飞虹街 -北门区,3室2厅 | 92平米 | 西南 | 精装 | 中楼层(共8层)  | 暂无数据,14人关注 / 一年前发布,44.8,"4,870元/平"
南门 石油小区 步梯2楼 小区环境好 停车位充足,天星石油小区A区 -南门区,2室2厅 | 77.7平米 | 东 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,36,"4,634元/平"
业主急售置换 天富小区 装修8层新,天富小区 -南门区,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,53.8,"4,599元/平"
正规4房，户型方正，视野开阔。,天鹅湖二期 -蓬溪县,4室2厅 | 110.52平米 | 东南 | 毛坯 | 中楼层(共34层)  | 塔楼,1人关注 / 7个月以前发布,40,"3,620元/平"
此房是装修房 配套设施齐全，交通便利,天鹅湖一期 -蓬溪县,3室2厅 | 89平米 | 北 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,33.5,"3,765元/平"
此房屋 大三室 可以停大小车 有物管,航校宿舍 -南门区,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,59.8,"4,984元/平"
高新区 南湖半岛 电梯中间楼层，精装3房，诚心卖,南湖半岛 -物流港区,3室2厅 | 90.04平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,65.8,"7,308元/平"
4室，税低，现浇，位置好，家电齐全，领包入住,盛世锦城 -南门区,4室2厅 | 140平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,75,"5,358元/平"
万福花园 3室2厅 南,万福花园 -大英县,3室2厅 | 129.7平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,58,"4,472元/平"
户型方正  交通方便  采光良好,天宫北路132附5号 -南门区,3室2厅 | 108平米 | 西南 | 简装 | 中楼层(共8层)  | 暂无数据,4人关注 / 4个月以前发布,38.8,"3,593元/平"
南门富成小区现浇小区物管停车场,富成小区 -南门区,3室2厅 | 130.8平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,60,"4,588元/平"
敏捷·锦绣源著 3室2厅 东南,敏捷·锦绣源著 -河东北区,3室2厅 | 89平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,88,"9,888元/平"
金桥仁湖花园 产权满二 业主诚心出售 看房方便,仁湖花园二期 -蓬溪县,3室2厅 | 79.9平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 7个月以前发布,32.8,"4,106元/平"
楼层好配套设施齐全，交通便利，户型方正!,福江花园 -北门区,3室3厅 | 139.7平米 | 东 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,65.8,"4,711元/平"
此房满二年，出行方便，户型方正，居住方便舒适,四川万地防腐工程有限公司宿舍 -北门区,5室2厅 | 169.3平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,53.8,"3,178元/平"
天宫路口福海楼出脚方便 价格可谈哟,富海楼 -南门区,3室2厅 | 83.3平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,19人关注 / 一年前发布,36.8,"4,418元/平"
