标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
恒大电梯房 品质小区 配套成熟 采光好 视野开阔,恒大中航城二期 -清泉坝,3室2厅 | 96平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼,1人关注 / 一年前发布,76,"7,917元/平"
毛坯大三房，楼层巴适，价格很香，手慢无,恒大中航城二期 -清泉坝,3室2厅 | 95平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,8人关注 / 一年前发布,74.8,"7,874元/平"
益欣维多利亚 4室2厅 东南,益欣维多利亚 -嘉陵广场,4室2厅 | 142.15平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,65,"4,573元/平"
户型方正，楼层佳，视野开阔采光好,蓝光COCO香江一期二区 -清泉坝,3室2厅 | 68.32平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,11人关注 / 一年前发布,62.6,"9,163元/平"
房子位于清泉坝，旁边就是湿地公园，户型好，价格合理,中南尚景阅 -清泉坝,3室2厅 | 99平米 | 东南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,60,"6,061元/平"
顺庆区柏林春天此房无高税  房东自己装修看房方便,柏林春天 -市政新区,3室2厅 | 96.1平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 4个月以前发布,66.8,"6,952元/平"
清泉坝中南世纪城 临江大盘 户型房正 环境优美 朝中庭,中南·世纪城 -清泉坝,3室2厅 | 95平米 | 东 | 毛坯 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,120,"12,632元/平"
丝绸路 二楼 套四三卫 双主卧 带车库,丝绸路251号院 -西山风景区,4室2厅 | 167.62平米 | 东南 | 毛坯 | 中楼层(共8层)  | 暂无数据,6人关注 / 10个月以前发布,73,"4,356元/平"
英伦城邦大4房，朝小区中庭，视野开阔,英伦城邦 -白土坝,4室2厅 | 122平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,12人关注 / 7个月以前发布,125.8,"10,312元/平"
品质墅区顶楼，全临看江景通风采光好，带车位尊享出售,中南尚景阅 -清泉坝,3室2厅 | 108平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,92,"8,519元/平"
大品牌，值得信赖，电梯洋房，采光无遮挡,中南漫悦湾二期 -都京坝,3室2厅 | 85.6平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,10人关注 / 一年前发布,53,"6,192元/平"
西华路名仕居中装3房2厅60万拎包入住,名仕居 -白土坝,3室1厅 | 98平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 10个月以前发布,57,"5,817元/平"
江景房 复式上下两层，身份地位的象征，无高税！,南门壹号 -西山风景区,3室2厅 | 91.57平米 | 东 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,74.8,"8,169元/平"
嘉陵一中旁 品质楼盘  诚意出售,蓝光香江国际二期六区 -西山风景区,4室2厅 | 107平米 | 东南 | 毛坯 | 低楼层(共20层)  | 塔楼,15人关注 / 一年前发布,60.6,"5,664元/平"
下中坝优质大盘，中南大漫悦湾，品质保证。,中南漫悦湾二期 -都京坝,3室2厅 | 84.9平米 | 东南 | 毛坯 | 低楼层(共34层)  | 板塔结合,6人关注 / 9个月以前发布,56,"6,596元/平"
中南世纪城 毛坯三房 一楼带 负一楼 一梯两户洋房,中南·世纪城 -清泉坝,3室2厅 | 95.28平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,84.2,"8,838元/平"
下中坝 保利 套三单卫 中南漫悦湾一期,中南漫悦湾一期 -都京坝,3室1厅 | 85平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,60,"7,059元/平"
南门壹号 楼中楼 一线江景 南高丶三小中间位置 无高税,南门壹号 -西山风景区,3室2厅 | 93.79平米 | 东南 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,71,"7,571元/平"
南高三小旁 少有的边户江景 复式楼一面看江看一面,南门壹号 -西山风景区,3室2厅 | 93平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,91,"9,785元/平"
品质大盘，洋房二楼，带大阳台，房东急售,中南漫悦湾一期 -都京坝,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共7层)  | 塔楼,2人关注 / 7个月以前发布,85,"7,143元/平"
品牌开发商，碧桂园嘉宝物业，配套成熟！,蓝光香江国际二期六区 -西山风景区,4室2厅 | 123平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,8人关注 / 6个月以前发布,67,"5,448元/平"
大品牌，值得信赖，电梯洋房，采光无遮挡,中南漫悦湾二期 -都京坝,3室2厅 | 85.6平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,10人关注 / 一年前发布,53,"6,192元/平"
顺庆区柏林春天此房无高税  房东自己装修看房方便,柏林春天 -市政新区,3室2厅 | 96.1平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 4个月以前发布,66.8,"6,952元/平"
品质墅区顶楼，全临看江景通风采光好，带车位尊享出售,中南尚景阅 -清泉坝,3室2厅 | 108平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,92,"8,519元/平"
悦中心全新精装   楼层佳  视野好  拎包入住,悦中心 -南门坝,2室2厅 | 65.5平米 | 东南 | 精装 | 中楼层(共36层)  | 塔楼,1人关注 / 5个月以前发布,55.8,"8,520元/平"
江景房，品质大盘小区，环境优美，配套齐全,恒河外滩金融街 -南门坝,4室2厅 | 165平米 | 南 | 简装 | 高楼层(共37层)  | 塔楼,3人关注 / 7个月以前发布,117.6,"7,128元/平"
佳兆业君汇上品  精装两室 拎包入住 楼层适中,佳兆业君汇上品 -白土坝,2室2厅 | 75.8平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,13人关注 / 一年前发布,76,"10,027元/平"
白土坝商圈中间位置三室两厅一厨两卫清水房东急售,应范家园 -白土坝,3室2厅 | 114.9平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,120,"10,444元/平"
上市公司大盘小区、中间楼层、南、北通透、带车位。,佳兆业君汇上品 -白土坝,4室2厅 | 118平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,126,"10,678元/平"
户型方正，采光好，位置好，布局合理,嘉州玫瑰花园 -嘉陵广场,3室2厅 | 111.95平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,58.8,"5,253元/平"
香山美林  步梯低层  诚心出售,香山美林 -西山风景区,4室2厅 | 128.64平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,55,"4,276元/平"
西华路名仕居中装3房2厅60万拎包入住,名仕居 -白土坝,3室1厅 | 98平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 10个月以前发布,57,"5,817元/平"
马电花园 电梯小高层 南向 精装大三房,马电花园 -市政新区,3室2厅 | 115.03平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,2人关注 / 8个月以前发布,69.8,"6,068元/平"
南高商圈，海山半岛花园，4室两厅，带花园,海山半島花園 -西山风景区,4室2厅 | 140.03平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,52人关注 / 一年前发布,58.8,"4,200元/平"
南门一号楼中楼、空中别墅..............,南门壹号 -西山风景区,4室2厅 | 103平米 | 东 | 毛坯 | 中楼层(共31层)  | 塔楼,3人关注 / 一年前发布,82,"7,962元/平"
花园洋房，新中式住宅风格，高品质宜居大盘,中南漫悦湾二期 -都京坝,4室2厅 | 107平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,67,"6,262元/平"
嘉陵区蚂蟥堰桂茗圆小区 大 三 房 急售,桂茗園小區 -西山风景区,3室2厅 | 135平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,45,"3,334元/平"
品质大盘，洋房二楼，带大阳台，房东急售,中南漫悦湾一期 -都京坝,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共7层)  | 塔楼,2人关注 / 7个月以前发布,85,"7,143元/平"
下中坝优质大盘，中南大漫悦湾，品质保证。,中南漫悦湾二期 -都京坝,3室2厅 | 84.9平米 | 东南 | 毛坯 | 低楼层(共34层)  | 板塔结合,6人关注 / 9个月以前发布,56,"6,596元/平"
下中坝 保利 套三单卫 中南漫悦湾一期,中南漫悦湾一期 -都京坝,3室1厅 | 85平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,60,"7,059元/平"
中南世纪城 毛坯三房 一楼带 负一楼 一梯两户洋房,中南·世纪城 -清泉坝,3室2厅 | 95.28平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,84.2,"8,838元/平"
下中坝中南大盘，清水套四，位置安静，随时看房,中南漫悦湾一期 -都京坝,4室2厅 | 107.41平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,60,"5,587元/平"
中南品质 中间楼层 看江三房 原价转售,中南漫悦湾一期 -都京坝,3室2厅 | 85平米 | 西北 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,55,"6,471元/平"
品牌开发商，碧桂园嘉宝物业，配套成熟！,蓝光香江国际二期六区 -西山风景区,4室2厅 | 123平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,8人关注 / 6个月以前发布,67,"5,448元/平"
顺庆主城 清泉坝公园小区 平层大三房 小区24小时安保,金科集美天宸 -清泉坝,3室1厅 | 104.95平米 | 东南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 5个月以前发布,77.8,"7,414元/平"
品质大盘，品质物业，带20平的小花园，户型方正。,万科金润华府二期 -川东北金融中心,3室2厅 | 86平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,21人关注 / 一年前发布,66,"7,675元/平"
三桥旁边出行方便大三房清水房小区环境好,望江花园 -安汉广场,3室2厅 | 106平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,54,"5,095元/平"
长征路10号院 3室1厅 东南,长征路10号院 -人民花园,3室1厅 | 49.78平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,24.8,"4,982元/平"
嘉陵广场品质小区 优质大三房，诚心出售,丽晶府 -嘉陵广场,3室2厅 | 98.22平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,62.6,"6,374元/平"
正规三房，户型方正，采光好，通风好。,果城路区政府院 -人民花园,3室2厅 | 104平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,63,"6,058元/平"
交通方便，读书方便，就医方便，购物方便,奥斯汀小镇 -嘉陵广场,3室2厅 | 118平米 | 东南 | 简装 | 中楼层(共5层)  | 塔楼,6人关注 / 一年前发布,60.6,"5,136元/平"
交通方便，读书方便，就医方便，购物方便,奥斯汀小镇 -嘉陵广场,3室2厅 | 118平米 | 东南 | 简装 | 中楼层(共5层)  | 塔楼,6人关注 / 一年前发布,60.6,"5,136元/平"
"交通,出行便利 地理位置好的很",铁明路10号 -火车站,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 7个月以前发布,41.8,"3,981元/平"
外滩经典套三双卫，毛坯现房，装修自由设计,恒河外滩金融街 -南门坝,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,9人关注 / 一年前发布,86,"7,679元/平"
南门坝精装修3室，房东诚心出售,格兰春天 -南门坝,3室2厅 | 128平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,76.5,"5,977元/平"
嘉陵主城  华雅财富城    出门四小  伟才幼儿园,华雅财富城 -嘉陵广场,3室2厅 | 90.51平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,4人关注 / 6个月以前发布,50.5,"5,580元/平"
有小院子，可停车，不临街，户型方正，格局好,文化路106号 -五星花园,3室1厅 | 68平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 一年前发布,46,"6,765元/平"
复式楼中楼三房，户型方正，视野开阔采光好，环境好。,蓝光COCO香江一期一区 -清泉坝,3室2厅 | 62.17平米 | 西北 | 精装 | 低楼层(共24层)  | 塔楼,1人关注 / 1个月以前发布,90,"14,477元/平"
清泉坝 品质小区 精装三房 无高税,蓝光COCO香江2期 -清泉坝,3室1厅 | 82平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,1人关注 / 8个月以前发布,61,"7,440元/平"
此房无高税 无贷款 可按揭 产权在手过户方便,北湖路190号院 -北湖公园,2室2厅 | 62.2平米 | 东南 | 精装 | 中楼层(共9层)  | 平房,4人关注 / 一年前发布,51.6,"8,296元/平"
美食街三室两厅精装房东诚心出售,荣欣小区 -安汉广场,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,52,"4,771元/平"
户型方正、配套完善、出行便捷、格局好、布局合理,金港湾二期 -白土坝,3室2厅 | 100平米 | 东 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,50.5,"5,050元/平"
品质小区，可以看江。业主诚心出售,中南春江阅 -江东大道,3室1厅 | 99.21平米 | 东南 | 毛坯 | 低楼层(共27层)  | 板塔结合,2人关注 / 4个月以前发布,72.8,"7,338元/平"
市政新区 西蜀嘉园 公务员小区 环境优美,西蜀嘉園 -市政新区,3室2厅 | 120平米 | 东南 | 毛坯 | 低楼层(共27层)  | 塔楼,6人关注 / 一年前发布,97,"8,084元/平"
北岭颐园东区 带电梯 中间楼层 清水三房 看小区中庭,北岭颐园东区 -华凤,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,19人关注 / 一年前发布,80,"7,767元/平"
高坪逸合.山语城，纯改善住宅房东诚心出售,逸合山语城 -江东大道,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共10层)  | 塔楼,0人关注 / 3个月以前发布,68,"7,011元/平"
清泉坝成熟商圈 大型社区美墅诚心出售  带1个独立车位,中梁华府 -清泉坝,4室2厅 | 150.47平米 | 南 | 毛坯 | 下叠(共7层)  | 板楼 | 叠拼别墅 ,9人关注 / 一年前发布,160,"10,634元/平"
单位集资房，户型方正，采光通风都不错,川北医学院职工小区 -安汉广场,3室2厅 | 116.1平米 | 东南 | 毛坯 | 中楼层(共12层)  | 暂无数据,2人关注 / 8个月以前发布,52.5,"4,522元/平"
无高税 自住装修 朝小区中庭 采光视野好,青松蓝天 -安汉广场,3室1厅 | 117平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,48,"4,103元/平"
嘉陵主城区，大盘品质小区，6+1顶跃，带花园,锦通·满庭芳 -西山风景区,5室1厅 | 176平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,60.6,"3,444元/平"
安汉广场大盘小区，居住成本低，出行便利,新东豪园二区 -安汉广场,3室1厅 | 88平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,57.8,"6,569元/平"
清泉坝雍景半岛大户型洋楼2T2户very巴卡,雍锦半岛 -清泉坝,4室2厅 | 129.8平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,115,"8,860元/平"
马电花园 3室1厅 南,马电花园 -市政新区,3室1厅 | 136平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,81,"5,956元/平"
产权在手，精装修。中间楼层，四房采光好，户型方正。,蓝光香江国际二期六区 -西山风景区,4室2厅 | 116平米 | 东南 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,82,"7,069元/平"
美食街大盘小区大户型低价出售小区停车方便,碧水雲天 -安汉广场,4室2厅 | 130平米 | 东 | 简装 | 高楼层(共18层)  | 暂无数据,1人关注 / 7个月以前发布,75,"5,770元/平"
清泉坝难得三房户型！正价出售！,金科集美天宸 -清泉坝,3室2厅 | 98.85平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,85,"8,599元/平"
天来王fu井旁清水电梯三房业主户型方正采光好诚心出售,天禾嘉泰 -江东大道,3室2厅 | 120平米 | 东南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 10个月以前发布,73,"6,084元/平"
江东道大楼盘江景小区阳光江山金岸精装修三房,阳光江山金岸小区 -江东大道,3室2厅 | 66平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 11个月以前发布,50.9,"7,713元/平"
该房为电梯中层，视野采光都很不错，就学方便，,四季来电梯公寓 -人民花园,4室2厅 | 171平米 | 南 | 简装 | 高楼层(共15层)  | 塔楼,4人关注 / 4个月以前发布,68,"3,977元/平"
市政府新区  精装套三 五星旁 配套已成熟,美宇▪凤凰城 -市政新区,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,75,"7,732元/平"
公务员小区 《北岭颐园》 带车位 车位 欢迎随时看房,北岭颐园 -华凤,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,2人关注 / 一年前发布,99,"8,250元/平"
高坪将军路桥头，清水三房，诚心出售,滨江景城 -江东大道,3室2厅 | 97.1平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 塔楼,18人关注 / 8个月以前发布,54,"5,562元/平"
