标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
美的梧桐精装大四房 满二 视野无遮挡 ，诚意出售,美的梧桐庄园 -东站,4室2厅 | 122平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,99,"8,115元/平"
可贷款洛王藕塘坡社区大三房户型周正拎包入住看房随时,藕塘坡社区 -洛王,3室2厅 | 127.95平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,52.8,"4,127元/平"
岳陽新天地 电梯三房毛坯 接受贷款看房方便,岳陽新天地 -洛王,3室2厅 | 88.54平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,65,"7,342元/平"
中梁首府 4室2厅 南 北,中梁首府 -螺丝港,4室2厅 | 129平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 12天以前发布,90,"6,977元/平"
琵琶王立交桥洛王步步高间瑶塘坡复式大三房两卫精装房,瑶塘坡社区 -洛王,3室2厅 | 140.02平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,2人关注 / 8个月以前发布,51,"3,643元/平"
湘岳兰庭 一手房源 免过户费 近市妇幼,湘岳兰庭 -新路口,3室2厅 | 131.5平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 5个月以前发布,73,"5,552元/平"
小区位于岳阳市妇幼保健院深蓝时代的正方地处市区繁华,湘岳兰庭 -新路口,3室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,70.9,"5,497元/平"
五里牌 十  中 天伦国际旁 首尔湖景拎包两房,首尔东成樽品 -五里牌,2室2厅 | 80.28平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,78.8,"9,816元/平"
南湖 东风广场 步行街 电梯房 精装修 三房 带车库另售,雅典新城 -螺丝港,3室2厅 | 109.91平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 9个月以前发布,82,"7,461元/平"
天伦城旁十中旁单位房大三房电梯房高层精装修！,路桥基建总公司 -天伦城,3室1厅 | 99平米 | 南 | 精装 | 高楼层(共7层)  | 平房,0人关注 / 3个月以前发布,79.8,"8,061元/平"
四化建生活区标准两房 标准的两房朝南,四化建家属区 -新路口,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,50,"5,682元/平"
锦城嘉园 3室2厅 南 北,锦城嘉园 -新路口,3室2厅 | 120.94平米 | 南 北 | 精装 | 高楼层(共15层)  | 板塔结合,5人关注 / 7个月以前发布,82.6,"6,830元/平"
洛王新天地旁金洛小区 带车位带院子 精装大三房可贷款,金洛小区 -洛王,3室2厅 | 139平米 | 南 北 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 11天以前发布,80,"5,756元/平"
出门千亩湖 南湖广场 湖畔新村 湘天国际花园旁,湖管局生活区 -苗圃,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,58,"5,133元/平"
东风湖 步行街 枫桥尚城 电梯中层 诚心出售,枫桥尚城 -岳城,3室2厅 | 111.14平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 13天以前发布,83,"7,469元/平"
青年路立交 螺丝港 雅典新城 板楼精装三房 楼层好,雅典新城 -螺丝港,3室2厅 | 125.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,93.8,"7,502元/平"
步行街东方红精装敞亮大三房接受贷款证齐,炮台山小区 -炮台山,3室2厅 | 117.85平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,55,"4,667元/平"
广济旁小区房-105平，满五唯一。,湖南省第五工程公司岳阳分公司 -岳纺,2室1厅 | 66.5平米 | 南 | 精装 | 低楼层(共7层)  | 平房,2人关注 / 6个月以前发布,38.8,"5,835元/平"
朝阳 九中 南湖公园  向阳水岸 精装大四房 三面观湖,向阳水岸 -南湖,4室2厅 | 164.75平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,125,"7,588元/平"
步行街商圈 友阿、武商、步步高、东方红、3室2厅急售,工程公司东茅岭南院 -步行街,3室2厅 | 95.48平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,48,"5,028元/平"
百货大楼地段好，出行方便，配套齐全，停车方便。,桥西原百货大楼家属楼 -九华山,3室2厅 | 86.12平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 10个月以前发布,30,"3,484元/平"
满二洋房边户，连廊有两边露台，朝南北，别墅型.,祥生金麟府 -齐家岭,4室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,82,"6,075元/平"
小区位于岳阳市妇幼保健院深蓝时代的正方地处市区繁华,湘岳兰庭 -新路口,2室2厅 | 94.8平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,2人关注 / 5个月以前发布,53,"5,591元/平"
广济旁小区房-105平，满五唯一。,湖南省第五工程公司岳阳分公司 -岳纺,2室1厅 | 66.5平米 | 南 | 精装 | 低楼层(共7层)  | 平房,2人关注 / 6个月以前发布,38.8,"5,835元/平"
东风湖 步行街 枫桥尚城 电梯中层 诚心出售,枫桥尚城 -岳城,3室2厅 | 111.14平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 13天以前发布,83,"7,469元/平"
步行街商圈 友阿、武商、步步高、东方红、3室2厅急售,工程公司东茅岭南院 -步行街,3室2厅 | 95.48平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,48,"5,028元/平"
步行街东方红精装敞亮大三房接受贷款证齐,炮台山小区 -炮台山,3室2厅 | 117.85平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,55,"4,667元/平"
青年路立交 螺丝港 雅典新城 板楼精装三房 楼层好,雅典新城 -螺丝港,3室2厅 | 125.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,93.8,"7,502元/平"
朝阳 九中 南湖公园  向阳水岸 精装大四房 三面观湖,向阳水岸 -南湖,4室2厅 | 164.75平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,125,"7,588元/平"
千亩湖 高品质小区 楼层好视野佳,恒大南湖半岛 -桥西,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 10天以前发布,109,"8,862元/平"
岳阳市 妇幼 小区房一楼带独立花园 楼中楼户型可贷款,虹桥家园 -新路口,4室2厅 | 145.77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,75.8,"5,200元/平"
采光好，视野开阔，格局优雅，生活方便，小孩读书方便,芙蓉苑 -南湖,4室2厅 | 123.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,63,"5,085元/平"
洞庭湖畔 国际公馆旁奥园誉湖湾湖景三房,奥园誉湖湾 -岳阳县,3室2厅 | 104.65平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,45,"4,301元/平"
星河国际，四房两厅一厨两卫，装修精致。,星河国际 -八字门,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 16天以前发布,135,"9,508元/平"
凯旋城 豪 装 南 北 通 透大三房带车位拎包入住,凯旋城 -八字门,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,118,"9,077元/平"
金辉小区精装修五房实际220平拎包入住接受贷款,金辉小区 -八字门,5室2厅 | 166平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,92,"5,543元/平"
富兴鹏城精装  三房  满五唯一,富兴鹏城 -八字门,3室2厅 | 97.21平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,77,"7,921元/平"
八字门 教师单位房 精装大三房 证齐可贷款 随时看房,教师新村 -八字门,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,65,"5,509元/平"
金鄂山 体育局 南湖广场  公园大䣌 高层 毛坯3房,裕丰·公园大邸 -苗圃,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 14天以前发布,94.8,"7,967元/平"
东城  新电园 精装小复式三房  采光视野好  证件齐全,新电园 -八字门,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,110,"8,149元/平"
八字门花园大盘  160平大四房低价出售,滨水·新境界 -八字门,4室2厅 | 159.71平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,2人关注 / 11个月以前发布,116.8,"7,314元/平"
王家河公园 原工商局单位房 精装修房出售,红盾新村 -八字门,4室2厅 | 166.6平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 10个月以前发布,78,"4,682元/平"
精装电梯三房带暖气珍珠山公园宜家花都,宜家花都 -八字门,3室2厅 | 110.66平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,86,"7,772元/平"
花板桥 王家河 步步高 楼区检察院单位房 带小杂物间,岳阳楼区人民检察院家属院 -鲤鱼嘴社区,3室2厅 | 116.66平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,85,"7,287元/平"
"南湖公园旁，金环小区 ,大四房带20平车库，接受贷款",金环小区 -花板桥,4室2厅 | 208.29平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,135,"6,482元/平"
洋房小区绿化好，得房率高，洋房结构，户型周正。,富兴鹏城 -八字门,4室2厅 | 155.45平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,1人关注 / 11个月以前发布,158,"10,165元/平"
新路口 金玉满堂 三面采光 通透两房 二楼 带杂物间,天卓小区 -新路口,2室2厅 | 83.69平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,41.8,"4,995元/平"
新路口中建岳阳 带车位 精装三室两厅 带入户花园 拎包,中建 · 岳阳中心 -新路口,3室2厅 | 119.61平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,7人关注 / 9个月以前发布,98.6,"8,244元/平"
南湖广场旁 岳州帝苑  精装湖景房 楼层视野采光好,晋兴·岳州帝苑 -南湖,4室2厅 | 141.26平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 6个月以前发布,207,"14,654元/平"
湖畔新村优质大四房 精装保养好  带20平有证车库,湖畔新村 -南湖,4室2厅 | 137.43平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,77,"5,603元/平"
王家河 花板桥旁边 一梯两户 采光好  可以看到南湖,丹桂翰林府 -鲤鱼嘴社区,3室2厅 | 131.37平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,79.8,"6,075元/平"
王家河风光带，大五房，2楼，小区环境好，业主诚心卖,锦绣河山 -海棠社区,5室2厅 | 172.6平米 | 南 | 精装 | 低楼层(共7层)  | 平房,4人关注 / 10个月以前发布,99.6,"5,771元/平"
杨树塘精装房 读书方便 生活便利,君尚·理想城 -杨树塘,3室2厅 | 118.58平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,130,"10,964元/平"
八字门 沃尔玛 大4房精装修阳光视野佳 拎包入住可贷款,岳阳楼区政府八字门生活小区 -八字门,4室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,63,"4,961元/平"
东城金达阳光花园精装三房带电梯可拎包入住,金达阳光花园 -八字门,3室2厅 | 103.9平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,1人关注 / 9个月以前发布,72,"6,930元/平"
步行街 友阿 步步高 君临新世界精装三房 看房方便,君临·新世界 -步行街,3室2厅 | 114.88平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 4个月以前发布,75,"6,529元/平"
单价两千多抢岳阳楼广场大三房、证件齐全、过户便宜。,邓家湾小区 -桥西,3室2厅 | 127.5平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,35,"2,746元/平"
八字门，岳阳大道，远鹏壹品，王家河,远鹏·壹品 -八字门,3室2厅 | 131.93平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,86,"6,519元/平"
近两年精装保养好，拎包入住，采光好,滨水天玺 -八字门,3室2厅 | 107.74平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 9天以前发布,82,"7,611元/平"
小区环境良好，物业完善，交通方便,宏润家園 -南湖新区,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 9天以前发布,85,"7,025元/平"
机关单位小区 证件齐全 拎包入住  大四房,朝阳小区 -花板桥,4室2厅 | 116平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,94,"8,104元/平"
好房不常有，精装大三房诚意出售,凯旋城 -八字门,3室2厅 | 129.21平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,90,"6,966元/平"
八字门经开区 园林小区 一楼精装 证齐可贷款 拎包入住,富興景城 -八字门,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,70,"6,364元/平"
八字门王家河 琪明轩 精装3房带车库,琪明轩小区 -八字门,3室2厅 | 140.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,93,"6,610元/平"
岳阳畜牧水产局小区，单位房物业好。,岳阳市畜牧水产局银苑家属区 -南湖,3室2厅 | 138.63平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,96,"6,925元/平"
王家河 精装三房 园林小区 拎包入住 万象瑞城可贷款,万象瑞城 -鲤鱼嘴社区,3室2厅 | 93.56平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,86,"9,192元/平"
南湖大道 龙柱子旁 三楼 193平 单价低 地段好,南湖大道 -五里牌,4室1厅 | 193.22平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,76,"3,934元/平"
滨水天悦 3室2厅 南 北,滨水天悦 -八字门,3室2厅 | 124.5平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 13天以前发布,78,"6,266元/平"
名鑫  洞庭林语三房带露台业主诚心出售,名鑫.洞庭林语 -君山区,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,38.5,"3,263元/平"
王家河旁高档园林小区精装修大三房带车位优价出售！,天邦·海弘轩 -八字门,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,95,"7,600元/平"
证件齐全，满五，面积大，家电家具全，配套设施完整,花果畈村 -冷水铺,4室2厅 | 154平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,61.8,"4,013元/平"
五里牌王家河畔锦绣华城 精装三室两厅 带露台 可贷款,锦绣华城 -东升社区,3室2厅 | 108.46平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,92,"8,483元/平"
理工东院 鸿仪小区 2房精装拎包入住 满五唯一,鸿仪小区 -齐家岭,2室2厅 | 77.05平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,29.8,"3,868元/平"
火车站，十二中，建湘路，兴湘花园,興湘花園 -火车站,3室2厅 | 140.35平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,72,"5,131元/平"
千亩湖 南湖新区 圣安寺下 电梯小高层洋房 证满两年,南湖壹号 -南湖新区,3室2厅 | 141平米 | 南 北 | 精装 | 高楼层(共15层)  | 暂无数据,1人关注 / 4个月以前发布,107,"7,589元/平"
润康家园四房两厅大户型精装修便宜出售,润康家园 -冷水铺,4室2厅 | 157平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,80,"5,096元/平"
朝阳小区 4室2厅 南 北,朝阳小区 -花板桥,4室2厅 | 112.08平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,88,"7,852元/平"
药材市场  花板桥 四化建 出行便利 购物买菜方便,板桥新村 -花板桥,2室2厅 | 98平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 9天以前发布,37,"3,776元/平"
站前路 沃尔玛 国家电网 十二  证齐满五可贷,国家电网住宅区 -火车站,3室2厅 | 121.88平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,81,"6,646元/平"
八字门社区 茂盛小区 精装 大三房通海路低首付,茂盛小区 -八字门,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,64.8,"4,629元/平"
枫树新村社区 2室1厅 南 北,枫树新村社区 -海棠社区,2室1厅 | 80.18平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,40,"4,989元/平"
步行街 29万  55平米 单身公寓 交通便利配套齐,内衣厂小区 -火车站,1室2厅 | 55平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3天以前发布,29,"5,273元/平"
千亩湖小 学六中平安小区单位房有院子好停车 无物业费,平安小区 -螺丝港,2室1厅 | 62平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1天以前发布,41,"6,613元/平"
