标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
华芝御景城御苑一二期 3室2厅 东南,华芝御景城御苑一二期 -仁和区,3室2厅 | 87.77平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,58.8,"6,700元/平"
阳城龙庭精装三室朝南户型九成新装修业主诚心出售,阳城龙庭 -九附二+九附六,3室2厅 | 88.4平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,49,"5,543元/平"
银泰三室两厅电梯房   户型方正  出行购物方便,银泰商业城 -仁和区,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,58,"5,421元/平"
银泰泰悦居3室清水 户型通透 急于出售,银泰城泰悦居 -仁和区,3室2厅 | 104平米 | 东北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,54,"5,193元/平"
户型方正，居此房满2年，出行方便，住方便舒适,银泰城泰悦居 -仁和区,3室2厅 | 117平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,63,"5,385元/平"
炳三区太谷悦城繁华地段 配套成熟清水三室房东急售,太谷悦城 -炳三区,3室2厅 | 98.63平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,75,"7,605元/平"
普达阳光 顶跃边户 精装修 家里自带电梯,普达阳光康和北苑 -仁和区,4室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,300,"24,591元/平"
东风景秀 3室2厅 西北,东风景秀 -瓜子坪,3室2厅 | 102平米 | 西北 | 精装 | 高楼层(共9层)  | 暂无数据,1人关注 / 2个月以前发布,29.8,"2,922元/平"
峻岭天下 三室二厅精装家具家电齐全 拎包入住,峻岭天下 -仁和区,3室2厅 | 119平米 | 东 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,67,"5,631元/平"
炳四区花城新区攀西科技城悦山府三期精装修拧包入住,恒邦双林悦山府一期 -仁和区,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,89,"9,082元/平"
清香坪南街36号 3室2厅 西南,清香坪南街36号 -清香坪,3室2厅 | 105平米 | 西南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,50,"4,762元/平"
万象城九附二精装四室洋房带车位出售 看房方便,印象马德里 -九附二+九附六,4室2厅 | 140平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,93,"6,643元/平"
精装大三室  带下沉式花园 康养大盘 视野好 环境好,普达阳光康和北苑 -仁和区,3室2厅 | 104平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,89,"8,558元/平"
中冶金沙，两室精装，便宜出售，,中冶金沙 -九附二+九附六,2室1厅 | 80平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,40,"5,000元/平"
北苑端头别墅 大花园70平 30平空腔能变3室4室,普达阳光康和北苑 -仁和区,2室2厅 | 63.59平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,82,"12,896元/平"
房子满五年，家具家电齐全，户型方正，朝向好.,花城中街10号 -电影院+中心广场,2室1厅 | 69.24平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,35,"5,055元/平"
岐黄养生大院清水套带花园带露台,岐黄养生大院 -米易县,1室1厅 | 68平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,60,"8,824元/平"
攀钢总医院，二室二厅，环境幽静，适合老人居住,木棉苑 -瓜子坪,2室2厅 | 70平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,18,"2,572元/平"
九附二品质小区一楼带花园可商用简装两室房东诚心出售,金海泊林郡 -九附二+九附六,2室2厅 | 87平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,1人关注 / 6个月以前发布,48,"5,518元/平"
此房装修很好已满两年，看房方便，出行方便,曼哈顿 -电影院+中心广场,1室1厅 | 58平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,1人关注 / 1个月以前发布,37,"6,380元/平"
竹湖园 紫荆一号 精装套二 拎包入住 保持九成新,紫荆一号 -竹湖园,2室1厅 | 51.5平米 | 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,50,"9,709元/平"
花城新区位置，小区绿化环境好，安静，居住舒适,恒邦双林悦山府二期 -仁和区,2室2厅 | 65平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 5个月以前发布,50,"7,693元/平"
炳三区精装修两室一厅出行方便看房方便,龙发时代天街 -炳三区,2室2厅 | 81平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 9个月以前发布,57,"7,038元/平"
攀钢3小区套二，出行方便，下楼菜市场河边,攀钢小区三小区 -仁和区,2室2厅 | 80.5平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,34,"4,224元/平"
中 心广场北京华联攀枝花公园旁精装两室四十多万带走,华庆萧邦 -电影院+中心广场,2室2厅 | 57.86平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,45,"7,778元/平"
曼哈顿一室一厅，装修很好已满两年，看房出行方便,曼哈顿 -电影院+中心广场,1室1厅 | 64平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,40,"6,250元/平"
金泰天悦湾两室户型诚心出售，欢迎咨询！,金泰观澜湾 -仁和区,2室2厅 | 82平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 6个月以前发布,58,"7,074元/平"
起辰和瑞广场 2室2厅 东南,起辰和瑞广场 -仁和区,2室2厅 | 80平米 | 东南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,38,"4,750元/平"
户型方正 视野宽阔 精装修  配套设施齐全,普达阳光国际康养度假区 -仁和区,2室1厅 | 45.26平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,59,"13,036元/平"
离五医院近，阳光两室，带家具家电，拎包入住，位置好,攀枝花大道东段809号 -电影院+中心广场,2室2厅 | 61平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,27,"4,427元/平"
买一得一层 配套成熟  出行方便   精装修交户,铜锣湾广场 -炳三区,2室1厅 | 40平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,40,"10,000元/平"
天悦湾精装2室满5不唯一品牌家电家具拎包入住,金泰天悦湾 -炳三区,2室1厅 | 75平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,52,"6,934元/平"
买一得一层 配套成熟  出行方便   精装修交户,铜锣湾广场 -炳三区,2室1厅 | 40平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,40,"10,000元/平"
领地.阳光花城精装修二室二厅住房出售,领地·阳光花城 -仁和区,2室2厅 | 69平米 | 西南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 6个月以前发布,50,"7,247元/平"
华芝安置房 2室2厅 南,华芝安置房 -仁和区,2室2厅 | 61平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,30,"4,919元/平"
上路桥小区精装两室，房东诚心置换，带全套家具家电,上路桥小区 -电影院+中心广场,2室2厅 | 66平米 | 西北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,28.6,"4,334元/平"
普达电梯房两室两厅视野开阔空气好小区环境好,普达阳光国际康养度假区 -仁和区,2室2厅 | 62平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,42,"6,775元/平"
出行方便，餐饮，娱乐，医院等配套齐全,铜锣湾广场 -炳三区,2室1厅 | 40.28平米 | 东南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,46,"11,421元/平"
金海世纪城两室单卫，交通便利，配套齐全，适宜居住,金海世纪城 -炳三区,2室2厅 | 72.73平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,1人关注 / 2个月以前发布,56,"7,700元/平"
睿龙花园两室一厅互相付出采光好,睿龙花园 -米易县,2室1厅 | 62平米 | 东南 | 简装 | 中楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,43,"6,936元/平"
领地出售 买一层 得一层 地理位置好，配套齐交通方便,领地·阳光花城 -仁和区,2室1厅 | 37.76平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,28,"7,416元/平"
领誉 电梯大套二 户型方正 朝中庭 环境优美 配套齐全,领誉二期 -仁和区,2室2厅 | 79平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,41,"5,190元/平"
东区精装两室 看房方便 出行方便,中冶金沙 -九附二+九附六,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 7个月以前发布,37,"4,625元/平"
南北通透，采光好交通便利，配套成熟,金海花溪谷 -九附二+九附六,2室2厅 | 62平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,39,"6,291元/平"
九附二 万达 交通方便 环境优美,金海花溪谷 -九附二+九附六,2室2厅 | 86平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,59,"6,861元/平"
阳城龙庭一楼精装两室，出行方便，欢迎咨询！,阳城龙庭 -九附二+九附六,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,53,"6,236元/平"
此房满五唯一，南北通透，格局好，采光也好，楼层低,攀钢密地房区 -瓜子坪,2室1厅 | 77.2平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,18,"2,332元/平"
出行方便。攀成外，江南，万象城，沃尔玛,阳明巷4号 -未知商圈,1室0厅 | 48.65平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,15,"3,084元/平"
仁和区领誉 毛坯大两室 价格实惠,领誉二期 -仁和区,2室2厅 | 78.5平米 | 东南 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,53,"6,752元/平"
华芝御景城熙苑四期 2室2厅 东南,华芝御景城熙苑四期 -仁和区,2室2厅 | 69.72平米 | 东南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,53,"7,602元/平"
楼层好，户型紧奏，出行方便，小区环境好,起辰和瑞广场 -仁和区,2室2厅 | 79.8平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,26,"3,259元/平"
电影院，广场，品牌家具家电，拎包入住,时代阳光 -电影院+中心广场,2室2厅 | 80平米 | 东南 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,40,"5,000元/平"
影城花园精装套二诚心出售出行方便,仁和街203号 -仁和区,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 3个月以前发布,52,"6,047元/平"
仁和清水现房，房东诚心出售，位置好,林烨水云涧 -仁和区,2室1厅 | 65平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,39.8,"6,124元/平"
精装大套二诚心出售， 装修好了之后没怎么住,海棠花语 -米易县,2室2厅 | 97平米 | 西北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 一年前发布,80,"8,248元/平"
华芝御景城全新精装两室未住过人东南朝向采光佳,华芝御景城熙苑四期 -仁和区,2室2厅 | 69.72平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,55,"7,889元/平"
商品房，户型方正，家具家电齐全，简装可以拎包入住,九附二攀钢小区 -九附二+九附六,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,21,"3,089元/平"
花城新区嘉祥外国语旁 精装两室价位便宜 ，出行便利,恒邦双林悦山府二期 -仁和区,2室2厅 | 64平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 8个月以前发布,44,"6,875元/平"
攀东雅居两室好房出售 一楼带花园 价格可刀,攀东雅居 -九附二+九附六,2室2厅 | 90.82平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 7个月以前发布,60,"6,607元/平"
仁和水岸沙湾精装两室河景房 广场生活配套成熟,水岸沙湾 -仁和区,2室2厅 | 78.25平米 | 东南 | 精装 | 高楼层(共29层)  | 塔楼,1人关注 / 一年前发布,58,"7,413元/平"
仁和湿地公园旁精装修带全屋家具家电康养好房,麓苑 -仁和区,2室2厅 | 89平米 | 东 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,54,"6,068元/平"
龙阳丽精装套二户型方正采光充足拎包入住环境优美,龙阳丽园 -米易县,2室2厅 | 78平米 | 东 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,72,"9,231元/平"
仁和水岸沙湾精装两室河景房 广场生活配套成熟,水岸沙湾 -仁和区,2室2厅 | 78.25平米 | 东南 | 精装 | 高楼层(共29层)  | 塔楼,1人关注 / 一年前发布,58,"7,413元/平"
攀东雅居两室好房出售 一楼带花园 价格可刀,攀东雅居 -九附二+九附六,2室2厅 | 90.82平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 7个月以前发布,60,"6,607元/平"
此房两室两厅一室一卫户型方正采光好,君临江山 -九附二+九附六,2室2厅 | 78平米 | 东南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 7个月以前发布,42,"5,385元/平"
仁和湿地公园旁精装修带全屋家具家电康养好房,麓苑 -仁和区,2室2厅 | 89平米 | 东 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,54,"6,068元/平"
恒邦双林悦山府二期2-1-1-1 精装全新装修,恒邦双林悦山府二期 -仁和区,2室1厅 | 66.22平米 | 东 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,54.9,"8,291元/平"
花城新区嘉祥外国语旁 精装两室价位便宜 ，出行便利,恒邦双林悦山府二期 -仁和区,2室2厅 | 64平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 8个月以前发布,44,"6,875元/平"
瓜子坪阳光馨园精装大两室带全屋家具家电诚心出售,阳光馨园 -瓜子坪,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,35.8,"3,892元/平"
九附二龙江明珠精装套二  交通便利户型方正,龙江明珠 -九附二+九附六,2室2厅 | 87.28平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,38.8,"4,446元/平"
房东诚心出售  地段好 位置好 出行方便,和谐御林 -仁和区,3室2厅 | 115.86平米 | 东南 | 简装 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,62,"5,352元/平"
金域阳光一期 精装2室 双阳台 采光视野好 随时看房,金域阳光 -炳三区,2室2厅 | 69平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,56.8,"8,232元/平"
仁和攀钢三小区  出行方便   配套齐全,攀钢小区三小区 -仁和区,2室1厅 | 70平米 | 东南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,36,"5,143元/平"
清水套一 环境舒适 诚心出售  看房方便,岐黄养生大院 -米易县,1室1厅 | 66平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,64,"9,697元/平"
君临江山 3室2厅 东南,君临江山 -九附二+九附六,3室2厅 | 100平米 | 东南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,56,"5,600元/平"
金海世纪城 4室2厅 西南,金海世纪城 -炳三区,4室2厅 | 138平米 | 西南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 1天以前发布,140,"10,145元/平"
普代北苑顶跃，视野好 朝向东南，舒适居住,普达阳光康和北苑 -仁和区,3室2厅 | 87平米 | 东南 西北 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,98,"11,265元/平"
康养大盘  带花园户型 南北通透视野好,普达阳光康和北苑 -仁和区,2室2厅 | 64平米 | 东南 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 4个月以前发布,70,"10,938元/平"
太谷悦城跃层公寓清水二室二卫出售,太谷悦城 -炳三区,2室1厅 | 51平米 | 东南 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,32,"6,275元/平"
普达阳光 顶跃大户型 视野好南北通透,普达阳光康和北苑 -仁和区,4室2厅 | 122.7平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,106,"8,639元/平"
