标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
房源位置优户型好园区高安全性高前面带花园采光好,沈抚万科城市之光 -沈抚新区,3室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,120,"12,122元/平"
万科洋房，位置好，格局好，诚心出售，价格可议。,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,85.9,"8,505元/平"
房主急售，万科精装三室，价格便宜，满二无大税,沈抚万科城市之光 -沈抚新区,3室2厅 | 100.64平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 8个月以前发布,62.5,"6,211元/平"
洋房园区，精装三室，中间楼层，价位合适,绿地剑桥 -沈抚新区,3室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,39,"4,240元/平"
急售，同城一品，清水112平，3室南北通透，采光好,同城一品 -沈抚新区,3室2厅 | 112平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,5人关注 / 一年前发布,49.5,"4,420元/平"
近浑河 电梯洋房 南北三室大户型 精装诚心出售,沈抚中南熙悦 -沈抚新区,3室2厅 | 100平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,68,"6,800元/平"
房主诚心卖，户型方正，南向是洋房，全天采光，,沈抚万科城市之光 -沈抚新区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,77.5,"6,740元/平"
户型方正，配套成熟，入住率高，交通方便，价格合理,德商春天里 -沈抚新区,3室2厅 | 87.46平米 | 北 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 5个月以前发布,56,"6,403元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,沈抚中南熙悦 -沈抚新区,3室2厅 | 98.29平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,69,"7,021元/平"
万科三室一楼带花园带地下室诚意出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,4人关注 / 10个月以前发布,140,"10,770元/平"
电梯房  南 北 通 透  带阳台 精  装  修 拎 包 入 住,方大誉峰 -高湾,2室2厅 | 105.1平米 | 南 北 | 精装 | 低楼层(共22层)  | 暂无数据,1人关注 / 4个月以前发布,52,"4,948元/平"
精装三室 南北通透  洋房一楼  40平花园,德商国际花园 -沈抚新区,3室2厅 | 97.33平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,72.1,"7,408元/平"
锦绣澜湾 成熟园区 大面积跃层  空中花园,锦绣澜湾C区 -沈抚新区,3室2厅 | 172.3平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,5人关注 / 6个月以前发布,51.8,"3,007元/平"
成熟小区，老街坊，社区健全。生活无忧,天德家园 -高湾,2室2厅 | 98.82平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,19人关注 / 一年前发布,21.5,"2,176元/平"
锦绣澜湾B区，134平清水，3室，南北通透，采光好,同城一品 -沈抚新区,3室2厅 | 134平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,13人关注 / 一年前发布,47,"3,508元/平"
精装三室 南北通透  洋房一楼  40平花园,德商国际花园 -沈抚新区,3室2厅 | 97.33平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,72.1,"7,408元/平"
近浑河 电梯洋房 南北三室大户型 精装诚心出售,沈抚中南熙悦 -沈抚新区,3室2厅 | 100平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,68,"6,800元/平"
户型方正，配套成熟，入住率高，交通方便，价格合理,德商春天里 -沈抚新区,3室2厅 | 87.46平米 | 北 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 5个月以前发布,56,"6,403元/平"
沈抚德商春天里电梯小高一梯两户精装三室满二唯一,德商春天里 -沈抚新区,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,60.5,"6,798元/平"
沈抚万科城市之光3-2-1-1 101.00m²,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,120,"11,882元/平"
房主诚信出售，价格便宜，清水房，采光老好了,德商国际花园 -沈抚新区,3室2厅 | 96.44平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,50.8,"5,268元/平"
绿地别墅精装修出售满五全园区好位置,绿地四季印象 -沈抚新区,4室2厅 | 186.45平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,5人关注 / 一年前发布,210,"11,264元/平"
急售，万科精装高层，即买即住，省心省力,万科金域蓝湾 -沈抚新区,3室2厅 | 114.19平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 7个月以前发布,75,"6,569元/平"
电梯洋房 精装修 拎包入住  南北通透  户型好,明骏雅居 -沈抚新区,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,119.4,"9,630元/平"
园区绿化好 安全性好 私密性佳 开发商自持物业,沈抚中南熙悦 -沈抚新区,3室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,56,"6,293元/平"
此房南北通透格局好、视野开阔、采光充足。,明骏雅居 -沈抚新区,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 5个月以前发布,70.7,"6,313元/平"
锦绣澜湾D区 2室1厅 南 北,锦绣澜湾D区 -沈抚新区,2室1厅 | 79平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 29天以前发布,27.5,"3,482元/平"
沈抚中南熙悦优质通透户型2-2-1-1,沈抚中南熙悦 -沈抚新区,2室2厅 | 75平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 23天以前发布,44.5,"5,934元/平"
近轻轨 交通便利 精装修拎包入住,明骏雅居 -沈抚新区,3室2厅 | 109.76平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 22天以前发布,68.7,"6,260元/平"
河景 电梯房 南北通透格局 楼层好 采光通风好,沈抚中南熙悦 -沈抚新区,2室2厅 | 75平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 27天以前发布,40,"5,334元/平"
锦绣澜湾D区 2室2厅 南 北,锦绣澜湾D区 -沈抚新区,2室2厅 | 106.79平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,41.2,"3,859元/平"
此房源满二年，南北通透格局，采光好，无遮挡，配,万科金域蓝湾 -沈抚新区,2室1厅 | 92.34平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,62,"6,715元/平"
房子满两年，精装修，两室两厅一卫，南北通透，北临街,沈抚万科城市之光 -沈抚新区,2室2厅 | 95.16平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,5人关注 / 9个月以前发布,55.9,"5,875元/平"
沈抚万科城市之光 3室2厅 南,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.1平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,105,"8,071元/平"
精装修南北通透标准户型 采光好园区好 交通便利,锦绣澜湾D区 -沈抚新区,2室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,8人关注 / 一年前发布,53,"4,908元/平"
此房满五唯一 适合刚需客户 楼层好 电梯,国际鑫城 -沈抚新区,2室1厅 | 72平米 | 北 | 其他 | 中楼层(共33层)  | 板楼,10人关注 / 7个月以前发布,25,"3,473元/平"
一楼带花园  三室两卫  户型方正,锦绣澜湾A区 -沈抚新区,3室2厅 | 137.04平米 | 北 南 | 其他 | 低楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,53,"3,868元/平"
房主急售 电梯 南北户型 河景房 诚心出售看房方便,沈抚中南熙悦 -沈抚新区,2室2厅 | 76平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 7个月以前发布,34,"4,474元/平"
北邻浑河 空气清新 环境优美 交通便利,沈抚中南熙悦 -沈抚新区,2室2厅 | 75平米 | 北 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 8个月以前发布,42,"5,600元/平"
此房满二，园区中间，南北通透 ，楼层好，河景房,沈抚中南熙悦 -沈抚新区,2室1厅 | 76.73平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,42,"5,474元/平"
南北标准南北户型 南北通透格局好 无遮挡 采光好,浑河城 -其它,2室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 9个月以前发布,55,"5,556元/平"
小区环境优美 封闭式园区 楼间距大 居住舒适度高,德商国际花园 -沈抚新区,3室2厅 | 98.47平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,55,"5,586元/平"
北邻浑河  近育才 物业好 有景观带,沈抚中南熙悦 -沈抚新区,2室2厅 | 75.23平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,41.7,"5,544元/平"
国际鑫诚小高层，电梯房。满五年,国际鑫城 -沈抚新区,3室2厅 | 114.7平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 10个月以前发布,65,"5,667元/平"
中金公元启城悦河地块 景观好  空气清新 环境优美,中金公元启城 -沈抚新区,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,54.8,"4,893元/平"
低密度高绿化，高舒适度园区，交通四通八达。,融创东环海逸长洲 -沈抚新区,3室2厅 | 140.88平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,1人关注 / 7个月以前发布,71,"5,040元/平"
沈抚万科品质小区经典户型130出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,2人关注 / 10个月以前发布,115,"8,847元/平"
自持物业 入住率8成 室内温度好 邻居素质高 园区,万科金域蓝湾 -沈抚新区,3室2厅 | 114平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,68,"5,965元/平"
河景房 近育才 楼层好 采光充足,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,74.8,"7,124元/平"
沈抚德商经典户型南北露台精装出售满二年53万可议,德商国际花园 -沈抚新区,3室2厅 | 98.48平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,53,"5,382元/平"
沈抚万科城市之光 3室2厅 南 北,沈抚万科城市之光 -沈抚新区,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,86,"6,826元/平"
德商国际花园三室二厅一卫100平,德商国际花园 -沈抚新区,3室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,64.5,"6,450元/平"
沈抚万科城市之光 3室2厅 南 北,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,82.5,"8,169元/平"
出售 沈抚新区 万科金域蓝湾 两室精装修户型,沈抚万科城市之光 -沈抚新区,2室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,76,"8,000元/平"
沈抚新区德商国际花园房主诚心出售,德商国际花园 -沈抚新区,2室2厅 | 52平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,31,"5,962元/平"
沈抚新区出售 德商国际花园 小户型 楼层好,德商国际花园 -沈抚新区,1室1厅 | 59平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,38.2,"6,475元/平"
国际鑫城 多层 6跃7 户型好空间大南北通透。,国际鑫城 -沈抚新区,3室2厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,50.5,"5,431元/平"
亿丰精装修小户型 中间楼层 采光好,亿丰中心 -沈抚新区,1室1厅 | 31.09平米 | 东北 | 精装 | 高楼层(共24层)  | 板楼,7人关注 / 一年前发布,14.8,"4,761元/平"
万科城市之光两室两厅一卫低楼层电梯房户型好,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,54.5,"6,899元/平"
南向采光好，小区绿化好，物业认真负责，小区干净。,德商国际花园 -沈抚新区,1室1厅 | 40.91平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,7人关注 / 一年前发布,25,"6,111元/平"
房源位置好，户型好，楼层好。采光好。,沈抚中南熙悦 -沈抚新区,2室2厅 | 75.37平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,38,"5,042元/平"
国际鑫城 2室1厅 南 西 北,国际鑫城 -沈抚新区,2室1厅 | 80.41平米 | 南 西 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,30,"3,731元/平"
出售 沈抚新区 德商国际花园 小户型,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,24.7,"6,025元/平"
户型好 交通便利  南北通透    ....,中金公元启城 -沈抚新区,2室2厅 | 93.34平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,56,"6,000元/平"
南北通透大两室 一厨一卫大开间,地旺国际 -沈抚新区,2室2厅 | 93.56平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,35,"3,741元/平"
两室两厅南北通透 标准户型  一厨两卫,地旺国际 -沈抚新区,2室2厅 | 87.05平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,31.5,"3,619元/平"
沈抚新区绿地剑桥精装修有钥匙随时看房,绿地剑桥 -沈抚新区,2室2厅 | 83.94平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,45,"5,361元/平"
沈抚新区 锦绣蓝湾A区 河景高层91平毛坯 低级急售,锦绣澜湾A区 -沈抚新区,2室1厅 | 91.84平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,36,"3,920元/平"
沈抚新区德商国际花园99平电梯洋房急售,德商国际花园 -沈抚新区,2室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,65,"6,566元/平"
沈抚新区万科精装修 拎包即住   南北通透,沈抚万科城市之光 -沈抚新区,2室2厅 | 78平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,6人关注 / 一年前发布,51.3,"6,577元/平"
高层一楼 精装两室 南向小院 干湿分离 南北格局,沈抚中南熙悦 -沈抚新区,2室2厅 | 78平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,60,"7,693元/平"
急售 电梯好楼层 南向 全天采光,德商国际花园 -沈抚新区,1室1厅 | 56平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,28.8,"5,143元/平"
南北大两室落地窗 得房率高的好房子,同城一品 -沈抚新区,2室2厅 | 100.83平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,40,"3,968元/平"
国际鑫城! 清水17楼低价出售！！合适,国际鑫城 -沈抚新区,2室1厅 | 96.8平米 | 北 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,44.1,"4,556元/平"
急售 电梯好楼层 南向 全天采光,德商国际花园 -沈抚新区,1室1厅 | 56平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,28.8,"5,143元/平"
国际鑫城 5楼清水房 诚心出售 价格合理,国际鑫城 -沈抚新区,2室2厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,41.7,"4,484元/平"
沈抚新区中天紫金城 房主急售 价格可议,中天紫金城 -沈抚新区,1室1厅 | 47平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,2人关注 / 6个月以前发布,20,"4,256元/平"
沈抚新区中金C地块点地价格便宜！近南京一校,中金公元启城 -沈抚新区,2室2厅 | 61.38平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,4人关注 / 一年前发布,30.3,"4,937元/平"
德商国际花园 朝向向南 未装修 采光好不挡光,德商国际花园 -沈抚新区,1室1厅 | 40.9平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2人关注 / 9个月以前发布,19.5,"4,768元/平"
德商国际花园大一室户型  清水房,德商国际花园 -沈抚新区,1室1厅 | 56平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,30,"5,358元/平"
浑河城，高楼层，采光好，临公园，绿化好,浑河城 -其它,2室2厅 | 100.59平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,55,"5,468元/平"
锦绣澜湾精装修，楼层好，价格合理，急售,锦绣澜湾D区 -沈抚新区,2室2厅 | 98.68平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,45,"4,561元/平"
万科 城市之光北门门市，清水，上下两层,沈抚万科城市之光 -沈抚新区,3室2厅 | 152.58平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,155,"10,159元/平"
此房为21年新交房房源南北格局采光好近东北育才河景房,沈抚中南熙悦 -沈抚新区,2室1厅 | 75平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,29.5,"3,934元/平"
